,Year,Max Temp,Min Temp,Ave Temp,Precipitation,DDays < 0°C,DDays < 5°C,DDays < 18°C,DDays > 18°C,Frost Free Days,Snowfall,Evaporation,Moisture Deficit,Relative Humidity
0,1901,-6.0,-12.4,-9.2,454,842,1,2435,0,1,433,0,0,72
1,1902,-4.8,-10.4,-7.6,397,787,1,2383,0,2,461,0,0,76
2,1903,-7.3,-14.0,-10.7,370,875,1,2465,0,2,345,0,0,70
3,1904,-5.4,-11.6,-8.5,536,793,1,2385,0,2,507,0,0,73
4,1905,-6.1,-12.1,-9.1,242,852,1,2448,0,1,220,0,0,74
5,1906,-4.9,-10.5,-7.7,336,706,1,2284,0,2,308,0,0,76
6,1907,-7.9,-14.7,-11.3,488,1042,1,2632,0,1,468,0,0,70
7,1908,-5.4,-12.2,-8.8,407,895,0,2499,0,1,382,0,0,71
8,1909,-8.6,-15.1,-11.9,588,1119,0,2726,0,1,579,0,0,71
9,1910,-8.2,-15.0,-11.6,293,899,1,2491,0,2,286,0,0,70
10,1911,-8.4,-15.1,-11.8,491,1151,0,2763,0,0,463,0,0,70
11,1912,-7.2,-12.9,-10.0,489,875,1,2468,0,1,474,0,0,75
12,1913,-8.5,-15.7,-12.1,358,1078,0,2674,0,1,348,0,0,68
13,1914,-5.5,-11.1,-8.3,340,898,1,2491,0,2,293,0,0,76
14,1915,-6.7,-13.1,-9.9,160,814,1,2402,0,2,154,0,0,72
15,1916,-9.8,-16.7,-13.2,457,1339,1,2944,0,0,446,0,0,69
16,1917,-9.3,-15.5,-12.4,365,979,0,2578,0,1,361,0,0,72
17,1918,-6.5,-12.4,-9.4,630,851,1,2447,0,1,588,0,0,74
18,1919,-5.9,-11.8,-8.8,425,900,1,2495,0,1,402,0,0,74
19,1920,-6.1,-13.5,-9.8,198,768,1,2360,0,2,188,0,0,68
20,1921,-5.1,-10.9,-8.0,386,873,0,2475,0,1,353,0,0,75
21,1922,-9.5,-16.8,-13.2,302,1230,0,2836,0,0,299,0,0,67
22,1923,-7.9,-14.4,-11.2,397,870,1,2465,0,1,375,0,0,71
23,1924,-4.7,-11.1,-7.9,412,895,1,2479,0,2,374,0,0,73
24,1925,-6.3,-12.6,-9.5,503,643,2,2212,0,4,476,0,0,72
25,1926,-3.7,-8.5,-6.1,458,719,1,2302,0,2,375,0,0,79
26,1927,-6.9,-12.9,-9.9,411,1034,0,2639,0,1,395,0,0,74
27,1928,-7.1,-13.5,-10.3,428,806,1,2408,0,1,412,0,0,72
28,1929,-9.2,-16.8,-13.0,282,1129,0,2724,0,1,277,0,0,66
29,1930,-8.3,-14.7,-11.5,418,1077,4,2664,0,1,394,0,0,71
30,1931,-4.7,-9.7,-7.2,188,724,1,2306,0,3,158,0,0,79
31,1932,-7.2,-14.3,-10.7,370,1029,0,2634,0,0,359,0,0,69
32,1933,-7.6,-14.7,-11.2,454,895,1,2490,0,1,437,0,0,69
33,1934,-3.7,-10.4,-7.0,458,714,1,2292,0,2,399,0,0,71
34,1935,-6.4,-12.4,-9.4,533,806,1,2390,0,2,509,0,0,74
35,1936,-8.4,-14.7,-11.6,481,1090,1,2691,0,1,451,0,0,72
36,1937,-10.1,-17.3,-13.7,721,1229,2,2826,0,1,710,0,0,67
37,1938,-5.8,-11.6,-8.7,546,830,1,2430,0,1,515,0,0,75
38,1939,-6.4,-13.2,-9.8,545,758,2,2334,0,3,506,0,0,70
39,1940,-4.0,-9.4,-6.7,422,720,1,2302,0,2,355,0,0,77
