Year,Max Temp,Min Temp,Ave Temp,Precipitation,DDays < 0°C,DDays > 5°C,DDays < 18°C,DDays > 18°C,Frost Free Days,Snowfall,Evaporation,Moisture Deficit,Relative Humidity
1901,-1.0,-12.8,-6.9,221,664,0,2235,0,1,194,0,0,52
1902,0.5,-12.3,-5.9,157,590,1,2150,0,1,131,0,0,50
1903,-3.3,-16.4,-9.9,265,899,2,2489,0,1,249,0,0,47
1904,0.8,-13.4,-6.3,136,627,2,2191,0,1,109,0,0,45
1905,-1.3,-13.5,-7.4,239,701,1,2279,0,1,216,0,0,51
1906,-0.9,-15.3,-8.1,151,770,0,2350,0,1,133,0,0,43
1907,2.3,-9.3,-3.5,195,416,6,1936,0,3,121,0,0,55
1908,-1.3,-14.7,-8.0,167,750,0,2336,0,1,154,0,0,47
1909,-2.3,-13.5,-7.9,452,733,3,2322,0,1,389,0,0,54
1910,-4.3,-16.3,-10.3,261,931,0,2540,0,0,252,0,0,50
1911,-1.1,-12.4,-6.8,258,645,2,2215,0,1,212,0,0,54
1912,-3.4,-15.9,-9.7,189,880,0,2483,0,0,178,0,0,49
1913,-4.4,-17.9,-11.1,207,1005,0,2616,0,0,203,0,0,45
1914,-2.7,-16.3,-9.5,324,865,0,2465,0,0,300,0,0,46
1915,-2.8,-16.2,-9.5,149,879,0,2472,0,0,142,0,0,46
1916,-1.4,-14.3,-7.9,333,744,0,2324,0,1,308,0,0,49
1917,-4.4,-16.1,-10.2,227,937,0,2539,0,0,221,0,0,50
1918,-1.2,-12.5,-6.8,341,660,4,2226,0,2,296,0,0,54
1919,-3.4,-16.3,-9.8,123,889,0,2496,0,0,119,0,0,48
1920,0.1,-13.4,-6.6,177,646,1,2211,0,1,156,0,0,47
1921,-2.4,-14.4,-8.4,436,775,0,2371,0,1,405,0,0,51
1922,-2.6,-14.8,-8.7,643,800,3,2389,0,1,574,0,0,50
1923,-2.1,-15.3,-8.7,258,803,0,2390,0,1,238,0,0,47
1924,-2.0,-16.0,-9.0,148,841,1,2430,0,0,141,0,0,45
1925,-3.0,-16.0,-9.5,175,879,0,2472,0,0,169,0,0,47
1926,-1.8,-14.0,-7.9,167,752,0,2330,0,1,153,0,0,51
1927,-1.5,-13.8,-7.6,251,720,1,2302,0,1,229,0,0,50
1928,-2.4,-15.1,-8.8,146,815,0,2402,0,1,137,0,0,49
1929,-4.1,-17.7,-10.9,173,983,0,2588,0,0,168,0,0,45
1930,-1.3,-15.5,-8.4,241,809,5,2381,0,1,223,0,0,44
1931,-1.4,-16.1,-8.7,116,817,1,2405,0,0,108,0,0,43
1932,-2.7,-16.7,-9.7,224,894,1,2492,0,0,214,0,0,44
1933,-4.1,-17.7,-10.9,177,987,0,2592,0,0,172,0,0,44
1934,2.5,-10.7,-4.1,212,452,6,1987,0,2,137,0,0,49
1935,0.1,-13.9,-6.9,149,667,0,2236,0,1,130,0,0,46
1936,-1.5,-13.5,-7.5,365,710,0,2291,0,1,337,0,0,52
1937,-2.9,-16.6,-9.7,219,903,2,2492,0,0,209,0,0,45
1938,-0.5,-13.3,-6.9,220,660,0,2230,0,1,193,0,0,49
1939,-3.6,-16.4,-10.0,275,905,2,2501,0,0,259,0,0,48
1940,-0.2,-12.5,-6.4,250,615,3,2184,0,1,220,0,0,51
1941,0.0,-13.6,-6.8,208,651,0,2226,0,1,183,0,0,47
1942,-2.5,-16.9,-9.7,245,884,1,2476,0,0,232,0,0,43
1943,-0.1,-13.7,-6.9,275,665,0,2237,0,1,243,0,0,47
1944,-0.8,-15.6,-8.2,167,765,0,2352,0,0,155,0,0,42
1945,-0.2,-14.0,-7.1,226,684,0,2256,0,1,203,0,0,46
1946,-1.8,-16.2,-9.0,182,831,0,2425,0,0,173,0,0,43
1947,0.0,-13.4,-6.7,216,648,2,2218,0,1,194,0,0,47
1948,-1.9,-15.8,-8.9,249,811,0,2409,0,0,235,0,0,45
1949,-3.8,-17.6,-10.7,246,975,0,2576,0,0,237,0,0,44
1950,-1.1,-13.8,-7.4,254,705,0,2284,0,1,229,0,0,49
1951,-0.7,-13.6,-7.1,303,681,1,2256,0,1,266,0,0,49
1952,-3.5,-15.9,-9.7,412,870,0,2483,0,0,394,0,0,49
1953,-1.5,-14.0,-7.7,195,721,2,2306,0,1,165,0,0,50
