Month,Year,Max Temp,Min Temp,Ave Temp,Precipitation,Radiation,DDays < 0°C,DDays > 5°C,DDays < 18°C,DDays > 18°C,Frost Free Days,Snowfall,Evaporation,Moisture Deficit,Relative Humidity
Jan,1901,-4.5,-12.1,-8.3,85,-9999.0,262,0,814,0,1,75,0,0,67
Feb,1901,-5.6,-14.4,-10.0,94,-9999.0,274,0,780,0,0,93,0,0,62
Mar,1901,-1.6,-9.9,-5.8,107,-9999.0,201,0,738,0,1,105,0,0,65
Apr,1901,3.3,-6.7,-1.7,164,-9999.0,90,5,590,0,2,149,0,0,62
May,1901,11.9,0.8,6.4,160,-9999.0,3,69,361,0,17,27,82,0,64
Jun,1901,10.3,0.2,5.2,84,-9999.0,4,48,383,0,14,23,77,0,66
Jul,1901,21.9,7.2,14.5,23,-9999.0,0,294,113,7,31,0,130,107,56
Aug,1901,19.2,7.3,13.3,45,-9999.0,0,258,148,5,30,1,98,53,63
Sep,1901,8.1,0.0,4.0,118,-9999.0,8,35,420,0,14,35,43,0,72
Oct,1901,8.3,-1.5,3.4,32,-9999.0,18,36,455,0,10,6,33,2,66
Nov,1901,3.0,-5.6,-1.3,61,-9999.0,87,6,579,0,3,29,0,0,67
Dec,1901,-4.4,-9.8,-7.1,191,-9999.0,235,0,776,0,1,169,0,0,77
Jan,1902,-6.4,-14.7,-10.5,33,-9999.0,329,0,884,0,0,31,0,0,64
Feb,1902,-2.1,-9.1,-5.6,98,-9999.0,177,0,657,0,1,87,0,0,71
Mar,1902,-2.8,-11.4,-7.1,112,-9999.0,236,0,780,0,0,111,0,0,64
Apr,1902,3.0,-6.6,-1.8,118,-9999.0,93,2,593,0,2,107,0,0,63
May,1902,9.4,-0.8,4.3,96,-9999.0,8,37,424,0,11,36,72,0,65
Jun,1902,12.7,1.2,7.0,49,-9999.0,2,76,332,0,18,6,88,39,62
Jul,1902,16.3,3.8,10.1,50,-9999.0,0,155,247,0,28,2,103,53,60
Aug,1902,17.3,4.4,10.9,45,-9999.0,0,180,223,1,28,2,94,49,59
Sep,1902,11.3,0.1,5.7,40,-9999.0,4,56,371,0,14,8,54,14,63
Oct,1902,6.3,-3.1,1.6,25,-9999.0,34,22,509,0,7,9,30,5,66
Nov,1902,-2.3,-9.2,-5.8,136,-9999.0,192,0,712,0,1,114,0,0,71
Dec,1902,-4.8,-11.9,-8.4,96,-9999.0,267,0,814,0,0,89,0,0,77
Jan,1903,-4.4,-11.2,-7.8,94,-9999.0,251,0,801,0,1,82,0,0,71
Feb,1903,-8.4,-17.5,-12.9,27,-9999.0,364,0,861,0,0,27,0,0,60
Mar,1903,-2.7,-12.4,-7.5,83,-9999.0,246,0,794,0,0,83,0,0,60
Apr,1903,2.0,-7.2,-2.6,140,-9999.0,111,3,617,0,1,132,0,0,64
May,1903,7.8,-3.3,2.2,80,-9999.0,23,19,489,0,5,48,68,0,61
Jun,1903,13.9,3.0,8.5,70,-9999.0,1,110,287,0,24,4,91,20,65
Jul,1903,15.5,4.4,10.0,59,-9999.0,0,152,250,0,29,3,97,38,64
Aug,1903,17.7,5.6,11.6,23,-9999.0,0,205,199,2,29,1,94,71,62
Sep,1903,9.3,0.4,4.9,64,-9999.0,6,44,395,0,15,15,47,0,70
Oct,1903,8.2,-2.0,3.1,31,-9999.0,20,33,463,0,9,6,34,2,64
Nov,1903,-1.7,-9.8,-5.7,182,-9999.0,191,0,711,0,1,153,0,0,66
Dec,1903,-3.2,-9.6,-6.4,86,-9999.0,215,0,754,0,1,73,0,0,69
Jan,1904,-5.7,-12.6,-9.2,81,-9999.0,287,0,841,0,0,75,0,0,70
Feb,1904,-4.5,-12.1,-8.3,232,-9999.0,241,0,733,0,0,225,0,0,67
Mar,1904,-3.3,-11.4,-7.4,190,-9999.0,241,0,788,0,0,189,0,0,66
Apr,1904,5.3,-6.5,-0.6,54,-9999.0,68,5,558,0,2,45,0,0,57
May,1904,8.1,-1.7,3.2,79,-9999.0,14,26,458,0,9,39,67,0,66
Jun,1904,12.7,0.4,6.6,51,-9999.0,2,69,343,0,15,8,90,39,60
Jul,1904,17.3,4.4,10.8,55,-9999.0,0,179,222,0,29,2,108,53,60
Aug,1904,18.3,4.7,11.5,43,-9999.0,0,201,203,2,28,1,99,56,58
Sep,1904,13.4,1.5,7.5,9,-9999.0,2,90,317,1,19,1,60,51,61
Oct,1904,7.2,-2.6,2.3,26,-9999.0,27,27,488,0,8,8,32,5,65
Nov,1904,4.3,-6.9,-1.3,15,-9999.0,87,4,579,0,2,7,0,0,58
Dec,1904,-3.7,-11.3,-7.5,63,-9999.0,245,0,787,0,1,57,0,0,73
Jan,1905,-6.1,-12.5,-9.3,47,-9999.0,291,0,846,0,0,43,0,0,72
Feb,1905,-6.0,-16.6,-11.3,40,-9999.0,320,0,817,0,0,40,0,0,55
Mar,1905,1.8,-8.2,-3.2,123,-9999.0,133,0,659,0,1,112,0,0,61
Apr,1905,4.0,-6.3,-1.1,113,-9999.0,79,5,574,0,2,99,0,0,61
May,1905,5.0,-2.9,1.0,125,-9999.0,39,12,526,0,6,85,54,0,71
Jun,1905,10.8,0.8,5.8,118,-9999.0,3,57,366,0,17,25,78,0,67
Jul,1905,18.5,5.4,12.0,52,-9999.0,0,216,188,2,30,1,113,61,59
Aug,1905,18.4,5.8,12.1,43,-9999.0,0,220,185,3,30,1,97,54,61
Sep,1905,14.1,2.0,8.1,47,-9999.0,2,104,299,1,20,4,62,15,61
Oct,1905,2.5,-6.4,-2.0,60,-9999.0,101,7,621,0,2,50,0,0,65
Nov,1905,-0.1,-9.4,-4.7,85,-9999.0,169,0,682,0,1,66,0,0,62
Dec,1905,-6.8,-13.4,-10.1,41,-9999.0,317,0,869,0,0,40,0,0,68
Jan,1906,-4.6,-12.8,-8.7,115,-9999.0,271,0,828,0,0,104,0,0,65
Feb,1906,-3.0,-11.4,-7.2,131,-9999.0,215,0,702,0,0,125,0,0,64
Mar,1906,-4.5,-14.0,-9.2,151,-9999.0,281,0,846,0,0,151,0,0,60
Apr,1906,5.3,-5.8,-0.3,72,-9999.0,61,7,548,0,2,58,0,0,59
May,1906,7.5,-2.3,2.6,151,-9999.0,19,21,478,0,7,85,65,0,66
Jun,1906,10.6,0.1,5.4,78,-9999.0,4,50,379,0,14,20,79,1,65
Jul,1906,18.7,5.6,12.2,30,-9999.0,0,223,181,2,30,1,114,84,59
