Year,Max Temp,Min Temp,Ave Temp,Precipitation,DDays < 0°C,DDays > 5°C,DDays < 18°C,DDays > 18°C,Frost Free Days,Snowfall,Evaporation,Moisture Deficit,Relative Humidity
1901,-4.8,-12.1,-8.5,369,770,0,2370,0,2,337,0,0,69
1902,-4.3,-11.2,-7.8,321,741,0,2317,0,2,287,0,0,70
1903,-5.9,-13.5,-9.7,217,882,0,2476,0,1,199,0,0,67
1904,-4.5,-11.5,-8.0,399,743,0,2329,0,2,373,0,0,70
1905,-5.3,-13.5,-9.4,150,856,0,2450,0,1,140,0,0,65
1906,-4.8,-12.5,-8.7,287,803,0,2398,0,1,268,0,0,67
1907,-4.1,-11.8,-7.9,373,765,0,2333,0,3,327,0,0,67
1908,-3.8,-11.9,-7.9,303,736,0,2321,0,1,281,0,0,66
1909,-5.5,-12.5,-9.0,295,831,0,2427,0,1,281,0,0,70
1910,-8.8,-16.7,-12.7,360,1150,0,2756,0,0,355,0,0,65
1911,-6.0,-13.4,-9.7,304,884,0,2479,0,1,288,0,0,68
1912,-5.3,-13.0,-9.1,184,836,0,2436,0,1,176,0,0,67
1913,-6.8,-15.3,-11.1,220,999,0,2602,0,1,213,0,0,63
1914,-4.6,-12.4,-8.5,201,779,0,2378,0,1,181,0,0,67
1915,-5.3,-13.0,-9.2,175,859,0,2448,0,1,165,0,0,67
1916,-7.7,-14.9,-11.3,388,1050,0,2641,0,1,375,0,0,68
1917,-8.2,-15.8,-12.0,346,1087,0,2691,0,0,341,0,0,66
1918,-4.7,-12.2,-8.4,432,780,0,2365,0,2,386,0,0,68
1919,-4.6,-12.5,-8.6,263,790,0,2377,0,1,252,0,0,66
1920,-5.2,-13.6,-9.4,386,864,0,2458,0,1,374,0,0,64
1921,-4.1,-11.1,-7.6,301,721,0,2303,0,2,275,0,0,70
1922,-8.5,-15.5,-12.0,423,1087,0,2689,0,1,411,0,0,69
1923,-6.7,-14.3,-10.5,239,950,0,2551,0,1,229,0,0,67
1924,-5.1,-13.6,-9.4,307,876,0,2465,0,1,291,0,0,64
1925,-6.1,-11.5,-8.8,252,835,0,2415,0,3,227,0,0,76
1926,-3.6,-9.6,-6.6,334,641,0,2210,0,3,278,0,0,74
1927,-5.8,-12.7,-9.3,330,846,0,2448,0,1,315,0,0,70
1928,-6.8,-15.1,-10.9,406,992,0,2598,0,1,386,0,0,64
1929,-8.5,-16.5,-12.5,381,1126,0,2736,0,0,375,0,0,64
1930,-6.7,-13.6,-10.2,305,970,3,2541,0,2,275,0,0,70
1931,-4.0,-12.1,-8.0,226,749,0,2336,0,1,210,0,0,66
1932,-6.6,-14.1,-10.3,277,946,0,2547,0,1,269,0,0,67
1933,-9.0,-16.5,-12.8,275,1148,0,2754,0,1,267,0,0,67
1934,-0.9,-8.4,-4.7,218,490,0,2035,0,4,159,0,0,69
1935,-4.0,-12.2,-8.1,225,753,0,2343,0,1,208,0,0,65
1936,-7.6,-15.6,-11.6,317,1042,0,2641,0,1,309,0,0,65
1937,-8.9,-17.2,-13.0,342,1194,0,2790,0,1,331,0,0,63
1938,-4.1,-12.3,-8.2,260,759,0,2351,0,1,241,0,0,65
1939,-5.7,-13.4,-9.5,211,869,0,2458,0,1,195,0,0,67
1940,-4.5,-11.5,-8.0,415,759,2,2332,0,3,370,0,0,70
1941,-2.8,-11.7,-7.3,217,691,0,2268,0,2,193,0,0,63
1942,-6.8,-15.5,-11.2,406,1014,0,2611,0,1,391,0,0,62
1943,-5.2,-13.8,-9.5,298,884,0,2470,0,1,283,0,0,63
1944,-5.0,-13.3,-9.1,207,832,0,2433,0,1,200,0,0,64
1945,-4.6,-12.5,-8.6,156,796,0,2386,0,1,147,0,0,66
1946,-5.4,-12.8,-9.1,309,827,0,2431,0,1,295,0,0,68
1947,-4.9,-12.5,-8.7,211,811,0,2395,0,1,195,0,0,67
1948,-5.8,-13.2,-9.5,307,870,0,2468,0,1,292,0,0,68
1949,-10.4,-18.9,-14.7,404,1333,0,2938,0,0,402,0,0,62
1950,-5.9,-13.7,-9.8,240,913,0,2503,0,1,229,0,0,66
1951,-4.6,-12.3,-8.4,211,794,0,2372,0,2,192,0,0,67
1952,-7.3,-14.8,-11.1,365,1006,0,2611,0,1,357,0,0,67
1953,-3.5,-10.1,-6.8,275,651,0,2218,0,4,240,0,0,72
1954,-3.4,-10.6,-7.0,203,674,0,2247,0,2,179,0,0,69
1955,-7.1,-15.2,-11.2,242,1010,0,2614,0,1,237,0,0,65
1956,-6.5,-14.2,-10.4,365,934,0,2539,0,1,347,0,0,67
1957,-6.5,-14.9,-10.7,225,996,0,2581,0,1,216,0,0,63
1958,-2.4,-10.3,-6.4,183,622,0,2190,0,2,157,0,0,67
1959,-4.5,-12.8,-8.7,266,794,0,2385,0,1,247,0,0,65
1960,-6.0,-14.3,-10.1,227,925,0,2518,0,1,217,0,0,64
1961,-2.6,-10.6,-6.6,173,646,0,2214,0,2,149,0,0,66
1962,-7.2,-14.8,-11.0,337,1002,0,2607,0,1,331,0,0,67
1963,-3.7,-12.6,-8.2,217,794,1,2358,0,2,195,0,0,62
1964,-5.5,-13.9,-9.7,211,885,0,2487,0,1,203,0,0,64
1965,-4.3,-12.0,-8.2,324,760,0,2348,0,1,296,0,0,67
1966,-4.7,-12.7,-8.7,195,795,0,2392,0,1,182,0,0,66
1967,-3.9,-10.6,-7.2,264,693,0,2267,0,2,234,0,0,72
1968,-5.7,-14.1,-9.9,332,921,0,2512,0,1,321,0,0,64
1969,-6.6,-14.7,-10.7,360,966,0,2574,0,1,351,0,0,65
1970,-3.2,-10.9,-7.1,173,677,0,2256,0,2,155,0,0,67
1971,-5.4,-12.1,-8.8,303,803,0,2406,0,1,286,0,0,71
1972,-6.2,-13.6,-9.9,249,921,0,2513,0,1,240,0,0,68
1973,-6.9,-15.5,-11.2,177,1019,0,2624,0,0,173,0,0,63
1974,-5.0,-11.7,-8.3,225,787,0,2367,0,2,206,0,0,71
1975,-6.5,-14.7,-10.6,346,957,0,2564,0,1,336,0,0,65
1976,-3.6,-11.2,-7.4,248,702,0,2281,0,2,222,0,0,68
1977,-3.3,-12.6,-7.9,127,758,0,2331,0,1,119,0,0,61
1978,-4.8,-12.1,-8.5,315,785,0,2376,0,1,296,0,0,69
1979,-9.5,-17.9,-13.7,307,1255,0,2858,0,0,303,0,0,63
1980,-4.2,-12.6,-8.4,299,794,0,2370,0,2,280,0,0,64
1981,-1.1,-9.9,-5.5,222,553,0,2107,0,3,189,0,0,64
1982,-5.9,-13.2,-9.5,294,866,0,2467,0,1,279,0,0,68
1983,-3.3,-10.8,-7.1,277,677,0,2253,0,2,252,0,0,68
1984,-6.4,-15.0,-10.7,241,989,0,2584,0,1,233,0,0,63
1985,-6.7,-16.4,-11.6,196,1047,0,2652,0,0,193,0,0,58
1986,-4.0,-11.7,-7.8,272,742,0,2319,0,2,245,0,0,67
1987,-4.1,-13.3,-8.7,143,807,0,2400,0,1,134,0,0,61
1988,-5.0,-13.2,-9.1,211,842,0,2435,0,1,201,0,0,65
1989,-7.4,-15.3,-11.3,307,1012,0,2622,0,1,295,0,0,65
1990,-4.6,-12.4,-8.5,239,782,0,2376,0,1,220,0,0,67
1991,-5.7,-14.0,-9.9,213,936,0,2517,0,1,197,0,0,65
1992,-2.2,-10.6,-6.4,166,631,0,2196,0,2,141,0,0,65
1993,-7.3,-15.6,-11.4,266,1035,0,2639,0,0,261,0,0,64
1994,-4.6,-11.8,-8.2,219,754,0,2345,0,2,202,0,0,69
1995,-4.2,-11.1,-7.7,306,722,0,2307,0,2,280,0,0,70
1996,-5.3,-13.4,-9.3,288,857,0,2452,0,1,276,0,0,65
1997,-5.6,-13.0,-9.3,457,853,0,2452,0,1,436,0,0,68
1998,-4.4,-11.8,-8.1,291,757,0,2347,0,1,265,0,0,68
1999,-4.4,-10.8,-7.6,341,717,0,2299,0,2,307,0,0,72
2000,-2.7,-9.7,-6.2,320,615,0,2178,0,3,271,0,0,70
2001,-4.4,-12.9,-8.7,163,791,0,2389,0,1,152,0,0,64
2002,-5.2,-12.5,-8.8,233,804,0,2407,0,1,220,0,0,68
2003,-3.4,-10.5,-6.9,307,654,0,2230,0,3,261,0,0,70
2004,-4.1,-11.2,-7.7,313,720,0,2302,0,2,285,0,0,70
2005,-2.3,-11.0,-6.6,163,643,0,2211,0,2,140,0,0,64
2006,-4.5,-11.8,-8.1,297,753,0,2343,0,2,266,0,0,69
2007,-4.2,-11.8,-8.0,295,758,0,2337,0,2,271,0,0,67
2008,-5.4,-12.5,-9.0,330,831,0,2426,0,1,313,0,0,70
2009,-4.0,-12.0,-8.0,266,760,0,2339,0,1,247,0,0,66
2010,-5.2,-12.4,-8.8,185,826,0,2409,0,1,169,0,0,69
2011,-5.3,-12.2,-8.8,308,804,0,2398,0,1,288,0,0,70
2012,-3.6,-11.0,-7.3,291,697,0,2271,0,2,264,0,0,68
2013,-4.8,-11.3,-8.1,295,753,0,2342,0,2,274,0,0,72
2014,-5.4,-13.0,-9.2,361,845,0,2437,0,1,342,0,0,67
2015,-1.7,-9.0,-5.4,244,550,0,2101,0,4,199,0,0,69
2016,-3.1,-9.8,-6.5,256,636,0,2201,0,3,226,0,0,72
2017,-6.0,-13.1,-9.6,359,895,0,2484,0,1,341,0,0,69
2018,-4.5,-11.7,-8.1,369,753,0,2336,0,2,332,0,0,69
2019,-5.8,-13.1,-9.4,396,860,0,2451,0,1,377,0,0,68
