Year,Ave Temp,Warmest Month,Coldest Month,Difference,Mean Precip,May-Sep Precip,Heat-Moist I,Summer Heat-Moist I,DDays < 0°C,DDays > 5°C,DDays < 18°C,DDays > 18°C,Frost Free Days,Begin FFP,End FFP,Frost Free Period,Snowfall,Min Temp (30),Max Temp (30),Radiation,Evaporation,Moisture Deficit,Relative Humidity
1901,1.1,14.5,-10.0,24.5,1163,429,9.5,33.8,1182,751,6157,11,123,141,229,87,711,-40.7,29.5,-9999.0,463,162,66
1902,0.0,10.9,-10.5,21.4,897,281,11.2,38.7,1341,528,6546,1,111,163,233,70,620,-40.7,29.5,-9999.0,442,160,65
1903,-0.2,11.6,-12.9,24.5,940,296,10.4,39.3,1428,566,6620,2,115,191,234,44,582,-40.7,29.5,-9999.0,430,131,65
1904,0.6,11.5,-9.2,20.7,898,236,11.8,48.8,1214,602,6318,3,113,175,245,70,764,-40.7,29.5,-9999.0,455,204,63
1905,-0.2,12.1,-11.3,23.4,892,385,10.9,31.4,1451,622,6632,6,108,188,255,67,479,-40.7,29.5,-9999.0,405,130,64
1906,0.3,12.2,-8.7,20.9,1104,384,9.3,31.7,1277,607,6448,5,111,183,245,61,669,-40.7,29.5,-9999.0,436,107,64
1907,0.1,10.6,-13.5,24.2,1098,423,9.2,25.2,1278,486,6521,0,111,180,235,55,768,-40.7,29.5,-9999.0,406,51,66
1908,0.0,12.5,-9.0,21.5,1140,552,8.8,22.6,1314,554,6553,3,111,181,248,67,683,-40.7,29.5,-9999.0,438,106,65
1909,-0.5,12.2,-13.6,25.8,1344,520,7.1,23.5,1580,635,6729,4,116,180,254,75,726,-40.7,29.5,-9999.0,438,130,66
1910,0.9,12.9,-12.5,25.4,1076,348,10.1,37.0,1248,664,6224,3,116,185,239,53,637,-40.7,29.5,-9999.0,542,222,62
1911,-1.1,9.9,-12.2,22.1,982,371,9.0,26.8,1584,446,6962,0,101,186,235,50,558,-40.7,29.5,-9999.0,388,118,64
