Month,Year,Max Temp,Min Temp,Ave Temp,Precipitation,Radiation,DDays < 0°C,DDays > 5°C,DDays < 18°C,DDays > 18°C,Frost Free Days,Snowfall,Evaporation,Moisture Deficit,Relative Humidity
Jan,1901,-5.5,-12.9,-9.2,106,-9999.0,288,0,843,0,0,98,0,0,68
Feb,1901,-4.8,-13.1,-9.0,168,-9999.0,254,0,751,0,0,164,0,0,65
Mar,1901,0.4,-7.9,-3.8,45,-9999.0,147,0,676,0,1,42,0,0,66
Apr,1901,3.5,-6.4,-1.4,54,-9999.0,85,1,583,0,2,48,0,0,62
May,1901,11.1,-0.1,5.5,54,-9999.0,4,54,388,0,14,13,76,22,63
Jun,1901,11.1,0.0,5.6,105,-9999.0,3,53,373,0,14,25,79,0,63
Jul,1901,17.8,4.1,10.9,48,-9999.0,0,182,220,0,28,1,107,59,57
Aug,1901,20.9,5.7,13.3,22,-9999.0,0,259,147,5,30,0,104,82,54
Sep,1901,9.3,1.0,5.1,81,-9999.0,5,48,386,0,17,18,41,0,72
Oct,1901,8.4,-1.6,3.4,40,-9999.0,18,36,455,0,10,7,28,0,65
Nov,1901,1.0,-5.2,-2.1,91,-9999.0,105,1,603,0,4,50,0,0,75
Dec,1901,-2.9,-9.7,-6.3,68,-9999.0,211,0,749,0,1,57,0,0,71
Jan,1902,-4.7,-12.0,-8.3,57,-9999.0,263,0,816,0,1,51,0,0,68
Feb,1902,-2.2,-8.0,-5.1,177,-9999.0,164,0,643,0,1,153,0,0,75
Mar,1902,-1.7,-8.8,-5.2,87,-9999.0,187,0,722,0,1,85,0,0,70
Apr,1902,4.1,-5.7,-0.8,64,-9999.0,72,1,564,0,2,55,0,0,63
May,1902,8.7,-0.2,4.2,119,-9999.0,8,36,427,0,13,46,63,0,70
Jun,1902,12.4,-0.3,6.0,79,-9999.0,3,60,360,0,12,16,86,7,58
Jul,1902,15.1,2.6,8.8,95,-9999.0,0,119,285,0,24,6,95,0,60
Aug,1902,17.1,3.2,10.1,51,-9999.0,0,157,245,0,25,2,89,38,57
Sep,1902,11.5,-0.5,5.5,45,-9999.0,5,53,375,0,13,9,50,5,60
Oct,1902,7.6,-2.6,2.5,35,-9999.0,25,28,483,0,7,9,27,0,64
Nov,1902,-3.4,-9.3,-6.3,126,-9999.0,204,0,729,1,1,109,0,0,75
Dec,1902,-5.5,-12.4,-9.0,141,-9999.0,282,0,833,0,0,133,0,0,71
Jan,1903,-4.3,-10.6,-7.4,124,-9999.0,241,0,788,0,1,106,0,0,73
Feb,1903,-7.3,-17.7,-12.5,15,-9999.0,351,0,849,0,0,15,0,0,55
Mar,1903,-4.9,-13.7,-9.3,158,-9999.0,282,0,848,0,0,157,0,0,62
Apr,1903,2.6,-6.8,-2.1,43,-9999.0,100,0,603,0,1,40,0,0,63
May,1903,8.7,-2.3,3.2,39,-9999.0,14,26,458,0,7,19,67,29,62
Jun,1903,16.6,4.0,10.3,111,-9999.0,0,160,232,1,26,2,101,0,60
Jul,1903,14.6,3.8,9.2,139,-9999.0,0,129,274,0,28,8,89,0,65
Aug,1903,14.9,5.5,10.2,62,-9999.0,0,158,244,0,29,3,74,12,69
Sep,1903,7.6,0.6,4.1,112,-9999.0,8,35,418,0,16,33,36,0,76
Oct,1903,5.6,-2.6,1.5,53,-9999.0,36,21,513,0,8,21,23,0,70
Nov,1903,-2.2,-8.7,-5.4,106,-9999.0,185,0,702,0,1,87,0,0,73
Dec,1903,-2.9,-8.8,-5.9,64,-9999.0,199,0,736,0,1,52,0,0,70
Jan,1904,-3.6,-11.4,-7.5,105,-9999.0,244,0,791,0,1,90,0,0,67
Feb,1904,-5.0,-13.1,-9.1,235,-9999.0,257,0,754,0,0,230,0,0,65
Mar,1904,-4.0,-12.1,-8.0,152,-9999.0,257,0,808,0,0,151,0,0,66
Apr,1904,5.4,-5.4,0.0,73,-9999.0,57,5,540,0,3,57,45,0,60
May,1904,8.9,-2.4,3.2,34,-9999.0,14,26,458,0,7,17,69,35,61
Jun,1904,13.2,0.2,6.7,89,-9999.0,2,72,339,0,14,13,89,1,58
Jul,1904,17.8,4.6,11.2,24,-9999.0,0,190,212,1,29,1,106,81,59
Aug,1904,19.1,4.3,11.7,34,-9999.0,0,207,197,2,28,1,97,63,54
Sep,1904,13.5,0.9,7.2,5,-9999.0,2,84,326,1,17,1,55,50,59
Oct,1904,6.2,-2.3,2.0,91,-9999.0,31,24,499,0,8,30,24,0,70
Nov,1904,2.0,-4.6,-1.3,55,-9999.0,87,2,578,1,5,26,0,0,74
Dec,1904,-3.4,-9.1,-6.3,76,-9999.0,210,0,748,0,1,63,0,0,75
Jan,1905,-4.4,-10.7,-7.5,80,-9999.0,244,0,791,0,1,68,0,0,73
Feb,1905,-5.7,-15.0,-10.3,29,-9999.0,292,0,790,0,0,28,0,0,60
Mar,1905,1.4,-6.4,-2.5,80,-9999.0,115,0,637,0,2,70,0,0,69
Apr,1905,5.2,-5.8,-0.3,39,-9999.0,63,4,549,0,2,32,0,0,59
May,1905,8.0,-2.5,2.7,90,-9999.0,18,22,474,0,7,49,64,0,63
Jun,1905,12.9,1.5,7.2,97,-9999.0,1,82,324,0,19,11,86,0,63
Jul,1905,18.9,4.6,11.7,49,-9999.0,0,209,195,1,29,1,112,64,56
Aug,1905,17.5,4.4,11.0,23,-9999.0,0,183,220,1,28,1,89,67,59
Sep,1905,10.9,2.2,6.6,100,-9999.0,3,72,344,0,21,15,45,0,71
Oct,1905,1.3,-5.4,-2.0,113,-9999.0,102,7,623,0,3,96,0,0,73
Nov,1905,-1.8,-8.3,-5.1,69,-9999.0,176,0,691,1,1,55,0,0,72
Dec,1905,-3.5,-10.7,-7.1,47,-9999.0,234,0,775,0,1,42,0,0,76
Jan,1906,-3.7,-10.6,-7.1,96,-9999.0,235,0,780,0,1,81,0,0,71
Feb,1906,-2.6,-8.8,-5.7,110,-9999.0,178,0,659,0,1,98,0,0,74
Mar,1906,-1.7,-11.1,-6.4,66,-9999.0,217,0,757,0,0,65,0,0,61
