Year,Max Temp,Min Temp,Ave Temp,Precipitation,DDays < 0°C,DDays > 5°C,DDays < 18°C,DDays > 18°C,Frost Free Days,Snowfall,Evaporation,Moisture Deficit,Relative Humidity
1901,-4.4,-11.9,-8.1,342,753,0,2343,0,2,319,0,0,68
1902,-3.2,-9.9,-6.6,302,638,0,2208,0,3,261,0,0,72
1903,-5.7,-13.6,-9.6,279,875,0,2470,0,1,254,0,0,66
1904,-3.8,-11.1,-7.5,405,700,0,2282,0,2,373,0,0,69
1905,-4.5,-11.6,-8.0,184,747,0,2329,0,2,160,0,0,69
1906,-3.3,-10.0,-6.6,253,647,0,2213,0,3,221,0,0,71
1907,-6.3,-14.2,-10.3,368,962,0,2542,0,1,345,0,0,66
1908,-3.8,-11.7,-7.7,308,722,0,2307,0,2,281,0,0,66
1909,-7.0,-14.6,-10.8,443,992,0,2592,0,1,431,0,0,67
1910,-6.6,-14.5,-10.5,222,951,0,2556,0,1,215,0,0,66
1911,-6.7,-14.7,-10.7,370,980,0,2569,0,1,341,0,0,65
1912,-5.5,-12.4,-9.0,370,835,0,2426,0,1,351,0,0,70
1913,-6.9,-15.2,-11.0,269,1005,0,2600,0,1,258,0,0,64
1914,-3.9,-10.6,-7.3,254,685,0,2261,0,2,207,0,0,71
1915,-5.1,-12.6,-8.9,122,833,0,2420,0,1,114,0,0,68
1916,-8.2,-16.2,-12.2,348,1112,0,2713,0,1,335,0,0,65
1917,-7.7,-15.0,-11.3,277,1029,0,2633,0,0,273,0,0,68
1918,-4.9,-11.9,-8.4,477,774,0,2361,0,2,433,0,0,70
1919,-4.2,-11.3,-7.8,323,722,0,2309,0,2,299,0,0,70
1920,-4.5,-13.0,-8.7,149,809,0,2401,0,1,138,0,0,64
1921,-3.5,-10.5,-7.0,291,667,0,2240,0,2,256,0,0,70
1922,-7.9,-16.4,-12.1,229,1095,0,2700,0,0,225,0,0,63
1923,-6.3,-14.0,-10.1,298,925,0,2521,0,1,277,0,0,67
1924,-3.1,-10.6,-6.9,312,675,0,2241,0,3,267,0,0,68
1925,-4.7,-12.1,-8.4,380,796,0,2380,0,2,348,0,0,68
1926,-2.1,-8.0,-5.0,348,519,0,2068,0,5,259,0,0,75
1927,-5.3,-12.4,-8.8,311,812,0,2407,0,1,293,0,0,69
1928,-5.5,-13.1,-9.3,325,865,0,2454,0,1,309,0,0,67
1929,-7.6,-16.3,-11.9,212,1082,0,2680,0,1,206,0,0,62
1930,-6.7,-14.2,-10.5,316,988,0,2565,0,2,288,0,0,67
1931,-3.1,-9.2,-6.2,141,607,0,2166,0,4,112,0,0,74
1932,-5.6,-13.8,-9.7,280,882,0,2484,0,1,267,0,0,64
1933,-6.0,-14.2,-10.1,343,917,0,2516,0,1,325,0,0,64
1934,-2.1,-9.9,-6.0,350,595,0,2153,0,3,288,0,0,67
1935,-4.7,-11.9,-8.3,401,782,0,2365,0,1,375,0,0,69
1936,-6.8,-14.2,-10.5,363,954,0,2537,0,2,333,0,0,67
1937,-8.5,-16.8,-12.7,544,1159,0,2754,0,1,532,0,0,63
1938,-4.2,-11.1,-7.7,416,718,0,2299,0,2,382,0,0,70
1939,-4.8,-12.7,-8.8,411,808,0,2394,0,1,370,0,0,66
1940,-2.4,-8.9,-5.7,322,565,0,2121,0,4,252,0,0,72
1941,-2.7,-9.5,-6.1,216,602,0,2162,0,3,179,0,0,71
1942,-4.0,-11.4,-7.7,236,724,0,2305,0,2,213,0,0,68
1943,-5.6,-13.5,-9.5,332,899,0,2478,0,1,311,0,0,66
1944,-4.1,-12.9,-8.5,239,778,0,2375,0,1,226,0,0,63
1945,-4.3,-11.8,-8.0,334,750,0,2335,0,1,308,0,0,68
1946,-3.9,-11.2,-7.6,336,714,0,2293,0,2,304,0,0,68
1947,-3.8,-12.6,-8.2,248,771,0,2354,0,1,231,0,0,63
1948,-4.1,-12.2,-8.1,239,753,0,2338,0,2,221,0,0,65
1949,-8.6,-18.3,-13.4,330,1218,0,2823,0,0,327,0,0,58
1950,-9.0,-17.4,-13.2,391,1209,0,2812,0,1,380,0,0,63
1951,-4.6,-11.9,-8.3,440,763,0,2352,0,2,395,0,0,68
1952,-7.0,-14.9,-10.9,436,1003,0,2604,0,1,427,0,0,66
1953,-1.9,-8.8,-5.4,341,543,0,2093,0,4,252,0,0,71
1954,-3.6,-10.7,-7.2,363,697,0,2265,0,3,321,0,0,70
1955,-4.6,-12.2,-8.4,245,775,0,2365,0,2,226,0,0,67
