Year,Ave Temp,Warmest Month,Coldest Month,Difference,Mean Precip,May-Sep Precip,Heat-Moist I,Summer Heat-Moist I,DDays < 0°C,DDays > 5°C,DDays < 18°C,DDays > 18°C,Frost Free Days,Begin FFP,End FFP,Frost Free Period,Snowfall,Min Temp (30),Max Temp (30),Radiation,Evaporation,Moisture Deficit,Relative Humidity
1901,1.0,13.3,-9.2,22.5,882,310,12.5,42.9,1121,633,6174,5,120,153,240,86,525,-39.1,29.7,-9999.0,434,163,65
1902,0.2,10.1,-9.0,19.1,1075,389,9.5,26.1,1213,454,6483,1,102,156,228,72,544,-39.1,29.7,-9999.0,411,50,66
1903,-0.3,10.3,-12.5,22.8,1024,463,9.4,22.2,1418,529,6666,1,118,184,236,53,611,-39.1,29.7,-9999.0,390,41,67
1904,0.8,11.7,-9.1,20.8,973,186,11.1,62.9,1160,610,6250,5,112,185,239,54,732,-39.1,29.7,-9999.0,485,230,64
1905,0.4,11.7,-10.3,22.1,815,359,12.7,32.7,1249,578,6412,4,113,188,255,67,381,-39.1,29.7,-9999.0,396,131,66
1906,1.2,14.5,-7.1,21.7,939,267,12.0,54.3,1110,683,6106,9,124,167,243,76,466,-39.1,29.7,-9999.0,479,223,66
1907,-0.4,11.0,-17.1,28.1,1047,462,9.2,23.8,1465,488,6691,0,114,177,249,72,694,-39.1,29.7,-9999.0,398,68,65
1908,0.3,11.9,-9.6,21.5,806,274,12.8,43.4,1279,584,6441,4,112,181,239,58,521,-39.1,29.7,-9999.0,420,150,64
1909,-0.6,10.0,-14.9,24.9,1035,395,9.1,25.3,1559,534,6760,1,114,179,256,77,603,-39.1,29.7,-9999.0,410,56,65
1910,0.7,11.4,-11.6,22.9,831,240,12.9,47.2,1154,537,6277,1,115,178,243,65,403,-39.1,29.7,-9999.0,478,192,65
1911,-1.2,10.9,-13.6,24.5,961,336,9.1,32.3,1678,490,6992,0,102,182,243,61,588,-39.1,29.7,-9999.0,405,110,63
1912,-0.5,9.2,-10.9,20.2,863,288,11.1,32.0,1404,452,6724,1,110,174,223,50,575,-39.1,29.7,-9999.0,364,82,67
1913,-0.9,10.7,-12.9,23.6,830,408,11.0,26.2,1584,491,6869,1,107,178,230,52,519,-39.1,29.7,-9999.0,375,68,65
1914,0.8,11.9,-11.3,23.2,854,267,12.6,44.5,1189,616,6258,3,124,177,244,68,339,-39.1,29.7,-9999.0,472,217,66
1915,0.9,13.4,-9.8,23.3,903,398,12.1,33.7,1132,602,6224,5,124,170,235,65,366,-39.1,29.7,-9999.0,451,85,67
1916,-1.4,10.7,-19.0,29.7,855,308,10.0,34.6,1758,483,7075,1,100,193,240,47,616,-39.1,29.7,-9999.0,404,104,63
1917,0.0,12.4,-11.0,23.5,902,256,11.1,48.7,1438,655,6541,6,115,164,245,82,564,-39.1,29.7,-9999.0,439,188,65
1918,0.8,11.7,-10.2,21.9,863,229,12.5,51.1,1233,667,6249,5,125,190,251,62,561,-39.1,29.7,-9999.0,431,179,65
1919,-0.1,12.2,-10.3,22.5,885,210,11.2,58.2,1425,637,6573,5,105,176,250,74,573,-39.1,29.7,-9999.0,420,225,64
1920,0.3,12.9,-8.2,21.1,819,267,12.6,48.3,1267,608,6437,6,110,180,246,66,446,-39.1,29.7,-9999.0,397,197,67
1921,0.2,11.1,-10.6,21.7,881,221,11.6,50.2,1313,565,6477,3,115,174,230,56,600,-39.1,29.7,-9999.0,420,200,66
1922,-0.6,11.9,-13.9,25.8,817,199,11.5,59.9,1733,723,6758,6,120,189,252,64,530,-39.1,29.7,-9999.0,453,243,63
1923,0.6,12.3,-11.0,23.3,973,436,10.9,28.3,1256,651,6307,5,118,176,238,62,496,-39.1,29.7,-9999.0,430,117,64
1924,0.7,12.3,-11.9,24.3,773,201,13.8,61.5,1339,687,6325,5,122,165,248,83,399,-39.1,29.7,-9999.0,457,235,64
1925,1.6,13.1,-8.4,21.5,757,182,15.4,72.2,990,673,5960,4,124,171,247,76,550,-39.1,29.7,-9999.0,495,248,65
1926,1.5,13.2,-8.1,21.3,893,274,12.8,48.3,989,635,6025,5,121,181,219,38,430,-39.1,29.7,-9999.0,480,182,66
1927,-0.2,11.7,-12.6,24.3,1174,414,8.3,28.3,1494,629,6634,3,126,187,252,65,532,-39.1,29.7,-9999.0,401,104,68
1928,1.0,12.5,-8.1,20.6,701,229,15.6,54.4,1215,692,6200,6,121,157,241,84,710,-39.1,29.7,-9999.0,451,237,64
1929,-0.3,12.0,-14.2,26.3,711,186,13.6,64.6,1540,607,6661,4,110,176,234,59,425,-39.1,29.7,-9999.0,438,230,62
1930,0.0,12.0,-18.5,30.5,721,219,13.8,55.0,1490,647,6572,5,117,192,250,59,510,-39.1,29.7,-9999.0,471,198,65
1931,0.9,12.0,-8.3,20.3,757,275,14.4,43.6,1141,633,6208,5,120,177,248,71,271,-39.1,29.7,-9999.0,484,243,66
1932,-0.1,11.2,-11.3,22.5,958,195,10.4,57.7,1425,574,6577,2,113,182,233,52,648,-39.1,29.7,-9999.0,429,211,64
1933,0.3,12.4,-12.4,24.8,1063,251,9.7,49.5,1288,601,6444,4,110,188,241,53,629,-39.1,29.7,-9999.0,428,211,64
1934,1.8,11.4,-7.8,19.2,846,228,14.0,50.0,937,643,5894,4,124,174,238,64,546,-39.1,29.7,-9999.0,507,273,64
1935,-0.2,10.3,-10.5,20.8,868,284,11.3,36.4,1382,521,6620,3,102,183,246,63,662,-39.1,29.7,-9999.0,422,132,64
1936,-0.1,12.0,-18.4,30.4,904,331,11.0,36.2,1529,683,6546,4,120,159,231,71,562,-39.1,29.7,-9999.0,452,143,63
1937,-0.4,12.3,-18.6,30.8,1246,278,7.7,44.3,1630,652,6675,4,120,179,248,68,707,-39.1,29.7,-9999.0,441,151,64
1938,1.1,13.1,-8.7,21.8,919,189,12.0,69.2,1257,780,6157,8,125,183,262,79,611,-39.1,29.7,-9999.0,475,262,63
1939,1.2,12.2,-11.5,23.7,770,220,14.5,55.5,1073,638,6109,5,119,176,245,69,561,-39.1,29.7,-9999.0,485,262,64
1940,1.8,12.5,-7.5,20.0,907,218,13.0,57.5,1073,811,5888,9,139,166,267,101,473,-39.1,29.7,-9999.0,513,231,66
1941,1.5,13.1,-6.4,19.5,1030,563,11.2,23.3,948,617,5997,6,125,172,235,62,414,-39.1,29.7,-9999.0,459,59,66
1942,0.6,12.0,-9.1,21.2,890,381,11.9,31.6,1241,640,6328,6,114,180,242,62,510,-39.1,29.7,-9999.0,469,125,64
1943,-0.1,11.4,-14.9,26.3,708,201,14.0,56.9,1420,570,6588,4,102,200,235,35,542,-39.1,29.7,-9999.0,478,214,62
1944,0.5,11.6,-9.2,20.9,920,340,11.4,34.3,1313,625,6379,4,121,184,249,65,438,-39.1,29.7,-9999.0,440,123,63
1945,0.3,12.3,-7.9,20.2,983,203,10.4,60.7,1320,623,6450,6,105,170,231,60,535,-39.1,29.7,-9999.0,450,239,64
1946,0.3,11.0,-8.0,19.0,863,258,11.9,42.8,1278,563,6454,3,103,179,245,66,619,-39.1,29.7,-9999.0,419,197,62
1947,0.7,10.9,-10.1,21.0,849,278,12.6,39.2,1167,544,6301,2,116,174,247,73,505,-39.1,29.7,-9999.0,420,164,64
1948,-0.6,9.6,-12.1,21.8,1019,432,9.2,22.3,1535,522,6772,2,113,167,240,73,569,-39.1,29.7,5.9,405,29,64
1949,-0.5,10.4,-15.8,26.1,880,208,10.8,49.7,1565,562,6713,2,110,167,245,78,557,-39.1,29.7,11.3,459,212,61
1950,-0.8,11.2,-21.7,32.9,952,200,9.7,56.3,1695,625,6835,4,111,192,241,49,655,-39.1,29.7,11.1,435,217,64
1951,-0.7,11.8,-12.4,24.3,1098,207,8.4,57.2,1612,581,6819,3,107,167,241,74,735,-39.1,29.7,13.8,432,207,63
1952,0.5,11.4,-11.9,23.3,644,197,16.2,57.8,1344,650,6379,4,112,181,250,68,755,-39.1,29.7,15.5,452,244,62
1953,1.2,10.9,-6.0,16.9,1029,356,10.9,30.5,970,536,6114,3,117,178,242,64,478,-39.1,29.7,10.2,406,116,66
1954,0.0,9.6,-11.3,20.9,938,428,10.6,22.4,1244,413,6574,1,107,164,251,87,548,-39.1,29.7,10.9,359,26,67
1955,-1.5,10.6,-10.6,21.2,986,266,8.7,39.9,1758,507,7082,2,102,181,236,55,482,-39.1,29.7,13.1,401,117,65
1956,-0.1,11.8,-12.4,24.2,852,270,11.7,43.9,1437,620,6563,4,112,181,245,64,701,-39.1,29.7,17.2,432,177,64
1957,-0.5,9.5,-16.5,26.0,858,263,11.1,36.0,1528,515,6716,2,116,154,247,93,590,-39.1,29.7,9.5,391,128,64
1958,1.9,13.7,-5.9,19.7,1074,254,11.1,54.1,1048,844,5845,11,136,152,242,90,511,-39.1,29.7,11.7,479,226,66
1959,-0.2,11.6,-9.3,20.9,999,331,9.8,34.9,1312,490,6621,3,111,189,246,57,748,-39.1,29.7,10.4,390,151,67
1960,0.3,14.0,-10.6,24.6,771,222,13.4,63.0,1331,645,6427,5,116,186,235,49,513,-39.1,29.7,14.0,429,225,65
1961,1.0,13.3,-8.7,22.0,964,319,11.4,41.7,1207,745,6207,9,120,169,227,58,534,-39.1,29.7,15.0,430,143,66
1962,0.6,10.3,-10.1,20.4,873,266,12.1,38.7,1168,513,6350,2,114,182,239,57,669,-39.1,29.7,11.6,453,125,66
1963,1.1,11.6,-11.4,23.0,944,301,11.8,38.5,1159,653,6160,5,130,181,264,83,442,-39.1,29.7,14.4,421,121,66
1964,-0.4,10.7,-11.3,22.0,1036,447,9.3,23.9,1363,436,6697,1,107,181,234,53,581,-39.1,29.7,8.7,381,36,67
1965,0.5,12.0,-7.4,19.3,905,269,11.6,44.4,1240,599,6384,5,113,190,222,32,655,-39.1,29.7,15.4,411,142,66
1966,0.8,10.2,-8.8,18.9,922,264,11.8,38.5,1119,560,6248,4,119,175,263,88,501,-39.1,29.7,13.3,410,125,66
1967,1.5,14.1,-8.5,22.7,886,139,13.0,101.4,1160,833,6020,12,130,177,262,85,585,-39.1,29.7,17.2,466,306,65
1968,0.3,11.7,-11.2,22.9,977,369,10.5,31.8,1241,517,6464,1,115,182,250,68,568,-39.1,29.7,9.5,392,78,67
1969,0.1,11.0,-16.3,27.3,874,242,11.6,45.3,1464,651,6510,4,125,175,256,81,693,-39.1,29.7,15.1,439,240,64
1970,0.3,12.6,-9.6,22.3,848,188,12.1,67.1,1364,694,6459,7,110,183,225,42,504,-39.1,29.7,17.6,424,236,64
1971,-0.2,14.0,-12.4,26.4,1203,328,8.2,42.7,1442,621,6610,8,113,165,238,73,787,-39.1,29.7,14.6,390,126,67
1972,-0.6,12.0,-12.8,24.8,975,351,9.7,34.4,1489,514,6760,2,110,160,231,70,843,-39.1,29.7,12.2,370,102,67
1973,0.5,11.5,-10.4,21.9,995,191,10.5,60.3,1258,616,6375,5,117,175,249,74,499,-39.1,29.7,16.5,428,241,66
1974,0.9,11.1,-9.3,20.4,922,198,11.8,56.1,1147,603,6240,4,117,192,244,52,790,-39.1,29.7,14.6,425,227,66
1975,-0.5,12.9,-11.9,24.9,1081,241,8.8,53.6,1511,558,6734,4,108,180,238,58,727,-39.1,29.7,15.2,403,154,65
1976,0.1,9.6,-7.3,16.9,878,397,11.5,24.3,1206,435,6516,3,112,174,254,80,632,-39.1,29.7,14.0,362,81,68
1977,0.1,12.0,-10.1,22.1,926,265,10.9,45.4,1329,568,6534,3,113,190,240,51,451,-39.1,29.7,14.4,450,189,66
1978,-0.2,11.8,-11.8,23.6,958,352,10.2,33.5,1415,548,6643,2,119,182,254,71,743,-39.1,29.7,16.2,386,106,68
1979,0.4,12.5,-15.8,28.3,721,246,14.5,50.7,1415,731,6388,6,125,180,254,74,528,-39.1,29.7,17.5,442,170,63
1980,0.4,10.3,-12.0,22.3,977,403,10.6,25.4,1236,493,6418,0,125,155,246,91,451,-39.1,29.7,11.9,431,59,68
1981,1.1,13.1,-7.7,20.8,1183,472,9.4,27.8,1010,563,6162,7,124,153,250,97,617,-39.1,29.7,11.5,375,47,70
1982,-0.4,10.1,-9.5,19.6,1239,432,7.8,23.3,1447,532,6687,1,121,185,253,68,757,-39.1,29.7,12.4,382,41,68
1983,0.4,11.5,-13.3,24.8,1319,368,7.9,31.3,1175,480,6410,2,116,175,231,56,783,-39.1,29.7,13.5,383,55,70
1984,-0.4,11.5,-12.8,24.3,1056,338,9.1,34.0,1381,510,6692,3,105,184,232,48,704,-39.1,29.7,11.7,361,115,69
1985,-0.7,13.9,-9.5,23.4,857,332,10.8,42.0,1594,603,6803,5,116,168,230,62,568,-39.1,29.7,16.4,394,176,68
1986,0.7,12.9,-8.8,21.7,949,369,11.3,35.1,1136,577,6274,5,125,168,239,72,612,-39.1,29.7,13.9,400,100,69
1987,1.8,11.0,-8.0,19.0,700,226,16.9,48.4,1009,706,5904,5,136,175,254,79,397,-39.1,29.7,17.3,483,193,66
1988,1.0,10.9,-8.8,19.7,996,353,11.1,30.8,1119,600,6178,3,134,176,246,71,510,-39.1,29.7,14.5,448,85,68
1989,0.7,11.5,-11.7,23.2,877,347,12.2,33.0,1200,598,6289,2,126,179,246,67,540,-39.1,29.7,14.7,455,78,68
1990,0.6,11.8,-12.2,24.1,1132,469,9.4,25.3,1274,673,6321,6,129,174,257,83,525,-39.1,29.7,12.7,436,109,68
1991,1.0,12.3,-10.2,22.4,820,294,13.4,41.7,1131,636,6209,6,122,173,256,82,669,-39.1,29.7,12.3,397,112,68
1992,1.7,11.4,-11.2,22.6,960,301,12.2,38.0,992,679,5929,3,140,168,234,66,303,-39.1,29.7,12.8,461,98,69
1993,0.2,9.9,-11.3,21.1,984,442,10.4,22.3,1307,521,6469,2,134,144,248,104,633,-39.1,29.7,8.5,382,60,70
1994,1.6,13.5,-8.1,21.6,956,252,12.1,53.5,1074,769,5967,9,138,162,261,98,501,-39.1,29.7,16.9,472,164,69
1995,1.0,11.2,-8.0,19.2,1085,275,10.1,40.9,1127,599,6195,5,130,167,259,91,624,-39.1,29.7,14.9,402,130,69
1996,-0.5,12.0,-11.6,23.5,1221,367,7.8,32.6,1507,582,6738,4,114,187,241,55,766,-39.1,29.7,14.4,391,167,69
1997,0.8,11.6,-8.1,19.7,1070,524,10.1,22.2,1152,581,6266,5,133,154,260,106,782,-39.1,29.7,12.9,379,45,70
1998,2.2,14.1,-7.9,22.0,1089,260,11.2,54.1,1006,896,5739,15,146,157,265,108,550,-39.1,29.7,12.5,492,190,69
1999,1.2,12.0,-5.8,17.8,1068,373,10.5,32.3,949,530,6119,4,122,190,242,52,676,-39.1,29.7,14.4,381,70,70
2000,0.7,11.2,-8.2,19.4,893,303,12.0,37.2,1145,572,6282,3,123,184,246,62,565,-39.1,29.7,14.7,443,109,69
2001,1.3,12.7,-7.5,20.2,887,336,12.8,37.9,1054,671,6061,8,130,164,258,94,439,-39.1,29.7,9.6,414,115,69
2002,1.3,12.4,-6.3,18.7,687,202,16.5,61.3,1051,663,6078,6,126,181,249,68,517,-39.1,29.7,15.3,423,235,68
2003,1.9,14.0,-7.0,21.0,830,164,14.3,85.4,1046,840,5864,12,143,174,257,83,446,-39.1,29.7,15.7,447,259,69
2004,2.0,12.7,-7.4,20.1,1161,457,10.3,27.8,918,732,5816,7,141,174,250,75,494,-39.1,29.7,8.4,456,98,71
2005,1.5,12.2,-7.5,19.7,876,327,13.1,37.2,1023,662,6002,6,142,154,246,92,479,-39.1,29.7,9.3,445,156,71
2006,1.9,13.8,-6.7,20.5,1065,297,11.2,46.4,1008,788,5852,9,145,168,257,89,582,-39.1,29.7,13.7,468,154,70
