Month,Year,Max Temp,Min Temp,Ave Temp,Precipitation,Radiation,DDays < 0°C,DDays > 5°C,DDays < 18°C,DDays > 18°C,Frost Free Days,Snowfall,Evaporation,Moisture Deficit,Relative Humidity
Jan,1901,-3.4,-8.9,-6.2,206,-9999.0,210,1,750,0,1,161,0,0,76
Feb,1901,-1.9,-8.7,-5.3,158,-9999.0,169,1,648,0,1,139,0,0,71
Mar,1901,2.1,-6.1,-2.0,99,-9999.0,104,3,622,0,2,83,0,0,68
Apr,1901,4.2,-4.4,-0.1,116,-9999.0,59,8,543,0,4,92,0,0,67
May,1901,11.2,0.1,5.7,82,-9999.0,4,57,382,1,14,19,76,0,63
Jun,1901,11.9,0.9,6.4,122,-9999.0,2,67,348,0,17,20,81,0,64
Jul,1901,15.3,4.5,9.9,39,-9999.0,0,149,253,1,29,2,91,52,65
Aug,1901,18.7,5.9,12.3,37,-9999.0,0,228,178,3,30,1,92,55,60
Sep,1901,12.2,2.0,7.1,76,-9999.0,2,83,327,1,20,10,49,0,66
Oct,1901,9.3,0.1,4.7,166,-9999.0,11,51,414,0,15,15,28,0,69
Nov,1901,3.0,-3.3,-0.1,278,-9999.0,65,8,544,0,7,100,0,0,76
Dec,1901,-0.6,-6.6,-3.6,177,-9999.0,137,2,665,0,3,108,0,0,75
Jan,1902,-1.6,-8.5,-5.1,142,-9999.0,181,1,716,0,2,99,0,0,71
Feb,1902,1.8,-5.2,-1.7,302,-9999.0,89,3,548,0,3,163,0,0,72
Mar,1902,-0.2,-7.4,-3.8,227,-9999.0,149,2,679,0,2,214,0,0,70
Apr,1902,4.8,-4.4,0.2,84,-9999.0,53,9,533,0,4,63,42,0,66
May,1902,9.7,-0.6,4.6,122,-9999.0,7,40,417,1,12,42,69,0,65
Jun,1902,14.0,0.9,7.4,63,-9999.0,1,86,317,0,17,6,92,29,58
Jul,1902,14.6,3.6,9.1,49,-9999.0,0,126,277,0,27,3,89,40,65
Aug,1902,16.9,4.4,10.6,27,-9999.0,0,173,230,1,28,1,85,59,61
Sep,1902,12.8,1.2,7.0,75,-9999.0,2,80,332,1,18,10,52,0,62
Oct,1902,8.0,-1.6,3.2,105,-9999.0,19,34,460,0,10,20,27,0,67
Nov,1902,-1.2,-7.6,-4.4,255,-9999.0,161,2,672,0,2,193,0,0,73
Dec,1902,-2.8,-9.0,-5.9,199,-9999.0,201,1,738,0,1,163,0,0,75
Jan,1903,-1.4,-7.4,-4.4,179,-9999.0,161,1,694,0,2,113,0,0,75
Feb,1903,-2.5,-11.3,-6.9,36,-9999.0,207,0,692,0,0,34,0,0,63
Mar,1903,-0.7,-10.8,-5.8,139,-9999.0,201,1,739,0,0,136,0,0,59
Apr,1903,3.9,-4.8,-0.4,61,-9999.0,65,7,553,0,3,50,0,0,67
May,1903,9.0,-1.9,3.5,80,-9999.0,12,29,449,0,8,37,68,0,62
Jun,1903,16.5,4.2,10.3,113,-9999.0,0,161,231,1,26,2,99,0,61
Jul,1903,14.2,4.6,9.4,64,-9999.0,0,135,267,0,29,3,84,20,69
Aug,1903,15.1,5.8,10.4,78,-9999.0,0,166,236,1,30,3,73,0,70
Sep,1903,10.0,2.5,6.3,267,-9999.0,3,66,353,1,21,43,40,0,75
Oct,1903,7.9,-1.6,3.1,143,-9999.0,20,33,462,0,10,28,27,0,67
Nov,1903,0.8,-6.4,-2.8,281,-9999.0,122,3,624,0,3,174,0,0,70
Dec,1903,-0.1,-5.6,-2.8,126,-9999.0,120,2,643,0,4,66,0,0,74
Jan,1904,-1.9,-7.4,-4.6,189,-9999.0,169,1,703,0,2,125,0,0,77
Feb,1904,-4.6,-10.3,-7.5,219,-9999.0,222,0,709,0,1,209,0,0,76
Mar,1904,-1.1,-8.8,-5.0,246,-9999.0,179,1,714,0,1,239,0,0,68
Apr,1904,7.0,-3.6,1.7,86,-9999.0,33,14,489,0,5,48,49,0,62
May,1904,9.9,-1.7,4.1,59,-9999.0,9,35,431,1,9,24,72,12,61
Jun,1904,14.4,1.4,7.9,56,-9999.0,1,96,304,0,19,5,93,37,58
Jul,1904,17.3,4.5,10.9,41,-9999.0,0,181,221,1,29,1,103,62,60
Aug,1904,18.1,4.2,11.1,55,-9999.0,0,189,214,2,28,2,92,37,57
Sep,1904,14.7,2.7,8.7,57,-9999.0,1,120,280,2,22,4,56,0,61
Oct,1904,7.8,-0.7,3.5,58,-9999.0,17,37,451,0,13,9,26,0,71
Nov,1904,5.2,-3.1,1.0,160,-9999.0,46,12,509,0,7,42,13,0,70
Dec,1904,-0.7,-6.5,-3.6,220,-9999.0,139,2,667,0,3,135,0,0,77
Jan,1905,-2.6,-7.3,-4.9,116,-9999.0,177,1,712,0,2,80,0,0,80
Feb,1905,-1.2,-10.2,-5.7,68,-9999.0,179,1,660,0,1,61,0,0,63
Mar,1905,4.4,-4.0,0.2,131,-9999.0,62,7,554,0,5,73,29,0,69
Apr,1905,6.7,-4.8,1.0,68,-9999.0,42,11,510,0,3,45,49,0,59
May,1905,10.3,-2.0,4.1,83,-9999.0,9,35,430,1,8,33,74,0,58
