Year,Max Temp,Min Temp,Ave Temp,Precipitation,DDays < 0°C,DDays > 5°C,DDays < 18°C,DDays > 18°C,Frost Free Days,Snowfall,Evaporation,Moisture Deficit,Relative Humidity
1901,-2.0,-8.1,-5.0,542,516,3,2063,0,5,407,0,0,74
1902,-0.1,-6.8,-3.5,621,471,4,2002,0,6,425,0,0,73
1903,-2.2,-9.2,-5.7,414,488,4,2029,0,6,310,0,0,70
1904,-2.2,-7.8,-5.0,534,530,3,2079,0,6,400,0,0,77
1905,-1.5,-8.0,-4.8,404,511,3,2059,0,5,275,0,0,73
1906,-0.7,-7.5,-4.1,512,475,4,2014,0,6,352,0,0,72
1907,-4.8,-11.0,-7.9,557,732,2,2294,0,4,475,0,0,73
1908,-1.2,-7.9,-4.6,515,530,3,2079,0,4,376,0,0,72
1909,-4.6,-10.4,-7.5,726,777,1,2357,0,2,650,0,0,75
1910,-4.0,-10.8,-7.4,461,554,4,2105,0,6,405,0,0,70
1911,-3.8,-9.5,-6.6,414,701,2,2275,0,3,309,0,0,76
1912,-1.9,-7.6,-4.8,461,496,4,2039,0,6,344,0,0,76
1913,-3.8,-10.6,-7.2,477,668,2,2237,0,3,407,0,0,71
1914,-1.5,-7.2,-4.3,502,557,2,2108,0,5,352,0,0,76
1915,-1.7,-8.3,-5.0,263,456,4,1992,0,7,181,0,0,72
1916,-5.4,-11.5,-8.5,610,922,1,2506,0,1,516,0,0,73
1917,-4.7,-10.9,-7.8,324,636,2,2204,0,3,301,0,0,73
1918,-2.4,-7.9,-5.2,819,516,3,2063,0,6,646,0,0,77
1919,-1.6,-8.2,-4.9,658,532,3,2079,0,5,489,0,0,72
1920,-0.6,-8.8,-4.7,396,435,4,1969,0,6,294,0,0,66
1921,-1.2,-6.9,-4.0,764,549,3,2099,0,4,513,0,0,76
1922,-4.5,-11.3,-7.9,437,756,1,2347,0,2,405,0,0,71
1923,-3.6,-10.4,-7.0,672,571,2,2127,0,4,588,0,0,71
1924,-0.8,-6.0,-3.4,921,501,5,2028,0,8,550,0,0,79
1925,-1.8,-7.6,-4.7,665,327,10,1816,0,15,461,0,0,75
1926,1.2,-4.6,-1.7,519,405,6,1924,0,8,206,0,0,77
1927,-2.4,-8.5,-5.4,557,648,2,2216,0,3,446,0,0,74
1928,-2.0,-8.7,-5.3,351,432,4,1965,0,6,250,0,0,72
1929,-3.6,-11.3,-7.5,268,704,2,2283,0,3,214,0,0,67
1930,-3.6,-9.9,-6.7,707,606,6,2140,0,8,504,0,0,73
1931,0.9,-4.7,-1.9,427,363,7,1872,0,11,193,0,0,77
1932,-2.7,-8.7,-5.7,638,610,2,2172,0,3,514,0,0,74
1933,-3.2,-9.1,-6.1,580,582,2,2141,0,5,457,0,0,75
1934,0.4,-6.4,-3.0,819,367,7,1877,0,9,511,0,0,73
1935,-1.6,-8.0,-4.8,896,428,7,1946,0,9,701,0,0,73
1936,-2.6,-9.0,-5.8,450,650,3,2212,0,5,296,0,0,72
1937,-4.5,-12.0,-8.3,649,781,2,2356,0,3,539,0,0,68
1938,-2.0,-8.3,-5.1,619,522,3,2070,0,5,469,0,0,73
1939,-1.6,-7.8,-4.7,627,398,10,1896,0,13,408,0,0,74
1940,0.7,-5.1,-2.2,748,375,6,1895,0,9,330,0,0,76
1941,0.5,-5.8,-2.7,516,384,6,1903,0,8,275,0,0,74
1942,-1.1,-7.8,-4.4,432,451,4,1989,0,6,302,0,0,72
1943,-2.3,-9.0,-5.6,587,594,3,2150,0,4,417,0,0,72
1944,-1.3,-7.7,-4.5,384,507,3,2053,0,5,273,0,0,73
1945,-1.1,-7.4,-4.2,441,452,4,1989,0,6,306,0,0,73
1946,-1.5,-7.2,-4.4,617,471,3,2011,0,6,443,0,0,76
1947,-1.8,-8.5,-5.1,724,487,4,2030,0,5,558,0,0,72
1948,-1.9,-7.9,-4.9,841,643,2,2209,0,4,616,0,0,75
1949,-5.4,-13.2,-9.3,476,829,1,2420,0,1,457,0,0,66
1950,-7.1,-13.4,-10.3,776,829,14,2381,0,5,696,0,0,71
1951,-2.3,-8.3,-5.3,899,709,1,2288,0,2,665,0,0,74
1952,-4.4,-10.2,-7.3,546,552,3,2110,0,5,486,0,0,75
