Year,Ave Temp,Warmest Month,Coldest Month,Difference,Mean Precip,May-Sep Precip,Heat-Moist I,Summer Heat-Moist I,DDays < 0°C,DDays > 5°C,DDays < 18°C,DDays > 18°C,Frost Free Days,Begin FFP,End FFP,Frost Free Period,Snowfall,Min Temp (30),Max Temp (30),Radiation,Evaporation,Moisture Deficit,Relative Humidity
1901,2.4,12.3,-6.2,18.5,1557,356,8.0,34.6,762,657,5673,6,143,155,248,93,748,-34.3,28.8,-9999.0,416,107,68
1902,1.8,10.6,-5.9,16.6,1649,335,7.1,31.8,865,556,5919,4,125,165,242,76,978,-34.3,28.8,-9999.0,456,128,67
1903,1.7,10.4,-4.4,14.8,1565,601,7.5,17.3,912,605,5944,5,137,185,252,67,763,-34.3,28.8,-9999.0,392,20,68
1904,2.4,11.1,-4.6,15.8,1448,269,8.5,41.4,817,689,5691,6,137,182,254,72,966,-34.3,28.8,-9999.0,504,148,66
1905,2.2,11.9,-4.9,16.9,1268,485,9.7,24.6,789,664,5734,6,132,189,263,74,487,-34.3,28.8,-9999.0,478,102,66
1906,2.4,13.4,-5.3,18.6,1561,416,8.0,32.1,792,708,5663,8,139,169,258,89,677,-34.3,28.8,-9999.0,476,207,67
1907,1.5,11.3,-13.9,25.3,1389,402,8.3,28.2,1060,635,6017,5,136,173,259,86,921,-34.3,28.8,-9999.0,466,124,66
1908,1.8,11.6,-5.8,17.3,1666,314,7.1,36.8,856,606,5905,5,128,184,247,63,792,-34.3,28.8,-9999.0,446,103,68
1909,0.6,9.4,-10.9,20.3,1513,354,7.0,26.5,1172,520,6343,4,125,187,262,74,1020,-34.3,28.8,-9999.0,384,76,69
1910,2.0,10.8,-6.1,16.9,1651,343,7.3,31.6,816,591,5813,5,139,175,259,84,806,-34.3,28.8,-9999.0,451,97,69
1911,0.8,10.9,-10.2,21.2,1306,444,8.3,24.6,1120,561,6250,4,125,174,256,81,733,-34.3,28.8,-9999.0,393,116,69
1912,1.8,9.9,-6.8,16.8,1300,396,9.0,25.1,848,559,5924,4,136,165,246,81,697,-34.3,28.8,-9999.0,382,93,70
1913,0.8,10.3,-10.0,20.3,1484,542,7.3,19.0,1099,523,6264,3,131,174,254,80,801,-34.3,28.8,-9999.0,408,24,70
1914,2.3,10.7,-6.9,17.6,1649,415,7.5,25.8,792,634,5714,5,149,170,264,94,813,-34.3,28.8,-9999.0,450,182,70
