Month,Year,Max Temp,Min Temp,Ave Temp,Precipitation,Radiation,DDays < 0°C,DDays > 5°C,DDays < 18°C,DDays > 18°C,Frost Free Days,Snowfall,Evaporation,Moisture Deficit,Relative Humidity
Jan,1901,-2.7,-13.3,-8.0,132,-9999.0,255,0,806,0,0,117,0,0,56
Feb,1901,-2.9,-15.2,-9.1,237,-9999.0,256,0,754,0,0,232,0,0,50
Mar,1901,0.7,-11.1,-5.2,73,-9999.0,186,0,722,0,0,72,0,0,53
Apr,1901,6.8,-6.8,0.0,113,-9999.0,57,12,540,0,1,88,56,0,52
May,1901,15.9,1.2,8.5,88,-9999.0,1,121,293,0,18,5,105,16,54
Jun,1901,16.0,0.5,8.3,63,-9999.0,1,105,292,0,15,4,109,46,52
Jul,1901,26.2,6.7,16.5,12,-9999.0,0,356,65,18,30,0,161,150,45
Aug,1901,23.0,6.5,14.8,45,-9999.0,0,301,107,9,30,0,124,80,51
Sep,1901,13.9,-0.6,6.6,35,-9999.0,3,73,342,0,12,5,67,32,53
Oct,1901,10.9,-2.2,4.4,58,-9999.0,13,47,424,0,9,6,43,0,56
Nov,1901,4.5,-6.5,-1.0,104,-9999.0,81,9,570,0,3,46,0,0,59
Dec,1901,-2.6,-11.0,-6.8,193,-9999.0,225,0,765,0,1,168,0,0,65
Jan,1902,-4.5,-16.4,-10.5,32,-9999.0,328,0,883,0,0,31,0,0,51
Feb,1902,0.7,-10.0,-4.6,110,-9999.0,153,0,630,0,1,92,0,0,57
Mar,1902,0.5,-12.4,-5.9,125,-9999.0,205,0,743,0,0,123,0,0,49
Apr,1902,6.4,-5.7,0.4,83,-9999.0,51,12,530,0,2,62,54,0,56
May,1902,13.3,-1.7,5.8,61,-9999.0,4,59,379,0,9,13,94,34,52
Jun,1902,17.7,0.8,9.3,33,-9999.0,0,131,262,0,17,1,118,85,49
Jul,1902,20.6,3.2,11.9,24,-9999.0,0,213,190,2,26,0,132,108,48
Aug,1902,21.7,3.8,12.8,9,-9999.0,0,242,164,4,27,0,121,112,47
Sep,1902,16.0,-0.9,7.6,18,-9999.0,2,93,314,1,11,2,75,57,48
Oct,1902,10.0,-4.5,2.8,19,-9999.0,23,30,474,0,4,5,42,23,51
Nov,1902,1.2,-9.8,-4.3,104,-9999.0,158,0,669,0,1,78,0,0,57
Dec,1902,-3.1,-13.7,-8.4,136,-9999.0,268,0,815,0,0,127,0,0,65
Jan,1903,-3.4,-13.7,-8.5,200,-9999.0,268,0,823,0,0,180,0,0,57
Feb,1903,-8.0,-22.2,-15.1,42,-9999.0,425,0,923,0,0,42,0,0,41
Mar,1903,1.2,-12.7,-5.8,91,-9999.0,200,3,738,0,0,89,0,0,46
Apr,1903,5.3,-6.9,-0.8,162,-9999.0,71,12,563,0,1,138,0,0,55
May,1903,10.3,-3.2,3.5,107,-9999.0,12,29,448,0,5,49,81,0,54
Jun,1903,18.5,2.3,10.4,47,-9999.0,0,163,229,1,22,1,121,74,51
Jul,1903,20.0,3.7,11.9,16,-9999.0,0,212,191,2,27,0,127,111,51
Aug,1903,22.4,4.3,13.4,14,-9999.0,0,261,145,5,28,0,124,111,47
Sep,1903,13.6,-0.5,6.5,52,-9999.0,3,71,344,0,13,8,66,14,55
Oct,1903,10.7,-3.7,3.5,89,-9999.0,17,37,450,0,5,15,43,0,52
Nov,1903,2.5,-9.9,-3.7,185,-9999.0,143,5,650,0,1,129,0,0,52
Dec,1903,-2.0,-12.3,-7.1,73,-9999.0,234,0,775,0,0,64,0,0,56
Jan,1904,-5.1,-16.0,-10.5,84,-9999.0,329,0,884,0,0,80,0,0,54
Feb,1904,-2.0,-11.4,-6.7,229,-9999.0,204,0,689,0,0,214,0,0,61
Mar,1904,-0.3,-10.2,-5.3,271,-9999.0,187,0,723,0,1,265,0,0,59
Apr,1904,6.9,-7.0,0.0,67,-9999.0,57,10,541,0,1,52,0,0,51
