Year,Ave Temp,Warmest Month,Coldest Month,Difference,Mean Precip,May-Sep Precip,Heat-Moist I,Summer Heat-Moist I,DDays < 0°C,DDays > 5°C,DDays < 18°C,DDays > 18°C,Frost Free Days,Begin FFP,End FFP,Frost Free Period,Snowfall,Min Temp (30),Max Temp (30),Radiation,Evaporation,Moisture Deficit,Relative Humidity
1901,2.4,16.5,-9.1,25.5,1155,243,10.8,67.7,1078,1024,5679,27,120,143,224,81,743,-42.5,32.7,-9999.0,665,324,54
1902,1.4,12.8,-10.5,23.2,753,145,15.1,88.1,1192,779,6053,6,98,180,227,47,547,-42.5,32.7,-9999.0,636,419,52
1903,0.7,13.4,-15.1,28.5,1077,235,9.9,56.8,1374,794,6280,8,104,195,229,34,711,-42.5,32.7,-9999.0,562,310,52
1904,1.8,13.2,-10.5,23.7,1068,202,11.0,65.0,1127,850,5898,9,106,173,235,62,797,-42.5,32.7,-9999.0,580,337,52
1905,1.2,13.4,-11.5,24.9,1118,292,10.0,45.8,1228,831,6101,10,100,193,240,47,717,-42.5,32.7,-9999.0,593,292,51
1906,1.3,13.1,-9.4,22.4,1556,377,7.3,34.7,1177,775,6068,8,99,185,237,53,1021,-42.5,32.7,-9999.0,619,255,53
1907,1.5,12.7,-10.7,23.4,1302,296,8.8,42.8,1095,711,6005,5,100,184,226,42,920,-42.5,32.7,-9999.0,602,215,55
1908,0.7,14.0,-10.8,24.8,1224,437,8.7,32.1,1330,746,6298,9,101,189,235,46,677,-42.5,32.7,-9999.0,596,205,51
1909,0.9,14.0,-13.5,27.5,1491,346,7.3,40.5,1371,868,6210,13,112,188,250,62,996,-42.5,32.7,-9999.0,563,234,54
1910,2.3,14.7,-11.2,25.8,885,168,13.9,87.4,1108,962,5708,13,106,190,241,51,606,-42.5,32.7,-9999.0,696,431,50
1911,0.0,12.3,-13.4,25.7,1092,291,9.2,42.1,1538,748,6536,7,97,185,235,50,597,-42.5,32.7,-9999.0,561,260,51
1912,0.1,11.9,-10.0,21.9,1227,341,8.2,34.9,1374,630,6524,4,98,189,218,29,807,-42.5,32.7,-9999.0,504,140,55
1913,0.5,13.6,-12.5,26.0,1253,521,8.4,26.0,1488,819,6357,9,115,176,241,65,740,-42.5,32.7,-9999.0,601,87,53
1914,1.6,13.5,-12.0,25.5,1009,310,11.5,43.5,1202,847,5973,8,114,175,227,53,659,-42.5,32.7,-9999.0,627,249,52
1915,1.6,13.6,-10.0,23.5,942,423,12.3,32.1,1115,753,5973,8,103,187,240,54,362,-42.5,32.7,-9999.0,618,252,52
1916,0.4,13.6,-12.8,26.4,1299,352,8.0,38.6,1403,734,6399,7,88,206,227,21,728,-42.5,32.7,-9999.0,617,268,51
1917,0.5,14.9,-14.5,29.4,1313,246,8.0,60.5,1480,826,6387,13,99,175,249,74,1230,-42.5,32.7,-9999.0,570,333,52
1918,1.3,13.1,-10.3,23.4,1201,320,9.4,40.8,1300,895,6068,12,119,188,242,55,704,-42.5,32.7,-9999.0,568,211,52
1919,1.1,15.3,-11.1,26.4,856,146,13.0,105.0,1456,1025,6156,20,109,180,252,72,550,-42.5,32.7,-9999.0,669,490,48
1920,0.6,13.9,-9.3,23.1,1043,241,10.2,57.6,1356,773,6313,9,101,171,238,67,728,-42.5,32.7,-9999.0,558,311,53
1921,1.9,13.7,-8.9,22.6,1242,274,9.6,50.0,1094,883,5841,10,113,163,219,56,808,-42.5,32.7,-9999.0,585,271,52
1922,0.5,14.2,-13.7,27.9,1792,423,5.9,33.7,1592,953,6341,15,106,172,240,68,1052,-42.5,32.7,-9999.0,603,140,50
1923,0.3,14.8,-13.1,27.9,1498,375,6.9,39.6,1527,815,6444,12,104,173,240,66,1143,-42.5,32.7,-9999.0,552,154,51
1924,0.3,12.8,-13.4,26.2,1356,283,7.6,45.4,1530,783,6440,7,94,180,232,52,826,-42.5,32.7,-9999.0,588,304,50
1925,1.8,13.8,-9.3,23.1,1926,620,6.1,22.2,1073,804,5900,8,118,169,246,77,1156,-42.5,32.7,-9999.0,597,78,58
1926,2.2,14.2,-10.0,24.2,1460,398,8.4,35.6,1070,925,5747,12,114,177,209,33,897,-42.5,32.7,-9999.0,661,223,52
1927,1.0,13.6,-11.9,25.5,1824,492,6.0,27.5,1290,801,6176,8,117,184,241,57,1027,-42.5,32.7,-9999.0,543,124,55
1928,1.1,13.7,-10.9,24.6,1420,375,7.8,36.4,1293,825,6135,9,101,150,231,80,960,-42.5,32.7,-9999.0,583,207,50
1929,0.5,14.7,-13.3,28.0,1431,326,7.3,45.2,1495,863,6362,16,98,196,229,33,1008,-42.5,32.7,-9999.0,586,265,50
1930,1.0,14.4,-16.2,30.7,1637,480,6.7,30.1,1451,918,6197,16,113,186,239,53,885,-42.5,32.7,-9999.0,625,110,52
1931,1.4,15.2,-10.3,25.5,966,308,11.8,49.3,1337,969,6062,18,111,197,235,38,637,-42.5,32.7,-9999.0,667,273,50
1932,0.3,13.4,-13.8,27.2,1051,264,9.8,50.8,1584,834,6456,9,105,179,232,54,742,-42.5,32.7,-9999.0,572,276,51
1933,1.6,15.1,-14.6,29.7,789,203,14.7,74.5,1251,991,5942,19,110,193,235,42,645,-42.5,32.7,-9999.0,612,427,51
1934,3.7,15.0,-8.1,23.1,907,201,15.1,74.6,789,1049,5228,17,118,171,221,50,342,-42.5,32.7,-9999.0,756,410,51
1935,1.1,14.4,-9.3,23.7,832,150,13.3,96.5,1338,913,6159,15,102,190,240,50,646,-42.5,32.7,-9999.0,606,423,49
1936,1.6,16.1,-11.4,27.5,1135,238,10.3,67.5,1348,1060,5957,24,112,174,221,47,917,-42.5,32.7,-9999.0,621,358,49
1937,1.1,14.5,-16.7,31.3,1182,209,9.4,69.3,1471,992,6131,18,114,169,243,74,722,-42.5,32.7,-9999.0,609,353,52
