Year,Max Temp,Min Temp,Ave Temp,Precipitation,DDays < 0°C,DDays > 5°C,DDays < 18°C,DDays > 18°C,Frost Free Days,Snowfall,Evaporation,Moisture Deficit,Relative Humidity
1901,-7.1,-16.9,-12.0,405,1081,0,2686,0,0,398,0,0,58
1902,-5.0,-15.2,-10.1,351,929,0,2527,0,0,340,0,0,57
1903,-7.1,-18.2,-12.7,280,1146,0,2751,0,0,275,0,0,53
1904,-6.8,-16.8,-11.8,334,1062,0,2665,0,0,325,0,0,57
1905,-7.3,-17.7,-12.5,248,1127,0,2732,0,0,244,0,0,55
1906,-5.1,-15.9,-10.5,226,959,0,2564,0,0,220,0,0,54
1907,-9.9,-20.8,-15.4,438,1398,0,3008,0,0,435,0,0,52
1908,-5.9,-17.1,-11.5,315,1038,0,2643,0,0,308,0,0,53
1909,-10.6,-20.8,-15.7,533,1421,0,3027,0,0,532,0,0,55
1910,-9.6,-21.0,-15.3,321,1379,0,2986,0,0,319,0,0,51
1911,-9.3,-20.1,-14.7,391,1326,0,2932,0,0,387,0,0,53
1912,-7.4,-17.5,-12.4,224,1136,0,2740,0,0,221,0,0,56
1913,-9.0,-19.8,-14.4,290,1298,0,2904,0,0,288,0,0,53
1914,-6.7,-17.4,-12.0,254,1088,0,2693,0,0,248,0,0,55
1915,-7.5,-18.6,-13.0,107,1186,0,2794,0,0,105,0,0,52
1916,-11.5,-22.7,-17.1,305,1555,0,3160,0,0,303,0,0,50
1917,-10.6,-20.9,-15.8,211,1424,0,3031,0,0,211,0,0,55
1918,-8.8,-19.9,-14.3,493,1294,0,2900,0,0,491,0,0,52
1919,-6.5,-18.4,-12.4,403,1109,0,2717,0,0,391,0,0,50
1920,-6.1,-19.4,-12.7,380,1157,0,2762,0,0,375,0,0,45
1921,-6.1,-16.7,-11.4,411,1027,0,2640,0,0,404,0,0,55
1922,-10.6,-23.0,-16.8,220,1506,0,3113,0,0,219,0,0,47
1923,-8.9,-20.4,-14.7,271,1327,0,2934,0,0,269,0,0,51
