Year,Ave Temp,Warmest Month,Coldest Month,Difference,Mean Precip,May-Sep Precip,Heat-Moist I,Summer Heat-Moist I,DDays < 0°C,DDays > 5°C,DDays < 18°C,DDays > 18°C,Frost Free Days,Begin FFP,End FFP,Frost Free Period,Snowfall,Min Temp (30),Max Temp (30),Radiation,Evaporation,Moisture Deficit,Relative Humidity
1901,-1.3,11.3,-13.1,24.4,1394,653,6.3,17.3,1676,493,6995,3,103,145,220,76,812,-49.1,27.3,-9999.0,388,6,62
1902,-2.0,8.7,-14.2,22.9,1498,789,5.3,11.0,1801,357,7287,3,86,159,219,60,811,-49.1,27.3,-9999.0,375,0,60
1903,-2.1,9.8,-13.0,22.8,1350,756,5.8,13.0,1847,409,7313,4,97,187,221,34,721,-49.1,27.3,-9999.0,369,15,60
1904,-1.5,10.3,-15.6,25.9,1101,419,7.7,24.6,1760,460,7095,0,91,175,223,48,719,-49.1,27.3,-9999.0,405,61,59
1905,-1.7,10.3,-13.9,24.2,1081,606,7.6,17.0,1762,422,7176,1,87,191,241,50,561,-49.1,27.3,-9999.0,375,48,59
1906,-1.4,12.3,-13.0,25.3,1133,473,7.6,26.1,1746,512,7067,3,101,182,229,47,505,-49.1,27.3,-9999.0,421,82,60
1907,-2.9,9.0,-23.4,32.4,1634,787,4.4,11.5,2064,338,7606,0,87,179,227,48,968,-49.1,27.3,-9999.0,358,0,60
1908,-2.0,10.4,-13.8,24.2,1330,578,6.0,18.1,1873,422,7296,1,93,171,234,63,785,-49.1,27.3,-9999.0,363,19,59
1909,-3.6,9.5,-19.3,28.7,1504,514,4.3,18.4,2388,410,7849,0,88,171,237,67,960,-49.1,27.3,-9999.0,364,0,60
1910,-1.5,10.2,-16.4,26.6,1184,455,7.2,22.3,1696,412,7077,0,89,186,220,33,663,-49.1,27.3,-9999.0,425,78,60
1911,-3.7,8.3,-18.4,26.7,1310,583,4.8,14.3,2302,319,7876,0,80,175,227,52,813,-49.1,27.3,-9999.0,340,0,59
1912,-2.2,9.4,-14.7,24.1,1233,684,6.3,13.7,1843,352,7373,1,95,175,216,41,504,-49.1,27.3,-9999.0,332,30,62
1913,-3.1,9.1,-17.0,26.1,1310,679,5.3,13.4,2177,386,7662,0,92,185,231,46,712,-49.1,27.3,-9999.0,346,5,59
1914,-1.7,10.8,-17.0,27.9,1202,468,6.9,23.1,1845,473,7182,0,99,178,228,49,432,-49.1,27.3,-9999.0,395,68,60
1915,-1.0,11.7,-12.7,24.4,1237,776,7.3,15.1,1599,479,6916,3,107,169,218,48,270,-49.1,27.3,-9999.0,425,27,61
1916,-4.0,8.7,-27.0,35.7,1302,614,4.6,14.2,2474,368,8001,1,90,191,227,37,805,-49.1,27.3,-9999.0,330,0,61
1917,-2.5,10.8,-15.5,26.2,1159,554,6.5,19.4,2092,464,7453,0,89,168,232,64,647,-49.1,27.3,-9999.0,386,46,58
1918,-1.8,10.2,-14.4,24.6,1205,449,6.8,22.7,1876,486,7201,2,92,189,233,45,789,-49.1,27.3,-9999.0,410,49,56
1919,-2.6,10.5,-16.4,26.9,913,364,8.1,28.8,2144,500,7501,1,83,186,238,53,661,-49.1,27.3,-9999.0,412,85,53
1920,-2.4,11.4,-13.7,25.0,1132,412,6.7,27.5,1983,457,7442,2,78,170,224,54,826,-49.1,27.3,-9999.0,386,72,56
1921,-2.3,9.3,-14.7,24.0,1228,447,6.3,20.9,1897,403,7373,1,84,180,211,31,756,-49.1,27.3,-9999.0,399,53,58
1922,-3.1,10.1,-18.9,29.1,894,388,7.7,26.2,2366,525,7659,0,91,186,237,51,526,-49.1,27.3,-9999.0,435,140,53
1923,-1.8,10.3,-13.6,23.9,1228,721,6.6,14.3,1841,450,7217,2,91,179,224,45,580,-49.1,27.3,-9999.0,372,0,55
1924,-2.1,10.8,-18.8,29.5,1304,476,6.1,22.6,1996,470,7328,0,92,174,232,58,670,-49.1,27.3,-9999.0,417,63,58
1925,-0.9,11.1,-12.2,23.3,1094,585,8.3,18.9,1570,495,6878,3,94,186,233,47,768,-49.1,27.3,-9999.0,401,85,59
1926,-1.1,11.3,-14.4,25.7,1014,517,8.8,21.8,1546,437,6956,2,87,176,200,24,447,-49.1,27.3,-9999.0,396,65,59
1927,-3.4,9.7,-20.9,30.5,1357,677,4.8,14.3,2354,426,7798,0,95,176,228,53,743,-49.1,27.3,-9999.0,355,0,59
1928,-1.4,10.8,-12.7,23.5,988,459,8.7,23.4,1738,483,7048,2,90,158,221,63,645,-49.1,27.3,-9999.0,401,120,56
1929,-2.4,10.5,-18.6,29.1,1196,412,6.4,25.5,2073,493,7404,1,88,176,217,41,569,-49.1,27.3,-9999.0,423,89,56
1930,-1.6,10.9,-22.0,32.9,1088,494,7.7,22.2,1864,543,7139,1,99,188,238,50,940,-49.1,27.3,-9999.0,436,53,59
1931,-1.2,10.0,-12.4,22.4,1105,577,8.0,17.3,1656,467,6990,4,94,180,231,50,348,-49.1,27.3,-9999.0,387,43,59
1932,-2.4,9.7,-16.5,26.1,1297,476,5.8,20.3,2065,456,7438,0,95,179,228,49,731,-49.1,27.3,-9999.0,381,23,60
1933,-2.0,10.5,-15.7,26.2,1309,434,6.1,24.2,1943,488,7278,0,91,174,229,56,728,-49.1,27.3,-9999.0,394,63,59
1934,-0.3,9.9,-12.6,22.5,976,375,10.0,26.4,1399,498,6649,4,92,165,215,50,734,-49.1,27.3,-9999.0,482,145,58
1935,-2.4,9.6,-15.6,25.2,1094,509,6.9,18.9,1974,397,7449,1,82,180,235,55,767,-49.1,27.3,-9999.0,372,18,57
1936,-2.1,11.8,-23.4,35.1,959,397,8.2,29.7,2128,628,7284,3,102,158,219,62,500,-49.1,27.3,-9999.0,455,92,56
1937,-2.7,10.3,-23.5,33.7,1260,522,5.8,19.6,2219,484,7518,0,96,174,232,58,541,-49.1,27.3,-9999.0,411,0,57
1938,-1.6,11.0,-15.7,26.7,1050,428,8.0,25.7,1904,575,7107,2,100,185,243,58,812,-49.1,27.3,-9999.0,430,39,57
1939,-1.0,10.4,-16.4,26.8,1225,496,7.4,21.0,1582,475,6889,0,95,176,239,63,621,-49.1,27.3,-9999.0,385,113,60
1940,-0.8,10.8,-14.3,25.0,913,298,10.0,36.1,1746,623,6848,4,110,165,250,85,565,-49.1,27.3,-9999.0,446,171,59
1941,-0.7,11.8,-12.4,24.2,1141,603,8.2,19.6,1494,517,6791,3,103,175,219,44,497,-49.1,27.3,-9999.0,425,110,59
1942,-1.9,10.4,-13.7,24.1,1201,609,6.7,17.1,1885,475,7231,1,97,184,228,44,682,-49.1,27.3,-9999.0,390,0,59
1943,-2.0,9.9,-19.4,29.3,1016,422,7.9,23.5,1874,414,7296,0,80,197,220,23,713,-49.1,27.3,-9999.0,439,27,57
1944,-1.5,9.4,-13.1,22.5,1070,629,7.9,15.0,1760,438,7093,4,97,179,234,56,519,-49.1,27.3,-9999.0,400,4,57
1945,-2.4,10.3,-13.0,23.2,1346,502,5.7,20.5,1961,432,7411,2,86,167,223,56,642,-49.1,27.3,-9999.0,396,22,58
1946,-1.6,9.9,-12.5,22.5,1523,609,5.5,16.3,1760,442,7123,4,84,198,234,36,753,-49.1,27.3,-9999.0,398,33,57
1947,-1.5,11.1,-12.5,23.7,1393,515,6.1,21.6,1723,449,7085,3,94,181,231,50,924,-49.1,27.3,-9999.0,379,37,59
1948,-2.6,8.9,-17.8,26.7,1320,560,5.6,16.0,2154,460,7508,0,98,151,233,82,1018,-49.1,27.3,7.4,379,0,57
1949,-2.5,9.3,-19.2,28.6,1302,527,5.8,17.7,2126,448,7446,0,89,179,230,52,602,-49.1,27.3,10.5,439,30,56
1950,-3.5,9.7,-28.6,38.3,1400,378,4.6,25.7,2394,449,7839,3,78,189,225,36,925,-49.1,27.3,11.5,391,29,57
1951,-3.6,10.8,-18.0,28.7,1624,699,3.9,15.4,2384,396,7874,0,82,168,225,58,1017,-49.1,27.3,8.2,368,0,57
1952,-1.4,9.9,-16.3,26.2,1036,641,8.3,15.4,1786,490,7068,0,98,186,237,51,842,-49.1,27.3,12.4,412,12,57
1953,-0.8,9.5,-10.6,20.1,1431,517,6.4,18.3,1489,427,6851,6,101,165,229,64,704,-49.1,27.3,9.9,377,0,61
1954,-2.1,9.2,-18.0,27.2,1459,627,5.4,14.7,1846,361,7342,0,94,154,239,85,1009,-49.1,27.3,10.1,342,25,63
1955,-3.5,10.2,-16.6,26.8,1436,420,4.5,24.2,2419,473,7809,0,93,179,227,47,647,-49.1,27.3,12.2,372,57,59
