Month,Year,Max Temp,Min Temp,Ave Temp,Precipitation,Radiation,DDays < 0°C,DDays > 5°C,DDays < 18°C,DDays > 18°C,Frost Free Days,Snowfall,Evaporation,Moisture Deficit,Relative Humidity
Jan,1901,4.0,-8.3,-2.2,350,-9999.0,108,0,626,0,2,146,0,0,54
Feb,1901,3.5,-10.3,-3.4,380,-9999.0,124,0,595,0,1,278,0,0,48
Mar,1901,6.0,-9.3,-1.6,142,-9999.0,96,1,611,0,1,114,0,0,45
Apr,1901,8.2,-6.5,0.9,159,-9999.0,44,12,514,0,2,108,67,0,49
May,1901,13.3,0.3,6.8,94,-9999.0,2,78,347,0,15,13,97,4,58
Jun,1901,17.2,1.4,9.3,4,-9999.0,0,131,263,0,19,0,119,115,51
Jul,1901,23.7,5.7,14.7,7,-9999.0,0,298,109,7,30,0,154,147,48
Aug,1901,21.7,7.3,14.5,17,-9999.0,0,295,112,8,30,0,124,107,57
Sep,1901,17.2,0.6,8.9,20,-9999.0,1,126,274,2,16,1,89,68,49
Oct,1901,13.6,-0.1,6.8,86,-9999.0,5,86,350,0,15,2,59,0,56
Nov,1901,11.1,-2.9,4.1,124,-9999.0,18,39,416,0,8,11,38,0,53
Dec,1901,6.9,-8.0,-0.5,130,-9999.0,73,4,571,0,2,37,0,0,47
Jan,1902,3.5,-10.5,-3.5,34,-9999.0,140,0,668,0,1,19,0,0,48
Feb,1902,6.9,-7.1,-0.1,212,-9999.0,62,4,503,0,2,73,0,0,50
Mar,1902,1.9,-10.6,-4.4,255,-9999.0,164,0,696,0,0,244,0,0,52
Apr,1902,8.3,-5.6,1.4,60,-9999.0,38,14,500,0,2,37,67,7,52
May,1902,11.7,-3.0,4.3,28,-9999.0,8,38,424,0,5,10,93,65,51
Jun,1902,20.9,2.1,11.5,2,-9999.0,0,197,195,3,21,0,141,139,45
Jul,1902,20.3,2.8,11.6,3,-9999.0,0,203,200,1,25,0,137,134,48
Aug,1902,21.0,3.9,12.4,6,-9999.0,0,231,174,3,27,0,126,121,49
Sep,1902,20.2,0.1,10.2,2,-9999.0,1,162,235,3,14,0,102,100,41
Oct,1902,13.1,-2.2,5.5,33,-9999.0,8,63,390,0,9,2,59,26,51
Nov,1902,4.6,-7.9,-1.6,138,-9999.0,95,0,589,0,2,70,0,0,54
Dec,1902,4.4,-9.2,-2.4,55,-9999.0,110,0,630,0,1,26,0,0,47
Jan,1903,4.7,-9.5,-2.4,292,-9999.0,114,2,633,0,1,129,0,0,48
Feb,1903,-1.8,-16.4,-9.1,127,-9999.0,257,0,754,0,0,124,0,0,42
Mar,1903,3.3,-9.7,-3.2,200,-9999.0,133,2,659,0,1,183,0,0,51
Apr,1903,6.5,-7.2,-0.4,37,-9999.0,63,9,551,0,1,31,0,0,51
May,1903,12.0,-3.1,4.4,25,-9999.0,8,39,421,0,5,9,94,69,50
Jun,1903,18.6,4.5,11.5,12,-9999.0,0,197,195,3,27,0,122,110,56
Jul,1903,19.6,4.8,12.2,3,-9999.0,0,224,180,2,29,0,129,127,55
Aug,1903,21.9,5.0,13.5,2,-9999.0,0,264,142,5,29,0,130,128,50
Sep,1903,16.9,1.7,9.3,5,-9999.0,1,137,262,2,19,0,86,81,53
Oct,1903,15.2,-1.4,6.9,38,-9999.0,5,89,345,0,11,1,65,27,48
Nov,1903,10.5,-5.1,2.7,65,-9999.0,28,28,458,0,4,10,38,0,48
Dec,1903,6.3,-10.6,-2.1,15,-9999.0,104,1,621,0,1,7,0,0,50
Jan,1904,4.9,-11.5,-3.3,98,-9999.0,135,0,661,0,1,52,0,0,41
Feb,1904,7.0,-8.1,-0.6,417,-9999.0,69,3,516,0,1,166,0,0,47
Mar,1904,5.7,-7.9,-1.1,266,-9999.0,85,1,595,0,1,197,0,0,51
Apr,1904,8.6,-6.6,1.0,66,-9999.0,42,12,510,0,2,43,69,3,48
