Year,Max Temp,Min Temp,Ave Temp,Precipitation,DDays < 0°C,DDays > 5°C,DDays < 18°C,DDays > 18°C,Frost Free Days,Snowfall,Evaporation,Moisture Deficit,Relative Humidity
1901,4.8,-8.9,-2.0,860,306,4,1793,0,4,461,0,0,50
1902,5.8,-8.5,-1.4,377,276,6,1742,0,4,129,0,0,48
1903,2.4,-11.7,-4.6,474,480,2,2017,0,2,279,0,0,47
1904,6.1,-10.1,-2.0,530,308,3,1798,0,3,225,0,0,43
1905,5.1,-8.0,-1.5,647,269,7,1745,0,5,279,0,0,52
1906,3.9,-10.3,-3.2,891,396,2,1908,0,3,466,0,0,47
1907,3.5,-8.8,-2.7,1139,378,11,1863,0,5,584,39,0,54
1908,4.0,-9.9,-2.9,1030,362,2,1873,0,3,587,0,0,48
1909,1.9,-9.6,-3.8,1231,434,4,1956,0,5,674,0,0,55
1910,0.8,-12.5,-5.8,688,582,0,2139,0,1,563,0,0,48
1911,2.6,-9.9,-3.7,1053,423,6,1933,0,4,556,0,0,52
1912,4.3,-11.3,-3.5,216,415,0,1935,0,2,155,0,0,43
1913,1.0,-12.8,-5.9,424,582,0,2141,0,1,358,0,0,47
1914,2.6,-9.4,-3.4,1417,395,0,1919,0,4,807,0,0,54
1915,0.6,-11.6,-5.5,796,560,0,2113,0,2,631,0,0,52
1916,1.9,-10.7,-4.4,1337,478,2,2016,0,2,1010,0,0,52
1917,0.0,-13.4,-6.7,862,650,0,2221,0,1,742,0,0,47
1918,4.8,-9.1,-2.1,637,327,11,1801,0,4,453,31,0,49
1919,2.1,-11.2,-4.6,561,481,0,2020,0,2,462,0,0,49
1920,6.1,-9.6,-1.8,543,288,4,1768,0,3,284,0,0,44
1921,3.2,-10.0,-3.4,869,398,0,1922,0,3,537,0,0,50
1922,0.8,-10.6,-4.9,992,518,4,2054,0,3,676,0,0,55
1923,2.8,-9.6,-3.4,624,392,0,1913,0,4,344,0,0,53
1924,3.9,-9.9,-3.0,283,392,9,1892,0,3,151,37,0,48
1925,2.8,-9.5,-3.3,584,394,0,1918,0,3,369,0,0,53
1926,5.1,-9.7,-2.3,479,326,3,1821,0,3,264,0,0,46
1927,2.9,-9.4,-3.3,577,386,0,1909,0,3,372,0,0,53
1928,4.5,-9.4,-2.5,252,331,0,1836,0,3,137,0,0,49
1929,2.4,-11.3,-4.4,363,471,0,2012,0,2,259,0,0,48
1930,5.3,-7.9,-1.3,481,299,23,1737,0,6,232,30,0,52
1931,4.4,-10.1,-2.9,227,358,1,1874,0,2,125,0,0,47
1932,0.8,-11.4,-5.3,961,541,0,2094,0,2,752,0,0,52
1933,0.2,-13.7,-6.7,472,645,0,2213,0,1,382,0,0,46
1934,6.3,-7.8,-0.8,528,234,8,1684,0,5,164,0,0,49
1935,3.9,-9.4,-2.7,462,351,0,1861,0,3,256,0,0,51
1936,3.7,-9.0,-2.6,980,342,0,1850,0,4,635,0,0,52
1937,-0.2,-12.8,-6.5,913,646,2,2203,0,2,693,0,0,50
1938,3.8,-8.8,-2.5,877,341,5,1830,0,4,490,0,0,53
1939,2.6,-10.5,-4.0,366,441,4,1961,0,3,242,0,0,50
1940,4.7,-7.5,-1.4,752,273,10,1734,0,6,384,29,0,55
1941,3.9,-8.1,-2.1,869,310,1,1803,0,5,389,0,0,55
1942,2.0,-10.1,-4.1,744,442,0,1973,0,3,457,0,0,53
1943,5.1,-8.3,-1.6,692,280,1,1760,0,5,295,0,0,51
1944,1.8,-10.1,-4.2,629,450,0,1982,0,3,465,0,0,54
1945,3.3,-9.6,-3.1,560,376,0,1895,0,3,373,0,0,51
1946,2.5,-10.0,-3.8,472,419,0,1949,0,3,282,0,0,52
1947,5.0,-8.8,-1.9,448,306,3,1789,0,4,174,0,0,49
1948,4.0,-10.7,-3.4,202,398,3,1912,0,2,140,0,0,46
1949,-1.6,-15.0,-8.3,438,779,0,2358,0,1,393,0,0,46
1950,2.9,-11.3,-4.2,404,462,2,1996,0,2,279,0,0,47
1951,4.4,-8.4,-2.0,474,320,14,1788,0,6,179,28,0,52
1952,0.0,-11.7,-5.8,827,580,0,2139,0,1,669,0,0,53
1953,4.2,-9.1,-2.4,328,338,5,1833,0,4,172,0,0,51
1954,5.0,-8.7,-1.9,547,298,4,1786,0,4,238,0,0,50
1955,1.3,-11.9,-5.3,468,539,0,2090,0,2,360,0,0,49
1956,2.5,-8.5,-3.0,942,370,1,1876,0,6,399,0,0,58
1957,3.1,-10.0,-3.4,398,415,5,1929,0,3,257,0,0,51
1958,4.4,-8.5,-2.0,580,305,1,1798,0,4,279,0,0,52
1959,5.0,-8.2,-1.6,533,302,22,1747,0,6,384,32,0,51
1960,3.0,-11.0,-4.0,359,444,2,1970,0,2,278,0,0,48
1961,5.4,-9.3,-2.0,184,300,3,1793,0,3,89,0,0,47
1962,2.1,-10.8,-4.3,770,463,0,2003,0,2,618,0,0,50
1963,6.1,-7.7,-0.8,510,248,12,1690,0,6,178,37,0,50
1964,4.0,-10.3,-3.1,197,384,3,1895,0,3,126,0,0,47
1965,3.3,-8.5,-2.6,681,339,0,1848,0,4,341,0,0,55
1966,1.5,-11.5,-5.0,370,515,0,2062,0,2,262,0,0,50
1967,4.3,-8.9,-2.3,833,321,2,1823,0,4,387,0,0,51
1968,3.5,-9.9,-3.2,306,401,5,1909,0,3,193,0,0,50
1969,0.9,-10.7,-4.9,1511,506,0,2050,0,2,1062,0,0,54
1970,4.5,-8.7,-2.1,563,308,2,1803,0,4,265,0,0,51
1971,2.3,-10.3,-4.0,380,442,0,1975,0,2,268,0,0,52
1972,1.9,-11.5,-4.8,452,514,1,2054,0,2,380,0,0,49
1973,1.2,-11.5,-5.2,674,532,0,2082,0,2,526,0,0,50
1974,3.0,-9.8,-3.4,473,402,0,1923,0,3,277,0,0,52
1975,2.6,-10.4,-3.9,467,428,0,1960,0,2,331,0,0,50
1976,5.4,-9.7,-2.2,228,312,0,1805,0,3,160,0,0,46
1977,5.4,-9.8,-2.2,205,319,2,1813,0,3,107,0,0,45
1978,3.4,-7.9,-2.3,1268,322,5,1813,0,6,629,0,0,57
1979,1.0,-10.9,-5.0,598,515,0,2062,0,2,455,0,0,53
1980,4.3,-7.5,-1.6,973,278,0,1758,0,6,436,0,0,56
1981,5.7,-7.2,-0.8,480,236,11,1679,0,7,159,29,0,53
1982,3.2,-8.8,-2.8,546,370,5,1869,0,5,322,0,0,54
1983,2.3,-8.5,-3.1,986,374,0,1892,0,4,584,0,0,58
1984,4.2,-8.6,-2.2,477,314,2,1812,0,4,247,0,0,53
1985,2.1,-10.3,-4.1,235,453,0,1988,0,2,168,0,0,52
1986,5.3,-6.6,-0.7,921,231,14,1669,0,9,456,30,0,56
1987,2.1,-10.1,-4.0,322,441,0,1972,0,3,236,0,0,52
1988,2.5,-9.1,-3.3,380,405,4,1918,0,3,242,0,0,55
1989,1.6,-10.2,-4.3,291,460,0,1999,0,2,206,0,0,54
1990,3.2,-9.9,-3.3,390,401,5,1908,0,3,276,0,0,51
1991,5.0,-8.8,-1.9,116,330,12,1797,0,5,55,39,0,49
1992,3.9,-7.6,-1.9,506,295,4,1783,0,6,230,0,0,57
1993,0.9,-9.5,-4.3,1074,461,0,2000,0,3,758,0,0,59
1994,3.5,-9.0,-2.7,382,349,3,1856,0,4,265,0,0,53
1995,3.7,-7.4,-1.8,662,312,10,1788,0,6,349,38,0,59
1996,4.1,-7.0,-1.4,809,267,2,1744,0,7,342,0,0,58
1997,3.0,-8.0,-2.5,1040,332,0,1837,0,5,484,0,0,58
1998,1.1,-9.5,-4.2,901,455,0,1990,0,3,699,0,0,58
1999,3.4,-8.9,-2.8,547,351,0,1862,0,4,298,0,0,53
2000,4.2,-7.4,-1.6,650,278,1,1758,0,6,321,0,0,57
2001,3.4,-8.6,-2.6,490,359,12,1840,0,5,341,29,0,54
2002,3.6,-9.1,-2.8,393,361,5,1868,0,3,228,0,0,52
2003,4.0,-7.6,-1.8,450,310,18,1772,0,7,284,32,7,56
2004,2.3,-8.9,-3.3,586,386,0,1907,0,4,376,0,0,56
2005,3.7,-7.3,-1.8,986,290,3,1777,0,6,431,0,0,58
2006,4.1,-7.5,-1.7,962,289,8,1767,0,7,388,0,0,57
2007,3.9,-8.1,-2.1,401,313,5,1807,0,5,190,0,0,55
