Year,Ave Temp,Warmest Month,Coldest Month,Difference,Mean Precip,May-Sep Precip,Heat-Moist I,Summer Heat-Moist I,DDays < 0°C,DDays > 5°C,DDays < 18°C,DDays > 18°C,Frost Free Days,Begin FFP,End FFP,Frost Free Period,Snowfall,Min Temp (30),Max Temp (30),Radiation,Evaporation,Moisture Deficit,Relative Humidity
1901,4.9,14.7,-3.4,18.1,1513,142,9.8,103.3,471,1069,4790,18,138,157,234,78,710,-35.5,32.6,-9999.0,747,441,51
1902,3.7,12.4,-3.5,15.9,829,41,16.6,304.3,625,912,5202,10,110,198,233,35,436,-35.5,32.6,-9999.0,725,592,49
1903,3.6,13.5,-9.1,22.5,822,47,16.6,285.6,712,991,5223,12,127,198,244,46,559,-35.5,32.6,-9999.0,664,542,49
1904,4.6,13.8,-3.3,17.1,1189,135,12.3,102.5,471,1015,4869,13,135,169,251,82,483,-35.5,32.6,-9999.0,737,466,50
1905,3.8,13.7,-5.7,19.4,1496,172,9.2,79.4,578,912,5184,11,110,197,248,50,600,-35.5,32.6,-9999.0,710,514,49
1906,3.6,14.1,-2.8,16.9,2345,241,5.8,58.6,589,847,5256,10,109,186,235,49,1129,-35.5,32.6,-9999.0,622,468,52
1907,3.4,12.3,-7.0,19.3,1562,66,8.6,186.9,601,761,5316,5,112,202,233,31,1120,-35.5,32.6,-9999.0,728,513,52
1908,3.1,15.2,-4.9,20.1,1130,105,11.6,144.8,677,850,5419,15,99,210,237,27,728,-35.5,32.6,-9999.0,681,486,49
1909,3.1,13.1,-6.7,19.8,2091,29,6.3,460.5,750,874,5412,9,116,205,244,38,913,-35.5,32.6,-9999.0,690,572,52
1910,4.8,14.7,-5.7,20.4,812,62,18.2,236.8,542,1110,4807,16,135,173,246,72,685,-35.5,32.6,-9999.0,844,585,50
1911,2.7,13.5,-8.0,21.4,1573,67,8.1,201.8,774,795,5557,8,98,207,230,23,823,-35.5,32.6,-9999.0,738,550,49
1912,2.4,11.0,-4.6,15.6,558,79,22.3,140.1,719,643,5669,3,95,192,223,31,449,-35.5,32.6,-9999.0,605,448,49
