Month,Year,Max Temp,Min Temp,Ave Temp,Precipitation,Radiation,DDays < 0°C,DDays > 5°C,DDays < 18°C,DDays > 18°C,Frost Free Days,Snowfall,Evaporation,Moisture Deficit,Relative Humidity
Jan,1901,-0.4,-5.8,-3.1,585,-9999.0,129,0,654,0,4,297,0,0,77
Feb,1901,0.3,-6.0,-2.8,603,-9999.0,112,0,580,0,3,406,0,0,74
Mar,1901,1.8,-5.1,-1.7,321,-9999.0,97,0,612,0,3,259,0,0,73
Apr,1901,4.2,-3.9,0.1,182,-9999.0,55,5,536,0,4,139,43,0,69
May,1901,9.1,1.2,5.1,153,-9999.0,5,48,399,0,18,43,66,0,73
Jun,1901,9.8,1.8,5.8,120,-9999.0,3,56,366,0,20,26,70,0,73
Jul,1901,16.4,6.3,11.3,10,-9999.0,0,195,207,1,30,0,97,88,68
Aug,1901,20.7,9.4,15.0,28,-9999.0,0,313,101,11,31,0,101,73,65
Sep,1901,10.8,5.1,7.9,233,-9999.0,2,101,303,1,26,23,42,0,81
Oct,1901,12.0,3.9,7.9,70,-9999.0,3,113,313,0,25,1,37,0,73
Nov,1901,4.8,-1.2,1.8,398,-9999.0,36,15,485,0,12,81,16,0,78
Dec,1901,1.3,-4.1,-1.4,462,-9999.0,89,0,599,0,5,172,0,0,79
Jan,1902,-0.7,-6.5,-3.6,267,-9999.0,143,0,672,0,3,151,0,0,76
Feb,1902,1.1,-4.1,-1.5,560,-9999.0,85,0,542,0,5,287,0,0,79
Mar,1902,0.3,-5.2,-2.4,385,-9999.0,114,0,635,0,3,335,0,0,77
Apr,1902,4.0,-3.4,0.3,351,-9999.0,52,5,531,0,5,262,41,0,72
May,1902,7.2,1.1,4.1,176,-9999.0,9,35,430,0,18,69,55,0,79
Jun,1902,12.5,2.1,7.3,50,-9999.0,1,84,321,0,21,5,85,35,66
Jul,1902,15.6,6.2,10.9,97,-9999.0,0,181,221,0,30,3,93,0,69
Aug,1902,18.2,6.8,12.5,17,-9999.0,0,234,172,3,30,0,94,76,64
Sep,1902,14.2,4.6,9.4,84,-9999.0,1,140,258,2,26,5,58,0,69
Oct,1902,10.6,1.5,6.1,100,-9999.0,6,73,371,0,19,4,36,0,69
Nov,1902,1.7,-3.1,-0.7,680,-9999.0,75,1,561,0,7,282,0,0,81
Dec,1902,-1.2,-5.8,-3.5,614,-9999.0,137,0,664,0,3,372,0,0,78
Jan,1903,0.6,-3.9,-1.6,573,-9999.0,97,0,610,0,6,210,0,0,82
Feb,1903,-1.3,-8.7,-5.0,96,-9999.0,161,0,640,0,1,82,0,0,69
Mar,1903,1.0,-6.2,-2.6,264,-9999.0,118,0,640,0,2,233,0,0,71
Apr,1903,2.8,-4.3,-0.8,132,-9999.0,71,1,563,0,4,112,0,0,72
May,1903,8.3,-0.5,3.9,100,-9999.0,10,33,437,0,12,42,65,0,70
Jun,1903,12.8,4.9,8.9,201,-9999.0,1,121,274,0,27,10,79,0,74
Jul,1903,14.9,6.0,10.5,33,-9999.0,0,167,234,0,30,1,88,55,71
Aug,1903,15.9,7.2,11.6,38,-9999.0,0,203,201,2,30,1,79,41,72
Sep,1903,12.1,4.8,8.4,93,-9999.0,1,114,287,2,26,8,49,0,75
Oct,1903,9.7,1.7,5.7,166,-9999.0,7,67,382,0,20,8,33,0,73
Nov,1903,2.6,-2.9,-0.1,784,-9999.0,64,3,544,0,8,282,0,0,79
Dec,1903,0.3,-5.7,-2.7,179,-9999.0,117,0,639,0,3,92,0,0,80
Jan,1904,1.3,-3.9,-1.3,381,-9999.0,91,0,600,0,6,128,0,0,79
Feb,1904,-1.0,-6.6,-3.8,765,-9999.0,133,0,607,0,2,590,0,0,77
Mar,1904,-0.8,-5.5,-3.2,756,-9999.0,131,0,658,0,3,690,0,0,80
Apr,1904,6.7,-2.0,2.3,236,-9999.0,27,17,471,0,8,110,49,0,69
May,1904,9.5,-0.5,4.5,74,-9999.0,7,40,418,0,12,26,72,0,66
Jun,1904,13.6,1.9,7.7,98,-9999.0,1,93,308,0,21,9,91,0,62
Jul,1904,17.0,7.8,12.4,54,-9999.0,0,230,174,2,31,1,96,42,71
Aug,1904,20.1,7.7,13.9,32,-9999.0,0,277,128,6,30,0,102,71,62
Sep,1904,16.0,5.6,10.8,54,-9999.0,0,180,217,4,27,2,64,10,67
Oct,1904,10.4,2.1,6.3,191,-9999.0,6,77,365,0,21,7,35,0,72
Nov,1904,5.6,-0.4,2.6,275,-9999.0,29,20,463,0,13,44,16,0,79
Dec,1904,1.1,-4.5,-1.7,444,-9999.0,95,0,607,0,5,178,0,0,75
Jan,1905,-0.7,-5.2,-2.9,313,-9999.0,127,0,651,0,4,155,0,0,81
Feb,1905,-0.5,-8.0,-4.2,99,-9999.0,143,0,619,0,1,80,0,0,69
Mar,1905,4.1,-2.7,0.7,385,-9999.0,55,4,538,0,8,183,31,0,75
Apr,1905,6.9,-2.5,2.2,116,-9999.0,28,16,474,0,7,56,51,0,66
May,1905,6.7,-0.5,3.1,220,-9999.0,15,25,462,0,12,112,57,0,75
Jun,1905,11.5,2.9,7.2,156,-9999.0,1,81,325,0,24,18,77,0,71
Jul,1905,19.7,7.5,13.6,20,-9999.0,0,267,137,4,31,0,115,95,62
Aug,1905,18.0,7.4,12.7,28,-9999.0,0,240,166,3,30,1,91,62,67
Sep,1905,13.4,6.4,9.9,201,-9999.0,1,154,244,3,28,10,51,0,77
Oct,1905,5.8,-0.6,2.6,295,-9999.0,25,28,480,0,13,76,26,0,77
Nov,1905,3.9,-5.5,-0.8,210,-9999.0,77,1,565,0,4,89,0,0,64
Dec,1905,0.0,-6.1,-3.0,251,-9999.0,124,0,649,0,3,138,0,0,78
Jan,1906,1.4,-4.5,-1.5,381,-9999.0,96,0,607,0,5,137,0,0,77
Feb,1906,0.8,-4.3,-1.7,355,-9999.0,90,0,549,0,4,193,0,0,79
Mar,1906,0.6,-6.7,-3.0,285,-9999.0,128,0,654,0,2,258,0,0,70
Apr,1906,8.3,-2.2,3.0,109,-9999.0,22,23,450,0,8,40,56,0,63
May,1906,8.5,0.1,4.3,158,-9999.0,8,37,425,0,14,59,65,0,71
Jun,1906,10.5,1.9,6.2,199,-9999.0,2,62,355,0,21,37,74,0,71
Jul,1906,22.0,9.2,15.6,14,-9999.0,0,330,85,12,31,0,125,111,61
Aug,1906,19.6,7.8,13.7,18,-9999.0,0,272,134,6,31,0,99,82,63
Sep,1906,14.1,6.1,10.1,122,-9999.0,1,160,238,3,28,6,54,0,74
Oct,1906,9.7,2.2,5.9,164,-9999.0,7,71,375,0,21,7,32,0,75
Nov,1906,2.9,-3.1,-0.1,696,-9999.0,64,4,543,0,7,250,0,0,77
Dec,1906,2.0,-3.7,-0.8,469,-9999.0,79,2,581,0,6,147,0,0,74
Jan,1907,-3.5,-10.0,-6.8,601,-9999.0,225,0,769,0,1,493,0,0,72
Feb,1907,1.9,-4.4,-1.2,498,-9999.0,81,0,535,0,4,240,0,0,75
Mar,1907,0.3,-5.4,-2.6,426,-9999.0,117,0,640,0,3,375,0,0,76
Apr,1907,5.0,-3.6,0.7,311,-9999.0,46,8,519,0,5,217,45,0,68
May,1907,9.8,-0.1,4.9,126,-9999.0,6,44,407,0,14,39,73,0,67
Jun,1907,11.3,2.5,6.9,127,-9999.0,2,76,332,0,23,16,77,0,71
Jul,1907,18.5,7.4,12.9,44,-9999.0,0,247,157,3,31,1,108,64,65
Aug,1907,15.2,6.4,10.8,101,-9999.0,0,179,224,1,30,4,78,0,72
Sep,1907,13.3,6.1,9.7,112,-9999.0,1,148,250,3,28,6,51,0,76
Oct,1907,12.0,3.3,7.6,39,-9999.0,3,105,322,0,24,1,38,0,71
Nov,1907,5.2,-3.2,1.0,363,-9999.0,47,11,511,0,7,97,18,0,69
Dec,1907,1.5,-4.2,-1.3,692,-9999.0,87,2,596,0,5,250,0,0,78
Jan,1908,0.9,-5.1,-2.1,242,-9999.0,108,0,626,0,4,101,0,0,76
Feb,1908,0.4,-6.5,-3.1,226,-9999.0,116,0,586,0,2,158,0,0,72
Mar,1908,2.0,-5.2,-1.6,390,-9999.0,95,0,610,0,3,311,0,0,72
Apr,1908,6.8,-2.9,1.9,153,-9999.0,31,14,483,0,6,80,51,0,65
May,1908,5.5,-1.8,1.9,250,-9999.0,27,17,501,0,8,156,54,0,74
Jun,1908,11.5,1.9,6.7,84,-9999.0,2,72,339,0,21,12,79,0,68
Jul,1908,19.6,8.6,14.1,49,-9999.0,0,282,124,5,31,0,111,62,66
Aug,1908,17.9,7.1,12.5,69,-9999.0,0,233,172,3,30,2,91,22,66
Sep,1908,14.9,4.3,9.6,22,-9999.0,1,146,252,3,25,1,62,40,66
Oct,1908,8.2,1.0,4.6,364,-9999.0,12,50,417,0,18,34,30,0,75
Nov,1908,5.4,-3.2,1.1,155,-9999.0,45,10,507,0,7,39,18,0,69
Dec,1908,-1.0,-6.9,-4.0,262,-9999.0,148,0,678,0,2,171,0,0,77
Jan,1909,-3.7,-9.9,-6.8,718,-9999.0,226,0,769,0,1,589,0,0,73
Feb,1909,0.0,-4.8,-2.4,504,-9999.0,102,0,567,0,4,314,0,0,80
Mar,1909,2.9,-5.4,-1.3,182,-9999.0,88,0,599,0,3,138,0,0,68
Apr,1909,4.0,-4.6,-0.3,106,-9999.0,63,3,550,0,3,86,0,0,68
May,1909,7.1,-1.8,2.6,126,-9999.0,19,21,477,0,8,70,62,0,68
Jun,1909,13.3,2.8,8.1,46,-9999.0,1,101,298,0,23,3,88,42,66
Jul,1909,15.3,6.0,10.7,102,-9999.0,0,174,228,0,30,3,91,0,70
Aug,1909,17.8,5.6,11.7,18,-9999.0,0,207,197,2,29,1,94,76,62
Sep,1909,14.1,6.2,10.2,138,-9999.0,1,162,236,3,28,7,54,0,74
Oct,1909,9.3,1.8,5.6,203,-9999.0,8,65,386,0,20,11,32,0,75
Nov,1909,2.7,-2.1,0.3,946,-9999.0,58,6,532,0,9,305,13,0,82
Dec,1909,-3.4,-9.3,-6.4,365,-9999.0,213,0,752,0,1,309,0,0,75
Jan,1910,-1.8,-7.7,-4.8,328,-9999.0,172,0,707,0,2,220,0,0,75
Feb,1910,-2.1,-7.4,-4.7,492,-9999.0,155,0,633,0,2,414,0,0,77
Mar,1910,5.9,-2.6,1.6,185,-9999.0,43,10,509,0,8,61,37,0,69
Apr,1910,7.5,-1.3,3.1,197,-9999.0,21,23,448,0,10,70,52,0,69
May,1910,10.9,1.0,6.0,227,-9999.0,3,62,373,0,18,46,76,0,67
Jun,1910,11.4,1.7,6.6,113,-9999.0,2,69,343,0,20,18,80,0,68
Jul,1910,18.8,7.4,13.1,8,-9999.0,0,252,148,3,31,0,109,101,64
Aug,1910,15.9,5.6,10.8,9,-9999.0,0,177,226,1,29,0,84,75,67
Sep,1910,12.4,4.9,8.6,72,-9999.0,1,119,282,2,26,6,50,0,75
Oct,1910,9.5,2.4,5.9,236,-9999.0,7,71,375,0,22,10,32,0,76
Nov,1910,2.6,-2.8,-0.1,740,-9999.0,64,4,543,0,8,265,0,0,79
Dec,1910,1.1,-4.3,-1.6,239,-9999.0,92,0,604,0,5,92,0,0,73
Jan,1911,-0.9,-6.4,-3.6,456,-9999.0,143,0,672,0,3,257,0,0,77
Feb,1911,-2.2,-8.3,-5.2,191,-9999.0,167,0,646,0,1,167,0,0,74
Mar,1911,5.3,-5.2,0.0,103,-9999.0,65,2,559,0,3,60,37,0,61
Apr,1911,4.7,-5.2,-0.2,144,-9999.0,61,4,546,0,3,116,0,0,63
May,1911,6.2,-1.5,2.3,249,-9999.0,21,20,485,0,9,145,57,0,72
Jun,1911,11.1,1.8,6.5,70,-9999.0,2,67,347,0,20,11,77,7,69
Jul,1911,19.6,7.8,13.7,7,-9999.0,0,270,135,4,31,0,113,106,63
Aug,1911,17.6,6.6,12.1,9,-9999.0,0,220,185,3,30,0,91,81,65
Sep,1911,9.9,4.9,7.4,402,-9999.0,2,89,319,1,26,46,39,0,83
Oct,1911,7.8,0.2,4.0,133,-9999.0,14,43,435,0,15,17,30,0,74
Nov,1911,3.2,-3.8,-0.3,298,-9999.0,68,4,550,0,6,113,0,0,73
Dec,1911,1.2,-5.5,-2.1,263,-9999.0,103,0,620,0,4,117,0,0,78
Jan,1912,-0.4,-5.6,-3.0,881,-9999.0,128,0,653,0,4,442,0,0,78
Feb,1912,0.7,-4.3,-1.8,442,-9999.0,90,0,550,0,4,242,0,0,80
Mar,1912,0.7,-6.7,-3.0,241,-9999.0,127,0,652,0,2,217,0,0,70
Apr,1912,3.6,-4.0,-0.2,181,-9999.0,61,2,546,0,4,145,0,0,71
May,1912,8.8,0.0,4.4,247,-9999.0,8,38,421,0,14,89,67,0,70
Jun,1912,13.4,3.3,8.4,152,-9999.0,1,107,290,0,25,10,87,0,67
Jul,1912,16.1,7.4,11.8,31,-9999.0,0,209,194,1,31,1,91,61,72
Aug,1912,15.0,7.8,11.4,147,-9999.0,0,198,206,2,31,5,72,0,77
Sep,1912,12.5,5.2,8.8,82,-9999.0,1,124,276,2,26,6,50,0,76
Oct,1912,6.2,-0.6,2.8,188,-9999.0,22,31,472,0,13,43,27,0,76
Nov,1912,3.4,-2.1,0.7,445,-9999.0,51,5,520,0,9,129,14,0,79
Dec,1912,0.6,-5.9,-2.7,487,-9999.0,116,0,638,0,3,249,0,0,73
Jan,1913,-1.1,-7.6,-4.3,589,-9999.0,161,0,694,0,2,372,0,0,73
Feb,1913,-1.6,-8.8,-5.2,201,-9999.0,166,0,645,0,1,174,0,0,70
Mar,1913,0.1,-6.3,-3.1,376,-9999.0,130,0,656,0,2,342,0,0,73
Apr,1913,5.2,-3.3,1.0,234,-9999.0,43,9,511,0,6,156,45,0,69
May,1913,8.6,-0.1,4.2,190,-9999.0,8,37,426,0,14,72,66,0,71
Jun,1913,11.7,3.4,7.6,254,-9999.0,1,89,314,0,25,24,77,0,72
Jul,1913,16.8,7.3,12.1,34,-9999.0,0,220,184,2,31,1,97,63,70
Aug,1913,18.6,8.5,13.5,27,-9999.0,0,267,140,5,31,0,91,63,69
Sep,1913,13.7,5.3,9.5,112,-9999.0,1,143,255,2,27,7,55,0,73
Oct,1913,7.9,0.6,4.3,289,-9999.0,13,46,427,0,17,32,30,0,75
Nov,1913,2.9,-1.9,0.5,392,-9999.0,54,7,525,0,10,119,13,0,81
Dec,1913,-1.6,-7.1,-4.4,149,-9999.0,158,0,690,0,2,103,0,0,73
Jan,1914,1.9,-3.1,-0.6,749,-9999.0,78,4,579,0,8,209,0,0,80
Feb,1914,-0.4,-5.0,-2.7,248,-9999.0,109,0,576,0,3,164,0,0,81
Mar,1914,4.5,-3.3,0.6,147,-9999.0,56,6,541,0,6,72,33,0,71
Apr,1914,5.7,-2.1,1.8,340,-9999.0,32,15,486,0,8,185,46,0,72
May,1914,11.3,0.3,5.8,89,-9999.0,4,58,379,0,15,19,80,0,63
Jun,1914,11.1,2.4,6.8,162,-9999.0,2,73,337,0,22,23,76,0,71
Jul,1914,18.8,7.4,13.1,21,-9999.0,0,253,148,3,31,0,110,89,64
Aug,1914,19.2,7.4,13.3,1,-9999.0,0,259,148,5,30,0,98,97,63
Sep,1914,11.5,5.0,8.3,271,-9999.0,1,110,293,2,26,24,46,0,78
Oct,1914,8.5,2.7,5.6,269,-9999.0,8,65,387,0,23,14,28,0,80
Nov,1914,4.1,-2.4,0.9,222,-9999.0,49,10,515,0,9,61,15,0,76
Dec,1914,-3.1,-10.4,-6.8,72,-9999.0,224,0,764,0,1,62,0,0,77
Jan,1915,-1.9,-6.8,-4.3,334,-9999.0,161,0,694,0,3,211,0,0,79
Feb,1915,0.8,-4.8,-2.0,327,-9999.0,94,0,556,0,4,187,0,0,77
Mar,1915,5.5,-3.4,1.0,233,-9999.0,50,8,528,0,6,99,36,0,68
Apr,1915,8.2,-1.9,3.1,130,-9999.0,21,25,447,0,9,45,55,0,65
May,1915,6.8,0.0,3.4,293,-9999.0,13,28,453,0,14,140,56,0,76
Jun,1915,11.8,2.2,7.0,52,-9999.0,2,77,330,0,22,7,81,29,68
Jul,1915,15.2,7.9,11.5,80,-9999.0,0,202,201,1,31,2,84,4,76
Aug,1915,20.6,9.2,14.9,3,-9999.0,0,304,105,10,31,0,101,98,65
Sep,1915,13.3,5.1,9.2,75,-9999.0,1,134,265,2,26,5,53,0,73
Oct,1915,9.9,2.0,5.9,142,-9999.0,7,70,376,0,21,6,33,0,73
Nov,1915,1.9,-3.3,-0.7,828,-9999.0,75,3,561,0,7,344,0,0,79
Dec,1915,0.5,-5.4,-2.4,574,-9999.0,111,0,631,0,4,278,0,0,68
Jan,1916,-6.4,-12.8,-9.6,415,-9999.0,301,0,856,0,0,387,0,0,72
Feb,1916,-0.4,-6.4,-3.4,585,-9999.0,124,0,596,0,2,429,0,0,75
Mar,1916,1.8,-4.4,-1.3,701,-9999.0,89,1,600,0,4,534,0,0,76
Apr,1916,5.9,-2.9,1.5,243,-9999.0,36,14,495,0,6,142,48,0,68
May,1916,5.8,-2.0,1.9,205,-9999.0,26,17,499,0,8,127,56,0,72
Jun,1916,11.4,2.3,6.8,279,-9999.0,2,74,336,0,22,38,78,0,70
Jul,1916,13.9,6.0,10.0,163,-9999.0,0,151,250,0,30,7,82,0,74
Aug,1916,17.8,7.7,12.7,32,-9999.0,0,241,165,3,30,1,89,56,68
Sep,1916,14.0,5.6,9.8,45,-9999.0,1,151,247,3,27,2,55,11,72
Oct,1916,10.1,-1.1,4.5,71,-9999.0,12,49,420,0,11,7,37,0,62
Nov,1916,1.2,-5.7,-2.3,387,-9999.0,108,1,607,0,3,220,0,0,72
Dec,1916,-1.7,-7.4,-4.5,349,-9999.0,163,0,695,0,2,246,0,0,76
Jan,1917,-0.2,-6.7,-3.4,250,-9999.0,139,0,666,0,3,136,0,0,73
Feb,1917,0.0,-6.6,-3.3,270,-9999.0,122,0,593,0,2,195,0,0,73
Mar,1917,-1.8,-8.0,-4.9,361,-9999.0,178,0,713,0,1,350,0,0,74
Apr,1917,1.3,-4.1,-1.4,367,-9999.0,85,0,583,0,4,328,0,0,78
