Year,Max Temp,Min Temp,Ave Temp,Precipitation,DDays < 0°C,DDays > 5°C,DDays < 18°C,DDays > 18°C,Frost Free Days,Snowfall,Evaporation,Moisture Deficit,Relative Humidity
1901,0.4,-5.3,-2.4,1650,330,0,1833,0,12,875,0,0,77
1902,0.5,-4.9,-2.2,1289,318,0,1813,0,13,609,0,0,78
1903,-0.6,-6.1,-3.4,1283,395,0,1914,0,11,665,0,0,77
1904,0.2,-5.4,-2.6,1324,341,0,1846,0,12,810,0,0,77
1905,-0.1,-5.9,-3.0,855,364,0,1877,0,11,412,0,0,76
1906,0.8,-5.0,-2.1,987,310,0,1805,0,13,468,0,0,77
1907,0.1,-6.0,-3.0,1569,385,3,1885,0,12,880,0,0,75
1908,0.9,-5.3,-2.2,1160,312,1,1808,0,12,508,0,0,75
1909,-1.6,-7.2,-4.4,1485,476,0,2014,0,7,1074,0,0,76
1910,-2.4,-8.1,-5.3,1185,541,0,2091,0,5,943,0,0,75
1911,-0.6,-6.3,-3.5,886,403,0,1922,0,9,516,0,0,76
1912,0.5,-5.1,-2.3,1586,322,0,1823,0,12,802,0,0,77
1913,-0.7,-7.4,-4.1,1277,443,0,1977,0,6,796,0,0,72
1914,0.0,-5.1,-2.6,1146,346,4,1845,0,13,476,0,0,79
1915,-1.4,-7.3,-4.4,733,479,0,2013,0,7,461,0,0,75
1916,-2.1,-8.2,-5.2,1575,535,0,2082,0,6,1094,0,0,74
1917,-0.6,-6.9,-3.8,868,423,0,1954,0,7,578,0,0,74
1918,2.5,-3.2,-0.3,1888,231,25,1635,0,25,558,25,0,78
1919,0.6,-5.9,-2.7,1232,344,0,1854,0,9,707,0,0,74
1920,-0.5,-7.7,-4.1,697,458,0,1986,0,6,504,0,0,70
1921,0.6,-5.0,-2.2,1566,316,0,1816,0,12,776,0,0,77
1922,-2.3,-8.8,-5.5,709,556,0,2111,0,4,577,0,0,73
1923,-1.4,-7.5,-4.5,1506,482,0,2013,0,8,911,0,0,74
1924,1.3,-5.5,-2.1,1026,322,5,1808,0,12,480,20,0,73
1925,0.6,-5.6,-2.5,1261,365,2,1847,0,14,553,0,0,74
1926,2.4,-4.0,-0.8,1149,237,5,1688,0,17,379,19,0,75
1927,-0.2,-6.4,-3.3,1535,391,0,1914,0,8,941,0,0,74
1928,-0.4,-7.1,-3.7,850,424,0,1954,0,7,547,0,0,73
1929,-2.6,-9.7,-6.2,975,600,0,2162,0,4,733,0,0,70
1930,-0.9,-7.3,-4.1,1504,498,13,1994,0,12,653,0,0,74
1931,0.9,-5.5,-2.3,566,321,1,1820,0,11,261,0,0,74
