Year,Ave Temp,Warmest Month,Coldest Month,Difference,Mean Precip,May-Sep Precip,Heat-Moist I,Summer Heat-Moist I,DDays < 0°C,DDays > 5°C,DDays < 18°C,DDays > 18°C,Frost Free Days,Begin FFP,End FFP,Frost Free Period,Snowfall,Min Temp (30),Max Temp (30),Radiation,Evaporation,Moisture Deficit,Relative Humidity
1901,3.8,15.0,-3.1,18.1,3164,544,4.4,27.7,532,846,5156,13,182,145,276,130,1447,-29.7,30.3,-9999.0,471,161,74
1902,3.2,12.5,-3.6,16.1,3381,424,3.9,29.4,624,752,5380,6,171,145,269,124,1389,-29.7,30.3,-9999.0,461,111,74
1903,3.0,11.6,-5.0,16.5,2660,465,4.9,24.9,648,708,5453,4,170,167,269,102,1354,-29.7,30.3,-9999.0,394,96,74
1904,4.2,13.9,-3.8,17.7,3357,311,4.2,44.8,522,934,5016,12,180,168,275,108,1841,-29.7,30.3,-9999.0,525,123,72
1905,3.4,13.6,-4.2,17.8,2294,626,5.8,21.7,596,818,5308,10,164,171,279,108,834,-29.7,30.3,-9999.0,499,157,72
1906,4.3,15.6,-1.7,17.4,2970,510,4.8,30.7,496,960,4997,20,178,165,277,113,1039,-29.7,30.3,-9999.0,507,193,72
1907,3.6,12.9,-6.8,19.7,3441,510,3.9,25.4,616,821,5262,7,174,163,280,118,1791,-29.7,30.3,-9999.0,486,64,72
1908,3.5,14.1,-4.0,18.1,2265,473,5.9,29.8,586,824,5295,11,159,184,264,80,1175,-29.7,30.3,-9999.0,496,124,70
1909,2.7,11.7,-6.8,18.5,3454,430,3.7,27.2,778,739,5590,5,161,181,280,99,1452,-29.7,30.3,-9999.0,434,118,72
1910,3.7,13.1,-4.8,17.9,2845,429,4.8,30.5,561,787,5191,6,180,149,271,122,1461,-29.7,30.3,-9999.0,519,176,72
1911,2.9,13.7,-5.2,18.9,2326,737,5.5,18.6,647,719,5498,8,152,177,269,92,1103,-29.7,30.3,-9999.0,445,194,71
1912,3.1,11.8,-3.0,14.8,3525,659,3.7,17.8,605,714,5418,5,166,159,271,112,1440,-29.7,30.3,-9999.0,408,61,74
1913,3.0,13.5,-5.2,18.7,2847,617,4.6,22.0,736,817,5468,9,166,164,272,108,1573,-29.7,30.3,-9999.0,473,126,73
1914,3.8,13.3,-6.8,20.0,2590,544,5.3,24.5,564,852,5152,9,182,158,272,115,933,-29.7,30.3,-9999.0,532,186,72
1915,3.9,14.9,-4.3,19.2,3070,502,4.5,29.6,535,850,5146,14,175,166,271,106,852,-29.7,30.3,-9999.0,500,131,73
1916,2.2,12.7,-9.6,22.3,3475,724,3.5,17.6,861,699,5765,6,147,184,275,91,2298,-29.7,30.3,-9999.0,445,67,71
1917,3.9,14.4,-3.4,17.9,2952,351,4.7,41.1,617,964,5134,16,175,156,283,127,1592,-29.7,30.3,-9999.0,465,246,72
1918,4.2,12.3,-3.8,16.1,2576,467,5.5,26.3,522,945,5043,14,176,188,291,103,939,-29.7,30.3,-9999.0,524,158,70
1919,3.0,13.4,-7.1,20.5,3283,419,3.9,31.9,709,801,5477,11,149,164,274,109,1275,-29.7,30.3,-9999.0,491,175,70
1920,2.9,13.1,-2.9,16.0,2782,601,4.7,21.8,645,743,5480,8,158,180,277,97,1504,-29.7,30.3,-9999.0,401,82,73
1921,3.3,12.3,-4.3,16.6,3550,399,3.7,30.9,593,734,5354,5,170,162,261,99,1613,-29.7,30.3,-9999.0,429,159,73
1922,2.6,13.7,-6.7,20.3,2459,295,5.1,46.3,958,941,5605,13,159,169,278,109,1345,-29.7,30.3,-9999.0,462,146,71
1923,3.6,13.7,-6.0,19.7,2802,602,4.9,22.8,610,887,5227,12,171,162,276,114,1459,-29.7,30.3,-9999.0,485,40,71
1924,3.6,12.7,-6.7,19.3,2222,262,6.1,48.3,682,894,5267,9,169,157,274,118,756,-29.7,30.3,-9999.0,539,246,69
1925,4.6,14.0,-0.6,14.6,2611,490,5.6,28.5,407,888,4898,10,183,148,279,131,1210,-29.7,30.3,-9999.0,494,198,71
1926,4.7,13.8,-3.2,17.0,2972,478,4.9,28.8,414,920,4852,10,187,165,263,97,619,-29.7,30.3,-9999.0,583,174,70
1927,3.2,12.8,-4.9,17.6,3450,662,3.8,19.3,662,804,5389,8,173,176,280,104,1573,-29.7,30.3,-9999.0,463,160,74
1928,3.6,13.0,-3.8,16.8,2610,276,5.2,47.2,593,835,5227,8,175,146,271,125,1288,-29.7,30.3,-9999.0,484,198,72
1929,3.0,13.5,-8.2,21.7,2348,316,5.5,42.9,770,858,5438,10,160,163,268,104,1409,-29.7,30.3,-9999.0,460,217,68
1930,3.0,13.6,-11.5,25.1,2061,332,6.3,41.1,759,837,5470,10,159,176,279,103,942,-29.7,30.3,-9999.0,480,207,70
