Year,Max Temp,Min Temp,Ave Temp,Precipitation,DDays < 0°C,DDays > 5°C,DDays < 18°C,DDays > 18°C,Frost Free Days,Snowfall,Evaporation,Moisture Deficit,Relative Humidity
1901,2.1,-4.6,-1.2,967,261,6,1725,0,15,386,0,0,74
1902,3.2,-3.4,-0.1,1031,210,12,1628,0,21,250,18,0,75
1903,1.5,-5.7,-2.1,843,308,1,1800,0,12,362,0,0,72
1904,1.6,-4.4,-1.4,1107,267,5,1733,0,16,516,9,0,76
1905,2.3,-4.0,-0.9,817,238,6,1690,0,18,260,9,0,75
1906,3.1,-3.3,-0.1,749,203,10,1628,0,20,201,17,0,76
1907,0.1,-6.1,-3.0,1170,397,11,1887,0,14,547,0,0,75
1908,2.5,-4.4,-0.9,1029,240,4,1697,0,15,374,0,0,73
1909,-0.2,-6.5,-3.4,1280,409,0,1925,0,9,737,0,0,74
1910,-0.1,-6.9,-3.5,1042,402,0,1928,0,7,667,0,0,71
1911,0.3,-5.8,-2.8,943,371,10,1861,0,13,460,9,0,75
1912,1.8,-4.3,-1.3,931,268,1,1735,0,15,347,16,0,76
1913,-0.4,-6.6,-3.5,943,412,3,1929,0,9,568,0,0,74
1914,1.9,-4.0,-1.0,729,245,6,1705,0,17,256,0,0,77
1915,2.3,-5.4,-1.6,408,292,4,1763,0,12,148,18,0,70
1916,-1.2,-8.3,-4.7,1150,519,5,2046,0,8,655,0,0,71
1917,-1.2,-7.3,-4.2,857,457,0,1995,0,6,605,0,0,74
1918,1.6,-3.8,-1.1,1609,253,7,1713,0,19,590,0,0,79
1919,1.9,-4.9,-1.5,1171,274,5,1745,0,14,526,0,0,73
1920,2.5,-5.4,-1.5,788,273,0,1750,0,11,324,0,0,69
1921,2.1,-3.7,-0.8,1243,235,5,1685,0,19,428,8,0,77
1922,-0.9,-7.6,-4.3,756,458,0,1994,0,6,498,0,0,72
1923,-0.7,-7.1,-3.9,1107,435,0,1964,0,7,704,0,0,73
1924,2.4,-3.4,-0.5,1340,237,14,1669,0,21,393,18,0,77
1925,1.6,-4.2,-1.3,1208,284,6,1741,0,18,481,15,0,77
1926,4.4,-2.1,1.1,1046,158,32,1515,0,28,174,28,0,76
1927,1.1,-5.1,-2.0,1013,303,0,1795,0,12,467,0,0,75
1928,1.6,-5.2,-1.8,840,312,3,1784,0,13,394,19,0,73
1929,-0.6,-7.6,-4.1,597,448,1,1978,0,7,366,0,0,71
1930,0.1,-6.2,-3.0,1134,402,12,1894,0,14,427,16,0,75
1931,3.5,-2.5,0.5,759,174,16,1570,0,25,175,36,0,78
1932,0.3,-5.5,-2.6,1111,342,1,1847,0,11,602,0,0,76
1933,-0.8,-6.4,-3.6,1063,409,0,1935,0,9,656,0,0,77
1934,4.1,-2.5,0.8,1437,169,22,1548,0,25,353,32,0,76
1935,1.9,-4.4,-1.2,1099,271,6,1729,0,16,479,18,0,75
1936,0.6,-6.0,-2.7,943,371,17,1843,0,15,551,10,0,74
1937,-1.1,-7.7,-4.4,1033,480,6,2011,0,9,558,0,0,73
1938,1.9,-4.3,-1.2,851,255,3,1722,0,15,298,0,0,75
1939,1.6,-4.4,-1.4,1217,271,10,1736,0,17,484,0,0,76
1940,4.1,-1.9,1.1,977,154,25,1515,0,30,177,37,0,78
1941,4.2,-2.7,0.8,585,164,23,1547,0,24,118,40,0,74
1942,2.4,-4.4,-1.0,623,242,2,1703,0,15,217,0,0,73
1943,1.4,-5.5,-2.1,1007,337,10,1807,0,13,395,19,0,73
1944,2.4,-4.5,-1.1,612,247,0,1711,0,14,234,0,0,73
1945,2.9,-3.9,-0.5,805,221,4,1663,0,17,246,16,0,74
1946,1.8,-3.8,-1.0,1054,243,1,1704,0,18,380,0,0,78
1947,1.8,-5.0,-1.6,1192,293,3,1764,0,13,498,19,0,73
1948,1.6,-4.5,-1.4,1238,270,5,1740,0,16,549,0,0,75
1949,-1.5,-8.8,-5.2,1072,528,0,2079,0,4,820,0,0,69
1950,-2.3,-8.8,-5.5,1267,584,4,2120,0,7,773,0,0,73
1951,1.8,-4.4,-1.3,1373,278,16,1727,0,18,585,10,0,75
1952,-0.5,-6.7,-3.6,809,420,0,1944,0,7,514,0,0,74
