Year,Ave Temp,Warmest Month,Coldest Month,Difference,Mean Precip,May-Sep Precip,Heat-Moist I,Summer Heat-Moist I,DDays < 0°C,DDays > 5°C,DDays < 18°C,DDays > 18°C,Frost Free Days,Begin FFP,End FFP,Frost Free Period,Snowfall,Min Temp (30),Max Temp (30),Radiation,Evaporation,Moisture Deficit,Relative Humidity
1901,5.2,14.8,-2.6,17.4,2728,598,5.6,24.8,361,1010,4645,14,198,142,263,121,661,-27.4,31.7,-9999.0,565,156,68
1902,4.7,12.9,-2.2,15.1,2971,612,4.9,21.2,412,894,4859,7,187,142,254,112,639,-27.4,31.7,-9999.0,538,25,69
1903,4.5,12.9,-3.3,16.2,2706,856,5.3,15.1,455,924,4921,10,186,166,266,100,909,-27.4,31.7,-9999.0,493,2,69
1904,5.1,13.3,-2.9,16.2,2879,493,5.3,26.9,396,1028,4676,12,198,165,267,103,1024,-27.4,31.7,-9999.0,547,108,69
1905,4.9,13.6,-1.7,15.3,2440,833,6.1,16.4,365,929,4780,11,185,170,273,103,447,-27.4,31.7,-9999.0,553,72,69
1906,5.5,15.8,-0.7,16.4,2989,823,5.2,19.2,316,1053,4552,20,203,150,272,122,518,-27.4,31.7,-9999.0,577,183,70
1907,4.4,13.2,-8.2,21.4,2783,644,5.2,20.5,541,966,4938,8,192,155,273,119,1037,-27.4,31.7,-9999.0,512,51,69
1908,4.7,14.0,-2.4,16.4,2842,668,5.2,21.0,409,944,4831,11,183,165,261,96,822,-27.4,31.7,-9999.0,518,17,68
1909,3.8,12.1,-6.6,18.7,3219,609,4.3,19.9,600,869,5170,8,174,169,272,103,1011,-27.4,31.7,-9999.0,535,6,69
1910,4.9,13.2,-4.0,17.2,3010,490,5.0,26.9,411,963,4752,8,196,154,272,118,996,-27.4,31.7,-9999.0,567,115,69
1911,3.9,13.7,-5.3,19.0,2420,702,5.7,19.6,581,891,5138,10,166,164,268,103,757,-27.4,31.7,-9999.0,552,84,68
1912,4.6,12.4,-2.6,15.0,2574,650,5.7,19.1,412,888,4893,8,186,148,257,109,782,-27.4,31.7,-9999.0,517,4,70
1913,3.9,13.8,-5.8,19.6,2487,782,5.6,17.7,597,921,5126,10,178,158,265,107,988,-27.4,31.7,-9999.0,500,11,70
1914,5.2,13.5,-3.6,17.1,2434,583,6.2,23.2,399,1039,4652,10,203,149,273,123,408,-27.4,31.7,-9999.0,579,198,69
1915,5.6,15.1,-1.9,17.0,2288,369,6.8,40.9,347,1095,4516,18,202,150,267,116,277,-27.4,31.7,-9999.0,605,182,68
1916,3.3,13.7,-10.6,24.3,2530,568,5.3,24.1,763,896,5352,9,165,167,262,95,1159,-27.4,31.7,-9999.0,540,66,68
1917,4.4,14.5,-3.9,18.4,2910,540,4.9,26.8,552,1007,4953,16,185,153,272,119,1205,-27.4,31.7,-9999.0,528,160,69
1918,5.3,13.5,-2.8,16.3,2854,498,5.3,27.2,394,1095,4639,16,193,169,278,109,847,-27.4,31.7,-9999.0,550,116,68
1919,4.4,13.5,-3.1,16.7,2617,487,5.5,27.8,475,930,4964,12,169,161,270,109,881,-27.4,31.7,-9999.0,541,161,67
1920,4.7,14.4,-1.3,15.7,2830,789,5.2,18.2,384,932,4837,15,182,173,268,95,861,-27.4,31.7,-9999.0,541,92,69
1921,4.4,12.9,-2.7,15.6,3245,656,4.4,19.7,443,865,4958,8,184,160,261,101,842,-27.4,31.7,-9999.0,505,87,70
1922,3.7,13.6,-5.3,18.8,2206,493,6.2,27.6,737,1025,5201,14,171,164,274,110,999,-27.4,31.7,-9999.0,530,199,68
1923,4.8,14.1,-4.2,18.3,2645,661,5.6,21.3,477,1049,4801,15,189,151,266,115,1007,-27.4,31.7,-9999.0,527,78,68
1924,4.8,13.1,-4.2,17.3,2468,369,6.0,35.6,469,1013,4809,10,192,142,268,126,580,-27.4,31.7,-9999.0,546,156,69
1925,5.9,14.5,-0.9,15.4,2382,350,6.7,41.3,278,1103,4407,15,210,138,272,134,757,-27.4,31.7,-9999.0,598,137,69
1926,6.0,14.3,-2.1,16.3,2333,562,6.9,25.4,288,1127,4365,14,213,150,253,103,298,-27.4,31.7,-9999.0,622,159,68
1927,4.3,14.0,-5.0,19.0,3077,733,4.6,19.2,549,986,5006,15,186,161,277,115,850,-27.4,31.7,-9999.0,487,87,72
1928,5.5,14.1,-1.8,15.9,2819,594,5.5,23.7,342,1067,4567,14,203,139,267,128,812,-27.4,31.7,-9999.0,581,57,69
1929,4.5,14.2,-5.9,20.1,2352,692,6.2,20.5,567,1050,4913,14,188,151,271,120,775,-27.4,31.7,-9999.0,553,64,69
1930,4.7,14.3,-8.4,22.8,2500,616,5.9,23.2,507,1023,4852,14,192,161,275,115,654,-27.4,31.7,-9999.0,568,173,69
1931,5.4,14.0,-1.5,15.5,2860,867,5.4,16.2,348,1035,4599,13,206,147,278,131,502,-27.4,31.7,-9999.0,575,163,71
1932,4.7,13.4,-3.9,17.3,3163,421,4.6,31.9,493,993,4857,11,201,148,270,122,1082,-27.4,31.7,-9999.0,527,70,72
1933,4.4,14.7,-5.0,19.7,3331,747,4.3,19.6,483,945,4934,13,190,168,270,102,992,-27.4,31.7,-9999.0,503,100,71
1934,6.4,14.3,-0.8,15.1,2590,578,6.3,24.7,228,1139,4223,13,233,137,275,139,488,-27.4,31.7,-9999.0,601,98,70
1935,4.5,12.8,-3.6,16.4,2092,478,7.0,26.8,458,946,4901,10,177,170,275,105,843,-27.4,31.7,-9999.0,532,87,69
1936,4.7,13.8,-7.8,21.6,2588,731,5.7,18.9,544,1098,4808,13,198,138,266,128,912,-27.4,31.7,-9999.0,537,67,69
1937,4.5,13.6,-9.0,22.5,2862,639,5.1,21.2,602,1077,4926,12,199,146,280,134,852,-27.4,31.7,-9999.0,533,94,71
1938,5.3,14.5,-1.6,16.0,2318,317,6.6,45.7,407,1112,4641,18,193,157,285,128,626,-27.4,31.7,-9999.0,548,190,68
1939,5.7,14.8,-3.5,18.2,2764,635,5.7,23.2,323,1101,4464,17,218,151,275,124,763,-27.4,31.7,-9999.0,557,64,70
1940,6.4,14.3,0.2,14.1,2382,505,6.9,28.4,294,1274,4233,23,224,131,294,162,318,-27.4,31.7,-9999.0,609,78,70
1941,6.1,15.3,-1.0,16.2,2479,867,6.5,17.6,253,1112,4343,18,221,143,271,128,277,-27.4,31.7,-9999.0,586,91,71
1942,5.5,15.3,-1.1,16.4,2264,590,6.8,25.9,370,1128,4569,23,201,145,271,125,484,-27.4,31.7,-9999.0,550,116,70
1943,4.9,13.1,-6.2,19.2,2110,522,7.1,25.0,479,1036,4780,12,193,158,275,117,836,-27.4,31.7,-9999.0,534,61,68
