Month,Year,Max Temp,Min Temp,Ave Temp,Precipitation,Radiation,DDays < 0°C,DDays > 5°C,DDays < 18°C,DDays > 18°C,Frost Free Days,Snowfall,Evaporation,Moisture Deficit,Relative Humidity
Jan,1901,-0.9,-6.8,-3.9,397,-9999.0,149,0,679,0,3,233,0,0,75
Feb,1901,0.5,-7.3,-3.4,331,-9999.0,123,0,595,0,2,241,0,0,68
Mar,1901,2.4,-5.0,-1.3,214,-9999.0,89,0,600,0,4,163,0,0,71
Apr,1901,4.8,-4.5,0.1,260,-9999.0,55,2,536,0,4,199,42,0,65
May,1901,11.5,-0.1,5.7,199,-9999.0,4,57,382,0,13,45,78,0,61
Jun,1901,13.0,1.4,7.2,147,-9999.0,1,82,323,0,19,16,86,0,62
Jul,1901,15.6,4.7,10.2,91,-9999.0,0,157,244,0,29,4,93,2,65
Aug,1901,20.0,6.4,13.2,54,-9999.0,0,256,150,4,30,1,98,44,58
Sep,1901,13.6,3.4,8.5,85,-9999.0,1,115,286,2,23,7,52,0,67
Oct,1901,10.7,2.6,6.7,257,-9999.0,5,84,353,0,22,7,29,0,73
Nov,1901,4.6,-1.9,1.4,609,-9999.0,42,10,498,0,10,142,12,0,76
Dec,1901,1.7,-5.0,-1.6,411,-9999.0,93,0,605,0,4,161,0,0,74
Jan,1902,0.8,-6.5,-2.9,277,-9999.0,125,0,648,0,3,135,0,0,70
Feb,1902,3.1,-3.5,-0.2,620,-9999.0,64,0,505,0,6,220,0,0,74
Mar,1902,1.6,-5.8,-2.1,401,-9999.0,106,0,625,0,3,339,0,0,70
Apr,1902,5.4,-3.4,1.0,193,-9999.0,42,5,511,0,5,128,43,0,68
May,1902,11.6,0.4,6.0,144,-9999.0,3,62,372,0,15,29,77,0,63
Jun,1902,14.6,1.9,8.3,123,-9999.0,1,106,292,0,21,8,94,0,59
Jul,1902,16.4,4.4,10.4,95,-9999.0,0,164,237,0,29,3,98,3,62
Aug,1902,17.8,5.5,11.7,75,-9999.0,0,206,198,2,29,2,89,14,61
Sep,1902,14.1,2.9,8.5,84,-9999.0,1,115,286,2,22,7,54,0,64
Oct,1902,10.3,1.1,5.7,212,-9999.0,7,67,382,0,18,11,30,0,69
Nov,1902,2.2,-4.7,-1.2,493,-9999.0,86,0,577,0,5,231,0,0,73
Dec,1902,-0.2,-6.5,-3.4,574,-9999.0,132,0,659,0,3,336,0,0,73
Jan,1903,0.4,-5.4,-2.5,360,-9999.0,117,0,638,0,4,164,0,0,76
Feb,1903,-0.4,-8.6,-4.5,131,-9999.0,149,0,626,0,1,108,0,0,66
Mar,1903,1.8,-8.4,-3.3,163,-9999.0,135,0,662,0,1,150,0,0,60
Apr,1903,4.4,-4.5,-0.1,205,-9999.0,58,1,542,0,4,162,0,0,67
May,1903,9.8,-1.0,4.4,175,-9999.0,8,38,422,0,11,64,70,0,64
Jun,1903,16.0,3.7,9.9,181,-9999.0,0,148,245,1,26,5,98,0,61
Jul,1903,16.2,5.2,10.7,55,-9999.0,0,174,227,0,30,2,95,40,65
Aug,1903,17.2,6.8,12.0,85,-9999.0,0,217,188,2,30,2,82,0,67
Sep,1903,12.6,3.5,8.0,252,-9999.0,2,104,300,1,24,24,48,0,70
Oct,1903,9.4,0.2,4.8,252,-9999.0,11,53,410,0,15,21,29,0,69
Nov,1903,2.1,-4.7,-1.3,632,-9999.0,86,0,578,0,5,297,0,0,73
Dec,1903,1.2,-4.8,-1.8,286,-9999.0,97,0,611,0,4,118,0,0,74
Jan,1904,-0.6,-6.2,-3.4,390,-9999.0,137,0,664,0,3,211,0,0,76
Feb,1904,-1.7,-7.5,-4.6,458,-9999.0,152,0,629,0,2,381,0,0,76
Mar,1904,-0.1,-7.3,-3.7,392,-9999.0,146,0,675,0,2,368,0,0,70
Apr,1904,7.0,-2.9,2.0,160,-9999.0,30,12,480,0,6,82,48,0,65
May,1904,11.0,-0.8,5.1,148,-9999.0,5,48,400,0,11,42,76,0,61
Jun,1904,14.5,1.4,8.0,74,-9999.0,1,98,302,0,19,6,94,20,58
Jul,1904,18.1,4.8,11.5,78,-9999.0,0,200,203,1,29,2,107,29,59
Aug,1904,19.3,5.5,12.4,54,-9999.0,0,231,175,3,29,1,96,42,57
Sep,1904,15.5,4.2,9.9,93,-9999.0,1,153,245,3,25,5,58,0,64
Oct,1904,9.8,2.0,5.9,288,-9999.0,7,70,377,0,21,13,28,0,73
Nov,1904,5.4,-1.8,1.8,748,-9999.0,37,12,485,0,10,153,13,0,74
Dec,1904,1.2,-4.7,-1.8,472,-9999.0,96,0,609,0,5,192,0,0,76
Jan,1905,0.2,-5.8,-2.8,342,-9999.0,124,0,647,0,4,165,0,0,75
Feb,1905,2.6,-7.3,-2.3,313,-9999.0,101,0,565,0,2,192,0,0,62
Mar,1905,4.5,-2.9,0.8,420,-9999.0,53,0,535,0,7,193,29,0,72
Apr,1905,7.4,-3.3,2.0,104,-9999.0,30,12,479,0,5,53,50,0,62
May,1905,11.3,-0.9,5.2,132,-9999.0,5,49,396,0,11,36,78,0,59
Jun,1905,16.0,2.8,9.4,84,-9999.0,0,134,259,0,23,3,100,15,58
Jul,1905,19.3,5.7,12.5,56,-9999.0,0,234,170,2,30,1,113,56,58
Aug,1905,17.2,6.1,11.7,96,-9999.0,0,206,198,2,30,3,84,0,65
Sep,1905,13.5,4.6,9.0,204,-9999.0,1,130,269,2,26,14,49,0,71
Oct,1905,7.2,-2.3,2.4,203,-9999.0,26,27,484,0,8,55,26,0,66
