Year,Max Temp,Min Temp,Ave Temp,Precipitation,DDays < 0°C,DDays > 5°C,DDays < 18°C,DDays > 18°C,Frost Free Days,Snowfall,Evaporation,Moisture Deficit,Relative Humidity
1901,0.4,-6.4,-3.0,1138,366,0,1879,0,9,636,0,0,72
1902,1.9,-5.0,-1.6,1308,282,0,1759,0,13,516,0,0,73
1903,-0.1,-6.8,-3.5,1065,399,0,1923,0,8,608,0,0,72
1904,-0.4,-6.2,-3.3,1134,386,0,1904,0,9,710,0,0,76
1905,1.3,-5.9,-2.3,1127,320,0,1821,0,10,549,0,0,71
1906,1.2,-5.4,-2.1,1106,312,0,1806,0,11,532,0,0,73
1907,-0.5,-8.0,-4.2,1019,468,0,2002,0,7,630,0,0,69
1908,1.1,-6.2,-2.5,1430,335,0,1842,0,9,739,0,0,70
1909,-1.7,-8.4,-5.0,1130,518,0,2068,0,5,860,0,0,72
1910,-1.8,-8.5,-5.1,912,524,0,2073,0,4,682,0,0,71
1911,-1.1,-7.6,-4.4,872,473,1,2002,0,8,555,0,0,73
1912,0.4,-5.8,-2.7,1083,353,0,1864,0,10,590,0,0,74
1913,-0.9,-7.8,-4.3,1017,468,0,2006,0,6,690,0,0,71
1914,0.6,-5.2,-2.3,1028,321,0,1822,0,12,510,0,0,76
1915,0.3,-6.3,-3.0,660,374,0,1889,0,9,366,0,0,73
1916,-1.5,-8.8,-5.1,1228,531,0,2079,0,5,854,0,0,69
1917,-1.6,-7.9,-4.7,692,496,0,2041,0,5,527,0,0,73
1918,-0.1,-6.0,-3.0,1324,369,0,1884,0,10,824,0,0,76
1919,-0.4,-6.5,-3.4,1201,397,0,1920,0,8,746,0,0,75
1920,0.9,-6.9,-3.0,532,370,0,1889,0,7,302,0,0,68
1921,-0.1,-6.0,-3.1,1430,373,0,1891,0,9,801,0,0,75
1922,-1.7,-8.8,-5.3,503,534,0,2085,0,4,404,0,0,70
1923,-0.9,-8.3,-4.6,1230,483,0,2025,0,5,894,0,0,69
1924,1.0,-4.8,-1.9,1517,301,0,1790,0,14,707,0,0,77
1925,0.3,-5.9,-2.8,1006,358,0,1868,0,10,534,0,0,75
1926,2.4,-3.3,-0.4,1010,219,7,1654,0,21,308,8,0,78
1927,0.3,-6.1,-2.9,1163,360,0,1876,0,9,649,0,0,74
1928,0.2,-6.2,-3.0,716,371,0,1884,0,10,375,0,0,74
1929,-0.6,-8.1,-4.3,520,465,0,2000,0,6,282,0,0,69
1930,-0.7,-7.6,-4.1,917,459,0,1990,0,8,539,0,0,71
1931,2.0,-4.1,-1.1,1036,246,1,1707,0,16,355,0,0,76
1932,-0.9,-6.6,-3.7,976,420,0,1950,0,8,612,0,0,76
1933,-1.4,-7.7,-4.5,843,478,0,2020,0,6,587,0,0,73
1934,1.6,-4.9,-1.7,1133,287,0,1770,0,13,504,0,0,74
1935,0.2,-6.1,-3.0,1369,370,0,1884,0,9,807,0,0,74
1936,0.1,-6.1,-3.0,907,376,6,1871,0,12,412,0,0,75
1937,-1.3,-8.4,-4.8,950,506,0,2051,0,5,629,0,0,70
1938,0.6,-5.7,-2.5,840,333,0,1838,0,10,435,0,0,74
1939,0.3,-5.9,-2.8,1099,353,0,1863,0,10,548,0,0,74
1940,2.5,-3.5,-0.5,1448,221,7,1658,0,20,420,8,0,77
1941,2.4,-4.3,-1.0,1225,242,0,1701,0,15,424,0,0,74
1942,1.1,-6.0,-2.5,857,331,0,1837,0,9,430,0,0,71
1943,0.1,-6.9,-3.4,940,404,0,1923,0,8,532,0,0,72
1944,1.3,-5.7,-2.2,837,312,0,1810,0,10,373,0,0,72
1945,1.6,-5.9,-2.1,811,310,0,1807,0,10,390,0,0,70
