Year,Ave Temp,Warmest Month,Coldest Month,Difference,Mean Precip,May-Sep Precip,Heat-Moist I,Summer Heat-Moist I,DDays < 0°C,DDays > 5°C,DDays < 18°C,DDays > 18°C,Frost Free Days,Begin FFP,End FFP,Frost Free Period,Snowfall,Min Temp (30),Max Temp (30),Radiation,Evaporation,Moisture Deficit,Relative Humidity
1901,3.6,13.2,-3.9,17.1,3054,576,4.4,23.0,563,763,5252,6,163,161,261,101,1221,-30,29.9,-9999.0,490,46,68
1902,3.5,11.7,-3.4,15.0,3291,521,4.1,22.4,568,725,5294,4,158,155,256,101,1181,-30,29.9,-9999.0,485,17,67
1903,3.0,12.0,-4.5,16.5,2776,747,4.7,16.1,664,735,5449,5,154,174,260,85,1240,-30,29.9,-9999.0,422,40,68
1904,3.6,12.4,-4.6,17.0,3355,447,4.1,27.8,612,824,5244,7,162,171,267,96,1542,-30,29.9,-9999.0,520,91,67
1905,3.9,12.5,-2.8,15.3,2718,572,5.1,21.9,493,796,5142,6,157,177,269,92,1007,-30,29.9,-9999.0,541,71,66
1906,4.0,13.5,-3.3,16.8,3069,658,4.6,20.5,528,872,5087,10,166,158,269,111,975,-30,29.9,-9999.0,513,165,67
1907,3.6,12.8,-8.0,20.8,2837,610,4.8,20.9,672,897,5242,8,160,158,269,110,1346,-30,29.9,-9999.0,536,28,64
1908,3.3,12.1,-3.8,15.9,3268,610,4.1,19.8,603,742,5373,6,147,178,260,83,1392,-30,29.9,-9999.0,502,27,66
1909,2.1,10.5,-7.2,17.7,2639,607,4.6,17.2,856,635,5804,3,140,182,270,88,1360,-30,29.9,-9999.0,410,0,68
1910,3.0,11.2,-5.4,16.6,2817,497,4.6,22.5,651,692,5453,5,149,172,268,95,1173,-30,29.9,-9999.0,484,87,68
1911,2.5,12.2,-6.4,18.6,2246,620,5.6,19.6,801,717,5645,5,143,170,265,95,1202,-30,29.9,-9999.0,435,99,67
1912,3.3,11.3,-3.6,14.9,2754,580,4.8,19.5,578,719,5345,5,159,155,262,106,994,-30,29.9,-9999.0,471,39,69
1913,2.6,11.9,-6.3,18.2,2638,734,4.8,16.2,733,691,5594,5,152,163,265,102,1236,-30,29.9,-9999.0,450,0,69
