Month,Year,Max Temp,Min Temp,Ave Temp,Precipitation,Radiation,DDays < 0°C,DDays > 5°C,DDays < 18°C,DDays > 18°C,Frost Free Days,Snowfall,Evaporation,Moisture Deficit,Relative Humidity
Jan,1901,-3.2,-10.7,-7.0,191,-9999.0,230,2,774,0,1,158,0,0,68
Feb,1901,-2.0,-11.2,-6.6,151,-9999.0,200,3,684,0,0,140,0,0,62
Mar,1901,3.8,-5.5,-0.8,97,-9999.0,80,15,586,0,3,69,0,0,65
Apr,1901,7.1,-4.0,1.6,88,-9999.0,35,22,493,0,4,51,51,0,60
May,1901,14.4,2.8,8.6,88,-9999.0,1,123,291,3,23,5,88,0,63
Jun,1901,13.1,1.2,7.2,154,-9999.0,1,81,325,0,18,18,88,0,61
Jul,1901,21.8,4.3,13.0,37,-9999.0,0,250,150,3,28,0,131,94,48
Aug,1901,23.7,6.1,14.9,19,-9999.0,0,303,105,10,30,0,119,100,49
Sep,1901,11.4,1.4,6.4,95,-9999.0,3,69,348,1,18,15,49,0,67
Oct,1901,11.0,-0.7,5.2,57,-9999.0,9,58,399,0,13,4,35,0,61
Nov,1901,3.6,-2.8,0.4,139,-9999.0,55,18,527,0,8,43,12,0,76
Dec,1901,-0.2,-7.1,-3.6,95,-9999.0,139,7,667,0,2,58,0,0,71
Jan,1902,-3.2,-10.7,-7.0,191,-9999.0,230,2,774,0,1,158,0,0,68
Feb,1902,-2.0,-11.2,-6.6,151,-9999.0,200,3,684,0,0,140,0,0,62
Mar,1902,3.8,-5.5,-0.8,97,-9999.0,80,15,586,0,3,69,0,0,65
Apr,1902,7.1,-4.0,1.6,88,-9999.0,35,22,493,0,4,51,51,0,60
May,1902,14.4,2.8,8.6,88,-9999.0,1,123,291,3,23,5,88,0,63
Jun,1902,13.1,1.2,7.2,154,-9999.0,1,81,325,0,18,18,88,0,61
Jul,1902,21.8,4.3,13.0,37,-9999.0,0,250,150,3,28,0,131,94,48
Aug,1902,23.7,6.1,14.9,19,-9999.0,0,303,105,10,30,0,119,100,49
Sep,1902,11.4,1.4,6.4,95,-9999.0,3,69,348,1,18,15,49,0,67
Oct,1902,11.0,-0.7,5.2,57,-9999.0,9,58,399,0,13,4,35,0,61
Nov,1902,3.6,-2.8,0.4,139,-9999.0,55,18,527,0,8,43,12,0,76
Dec,1902,-0.2,-7.1,-3.6,95,-9999.0,139,7,667,0,2,58,0,0,71
Jan,1903,-1.4,-8.0,-4.7,214,-9999.0,171,5,705,0,2,143,0,0,72
Feb,1903,-3.1,-15.1,-9.1,41,-9999.0,258,1,756,0,0,40,0,0,51
Mar,1903,2.2,-8.9,-3.4,137,-9999.0,137,7,664,0,1,126,0,0,57
Apr,1903,6.7,-4.4,1.1,63,-9999.0,40,19,506,0,4,40,50,0,60
May,1903,11.5,-1.8,4.9,102,-9999.0,6,44,408,1,8,32,81,0,56
Jun,1903,18.9,5.0,11.9,148,-9999.0,0,209,183,3,28,1,113,0,57
Jul,1903,19.6,3.5,11.6,75,-9999.0,0,203,200,1,27,2,120,45,51
Aug,1903,19.8,4.7,12.2,53,-9999.0,0,225,180,3,28,1,102,49,54
Sep,1903,12.5,0.4,6.4,81,-9999.0,3,69,347,1,15,12,54,0,60
Oct,1903,9.2,-1.5,3.8,56,-9999.0,15,41,440,0,10,8,31,0,63
Nov,1903,0.5,-6.9,-3.2,195,-9999.0,132,6,637,0,2,129,0,0,70
Dec,1903,-0.7,-7.3,-4.0,65,-9999.0,149,6,680,0,2,43,0,0,71
Jan,1904,-0.8,-8.0,-4.4,129,-9999.0,162,5,695,0,2,82,0,0,70
Feb,1904,-0.1,-8.4,-4.2,260,-9999.0,143,5,619,0,1,210,0,0,66
Mar,1904,0.2,-8.7,-4.2,228,-9999.0,159,6,691,0,1,218,0,0,64
Apr,1904,10.1,-3.8,3.1,55,-9999.0,21,35,446,1,5,19,62,6,53
May,1904,13.1,-0.1,6.5,60,-9999.0,3,72,356,1,14,9,87,27,57
Jun,1904,17.4,1.1,9.2,72,-9999.0,1,130,264,1,18,3,111,39,50
Jul,1904,22.2,4.8,13.5,37,-9999.0,0,266,138,4,29,0,133,96,49
Aug,1904,21.4,3.8,12.6,30,-9999.0,0,237,169,3,27,1,111,81,48
Sep,1904,17.2,1.0,9.1,16,-9999.0,1,131,269,2,17,1,69,53,50
Oct,1904,9.0,-1.3,3.8,43,-9999.0,15,41,440,0,11,6,31,0,64
