Year,Max Temp,Min Temp,Ave Temp,Precipitation,DDays < 0°C,DDays > 5°C,DDays < 18°C,DDays > 18°C,Frost Free Days,Snowfall,Evaporation,Moisture Deficit,Relative Humidity
1901,-1.8,-9.7,-5.7,436,569,12,2125,0,3,357,0,0,67
1902,-1.8,-9.7,-5.7,436,569,12,2125,0,3,357,0,0,67
1903,-2.4,-10.8,-6.6,445,578,12,2140,0,4,338,0,0,65
1904,-0.5,-7.9,-4.2,455,449,17,1987,0,5,335,0,0,69
1905,-1.9,-10.5,-6.2,309,647,8,2217,0,2,243,0,0,64
1906,-0.7,-8.8,-4.8,416,458,16,1997,0,5,305,0,0,67
1907,-2.5,-11.0,-6.8,460,684,12,2243,0,3,369,0,0,65
1908,-0.8,-9.6,-5.2,380,585,10,2142,0,2,298,0,0,64
1909,-3.0,-11.1,-7.0,503,758,7,2341,0,2,449,0,0,66
1910,-3.9,-12.8,-8.4,391,609,11,2174,0,4,360,0,0,62
1911,-1.6,-10.6,-6.1,386,713,6,2292,0,1,307,0,0,63
1912,-1.9,-10.5,-6.2,248,557,13,2113,0,3,211,0,0,64
1913,-3.2,-13.4,-8.3,340,780,5,2377,0,1,301,0,0,57
1914,-1.3,-10.0,-5.6,353,671,10,2238,0,3,247,0,0,64
1915,-2.2,-11.6,-6.9,121,588,12,2145,0,3,91,0,0,61
1916,-4.8,-14.5,-9.6,476,1031,4,2620,0,1,440,0,0,59
1917,-4.1,-13.2,-8.7,251,630,9,2200,0,2,236,0,0,61
1918,-1.7,-10.6,-6.1,608,599,10,2160,0,3,472,0,0,63
1919,-1.0,-9.5,-5.3,473,659,9,2229,0,2,378,0,0,65
1920,-1.7,-11.9,-6.8,197,539,12,2091,0,3,167,0,0,58
1921,-0.5,-8.8,-4.7,427,580,12,2136,0,3,316,0,0,66
1922,-4.5,-15.0,-9.8,280,958,3,2562,0,0,265,0,0,56
1923,-3.6,-13.0,-8.3,511,649,9,2225,0,2,440,0,0,61
1924,-1.3,-10.2,-5.7,360,762,15,2321,0,4,270,0,0,63
1925,-1.9,-10.3,-6.1,495,351,30,1847,0,11,349,0,0,64
1926,0.6,-6.2,-2.8,339,507,17,2043,0,5,184,0,0,72
1927,-2.5,-10.6,-6.6,454,779,6,2360,0,1,397,0,0,66
1928,-2.9,-12.2,-7.5,245,603,10,2162,0,2,217,0,0,61
1929,-5.6,-15.6,-10.6,259,877,8,2457,0,2,244,0,0,58
1930,-2.7,-11.9,-7.3,454,824,12,2384,0,2,296,0,0,62
1931,-0.9,-9.0,-5.0,151,514,15,2059,0,4,105,0,0,66
1932,-2.8,-12.4,-7.6,400,778,5,2370,0,1,361,0,0,60
1933,-3.5,-12.8,-8.2,403,578,14,2141,0,4,352,0,0,60
1934,1.8,-6.6,-2.4,652,376,24,1891,0,7,319,0,0,67
1935,-1.5,-10.2,-5.9,399,573,12,2134,0,3,325,0,0,64
1936,-4.3,-13.0,-8.6,387,827,8,2398,0,2,327,0,0,63
1937,-5.7,-15.9,-10.8,538,1005,6,2584,0,2,481,0,0,57
1938,-1.9,-10.0,-6.0,443,590,10,2149,0,3,364,0,0,66
1939,-1.5,-9.9,-5.7,406,500,17,2042,0,6,301,0,0,65
1940,-1.0,-8.3,-4.6,414,526,14,2078,0,4,271,0,0,70
1941,-0.1,-8.2,-4.1,209,461,17,1999,0,4,143,0,0,67
1942,-2.5,-10.8,-6.7,312,653,9,2224,0,2,243,0,0,65
1943,-2.3,-11.2,-6.8,480,704,9,2272,0,2,416,0,0,63
1944,-1.8,-10.2,-6.0,138,611,9,2172,0,2,115,0,0,65
1945,-1.1,-8.9,-5.0,314,498,15,2041,0,4,229,0,0,68
1946,-1.2,-9.3,-5.3,382,549,12,2101,0,3,299,0,0,67
1947,-1.4,-11.2,-6.3,390,551,13,2109,0,3,333,0,0,60
1948,-1.4,-10.2,-5.8,384,745,6,2324,0,1,319,0,0,63
1949,-6.1,-16.9,-11.5,470,965,5,2551,0,1,457,0,0,54
1950,-5.2,-14.3,-9.7,583,822,12,2380,0,4,543,0,0,61
1951,-1.3,-9.4,-5.4,565,744,7,2326,0,1,436,0,0,66
1952,-3.6,-12.0,-7.8,424,588,11,2154,0,3,392,0,0,65
1953,0.6,-6.2,-2.8,609,315,31,1809,0,11,260,0,0,72
1954,-0.8,-8.0,-4.4,679,520,17,2067,0,5,492,0,0,70
1955,-2.3,-10.1,-6.2,315,686,7,2258,0,2,266,0,0,67
1956,-3.1,-11.7,-7.4,545,614,10,2180,0,3,485,0,0,64
1957,-3.9,-12.8,-8.4,524,755,11,2316,0,3,454,0,0,62
1958,0.5,-6.2,-2.8,421,384,24,1902,0,8,229,0,0,73
1959,-1.6,-9.3,-5.4,467,579,11,2136,0,3,353,0,0,68
1960,-2.6,-11.4,-7.0,269,709,7,2284,0,2,235,0,0,63
1961,-0.7,-7.4,-4.1,427,500,20,2030,0,7,243,0,0,72
1962,-3.0,-11.2,-7.1,364,529,18,2073,0,6,324,0,0,65
1963,-0.8,-8.7,-4.7,311,649,18,2191,0,4,171,0,0,68
1964,-1.0,-9.3,-5.1,351,594,11,2154,0,3,256,0,0,66
1965,-1.8,-9.2,-5.5,578,446,17,1982,0,6,485,0,0,69
1966,-1.1,-8.7,-4.9,436,479,16,2021,0,5,327,0,0,69
1967,0.6,-6.3,-2.8,464,437,21,1963,0,6,254,0,0,72
1968,-0.8,-8.8,-4.8,378,582,15,2133,0,3,273,0,0,67
1969,-4.8,-13.0,-8.9,565,732,8,2303,0,2,539,0,0,65
1970,-1.9,-8.7,-5.3,455,587,12,2144,0,3,364,0,0,72
1971,-1.7,-9.5,-5.6,525,608,11,2168,0,3,427,0,0,68
1972,-2.9,-11.6,-7.3,609,708,8,2286,0,2,541,0,0,63
1973,-2.6,-11.7,-7.2,357,552,13,2111,0,4,325,0,0,62
1974,-1.4,-7.8,-4.6,650,490,18,2032,0,6,485,0,0,73
1975,-2.2,-10.0,-6.1,502,610,10,2174,0,3,412,0,0,67
1976,-2.2,-10.0,-6.1,502,610,10,2174,0,3,412,0,0,67
1977,-0.6,-8.4,-4.5,131,591,14,2145,0,3,88,0,0,68
1978,-2.3,-9.7,-6.0,417,649,10,2220,0,3,355,0,0,69
1979,-5.1,-14.5,-9.8,349,727,16,2274,0,5,307,0,0,59
1980,-1.6,-9.4,-5.5,426,593,15,2146,0,5,290,0,0,67
1981,0.0,-6.4,-3.2,453,455,18,1989,0,6,271,0,0,73
1982,-2.5,-10.4,-6.5,598,646,8,2213,0,2,518,0,0,66
1983,-0.3,-7.2,-3.8,482,604,19,2141,0,6,314,0,0,72
1984,-2.3,-10.4,-6.4,238,553,16,2103,0,4,184,0,0,66
1985,-4.2,-12.5,-8.3,279,724,6,2305,0,2,266,0,0,65
1986,-1.8,-9.3,-5.5,373,504,14,2049,0,5,280,0,0,69
1987,-1.5,-8.8,-5.1,211,567,12,2120,0,3,163,0,0,70
1988,-1.5,-10.2,-5.8,313,568,13,2123,0,3,261,0,0,64
1989,-3.3,-11.4,-7.3,331,648,10,2215,0,4,270,0,0,65
1990,-1.2,-8.1,-4.7,515,660,11,2223,0,4,358,0,0,71
1991,-2.7,-10.1,-6.4,377,477,23,2005,0,7,308,0,0,69
1992,0.5,-6.1,-2.8,326,490,23,2017,0,7,181,0,0,73
1993,-4.6,-12.8,-8.7,274,696,8,2273,0,3,258,0,0,65
1994,-1.2,-7.7,-4.4,267,502,18,2038,0,7,193,0,0,73
1995,-1.2,-8.2,-4.7,379,504,16,2044,0,5,276,0,0,71
1996,-3.2,-10.8,-7.0,549,737,6,2324,0,1,486,0,0,68
1997,-2.9,-10.5,-6.7,556,554,12,2110,0,3,496,0,0,68
1998,-0.6,-7.8,-4.2,262,495,17,2034,0,5,185,0,0,70
1999,-1.1,-7.5,-4.3,552,393,21,1918,0,8,391,0,0,73
2000,-0.7,-7.3,-4.0,388,539,13,2087,0,4,262,0,0,73
2001,-1.9,-9.5,-5.7,215,527,13,2076,0,4,180,0,0,68
2002,-1.2,-8.1,-4.7,473,432,18,1965,0,7,348,0,0,72
2003,0.0,-6.4,-3.2,349,442,18,1975,0,6,197,0,0,74
2004,-0.7,-7.8,-4.2,324,400,21,1924,0,7,229,0,0,70
2005,0.5,-8.2,-3.9,244,540,14,2087,0,3,156,0,0,65
2006,-1.0,-8.3,-4.7,503,441,20,1968,0,8,312,0,0,70
2007,-1.1,-8.0,-4.6,332,513,15,2056,0,5,240,0,0,71
2008,-0.9,-8.8,-4.8,497,596,15,2148,0,4,375,0,0,68
2009,-1.8,-9.7,-5.7,408,565,13,2117,0,3,329,0,0,67
2010,-0.3,-7.1,-3.7,225,372,28,1874,0,10,144,0,0,72
2011,-1.7,-9.6,-5.7,481,531,13,2081,0,4,379,0,0,67
2012,-0.3,-7.7,-4.0,304,424,19,1956,0,7,204,0,0,69
2013,0.0,-6.3,-3.1,320,451,20,1979,0,6,192,0,0,74
2014,-2.2,-9.5,-5.9,311,525,15,2074,0,6,244,0,0,69
2015,1.0,-6.0,-2.5,326,335,30,1832,0,10,172,0,0,72
2016,0.8,-5.2,-2.2,456,458,27,1969,0,9,236,0,0,76
2017,-3.1,-11.1,-7.1,456,615,10,2182,0,3,394,0,0,66
2018,-1.8,-8.2,-5.0,452,458,19,1990,0,8,325,0,0,73
2019,-2.1,-9.3,-5.7,352,534,17,2079,0,7,267,0,0,70
