Year,Ave Temp,Warmest Month,Coldest Month,Difference,Mean Precip,May-Sep Precip,Heat-Moist I,Summer Heat-Moist I,DDays < 0°C,DDays > 5°C,DDays < 18°C,DDays > 18°C,Frost Free Days,Begin FFP,End FFP,Frost Free Period,Snowfall,Min Temp (30),Max Temp (30),Radiation,Evaporation,Moisture Deficit,Relative Humidity
1901,3.3,14.9,-7.0,21.8,1210,394,11.0,37.7,753,951,5349,17,149,130,243,113,561,-37.7,32.9,-9999.0,574,195,62
1902,3.3,14.9,-7.0,21.8,1210,394,11.0,37.7,753,951,5349,17,149,130,243,113,561,-37.7,32.9,-9999.0,574,195,62
1903,2.3,12.2,-4.7,17.0,1231,459,10.0,26.7,912,836,5705,9,127,191,233,42,699,-37.7,32.9,-9999.0,551,94,60
1904,3.5,13.5,-4.4,17.9,1135,215,11.9,62.8,691,956,5260,12,134,167,239,72,735,-37.7,32.9,-9999.0,618,302,59
1905,2.8,13.9,-6.2,20.1,1086,347,11.8,40.2,891,967,5522,15,132,182,255,73,355,-37.7,32.9,-9999.0,627,213,59
1906,3.6,15.9,-4.9,20.8,1153,281,11.8,56.6,765,1044,5261,23,145,161,244,83,555,-37.7,32.9,-9999.0,604,260,60
1907,2.5,12.9,-12.8,25.7,1333,490,9.4,26.3,928,854,5632,9,138,167,247,80,748,-37.7,32.9,-9999.0,552,98,61
1908,3.1,14.6,-6.4,21.0,1171,362,11.2,40.4,817,958,5431,15,140,160,246,86,549,-37.7,32.9,-9999.0,579,213,60
1909,2.4,12.7,-10.4,23.1,1298,305,9.6,41.6,1016,954,5682,12,136,165,253,88,628,-37.7,32.9,-9999.0,532,199,60
1910,3.9,14.9,-7.0,21.9,1218,228,11.4,65.2,746,1083,5127,17,154,160,248,88,552,-37.7,32.9,-9999.0,668,320,59
1911,1.9,12.7,-8.1,20.9,1176,468,10.1,27.2,1044,818,5866,9,121,172,243,71,551,-37.7,32.9,-9999.0,596,168,57
