Month,Year,Max Temp,Min Temp,Ave Temp,Precipitation,Radiation,DDays < 0°C,DDays > 5°C,DDays < 18°C,DDays > 18°C,Frost Free Days,Snowfall,Evaporation,Moisture Deficit,Relative Humidity
Jan,1901,-1.6,-13.4,-7.5,61,-9999.0,243,0,790,0,0,52,0,0,52
Feb,1901,-1.0,-12.8,-6.9,67,-9999.0,209,0,694,0,0,63,0,0,52
Mar,1901,2.4,-11.3,-4.4,88,-9999.0,165,2,698,0,0,85,0,0,48
Apr,1901,8.4,-4.8,1.8,141,-9999.0,32,22,486,0,3,77,65,0,54
May,1901,15.3,0.8,8.1,80,-9999.0,1,108,308,0,17,6,106,27,54
Jun,1901,19.1,1.2,10.2,41,-9999.0,0,156,236,1,18,1,129,89,46
Jul,1901,25.2,6.0,15.6,31,-9999.0,0,330,85,12,30,0,161,130,45
Aug,1901,21.8,6.5,14.1,73,-9999.0,0,284,121,7,30,1,124,51,54
Sep,1901,17.3,-1.2,8.1,9,-9999.0,2,105,298,1,11,1,87,78,44
Oct,1901,11.8,-3.7,4.0,34,-9999.0,14,43,434,0,5,4,52,19,49
Nov,1901,6.3,-8.3,-1.0,26,-9999.0,81,9,570,0,1,11,0,0,48
Dec,1901,-0.5,-12.2,-6.3,93,-9999.0,213,0,751,0,0,79,0,0,53
Jan,1902,-0.2,-15.0,-7.6,34,-9999.0,245,0,793,0,0,29,0,0,43
Feb,1902,2.3,-9.8,-3.8,30,-9999.0,132,1,605,0,1,23,0,0,53
Mar,1902,1.4,-12.6,-5.6,110,-9999.0,197,0,735,0,0,108,0,0,46
Apr,1902,8.8,-5.6,1.6,91,-9999.0,35,19,492,0,2,52,67,0,50
May,1902,15.1,-1.7,6.7,49,-9999.0,2,75,351,0,9,7,108,58,47
Jun,1902,21.1,1.0,11.0,26,-9999.0,0,182,210,2,17,0,141,115,41
Jul,1902,20.7,3.3,12.0,36,-9999.0,0,218,186,2,27,1,137,101,48
Aug,1902,22.2,3.8,13.0,21,-9999.0,0,250,156,4,27,0,130,109,46
Sep,1902,17.6,-1.1,8.3,56,-9999.0,1,109,293,2,11,5,88,33,43
Oct,1902,11.6,-4.0,3.8,44,-9999.0,15,41,440,0,5,6,52,8,48
Nov,1902,2.4,-9.7,-3.6,72,-9999.0,142,2,649,0,1,50,0,0,53
Dec,1902,-1.6,-14.6,-8.1,86,-9999.0,261,0,806,0,0,80,0,0,53
Jan,1903,-1.4,-13.5,-7.5,61,-9999.0,243,1,790,0,0,52,0,0,51
Feb,1903,-6.9,-21.2,-14.0,117,-9999.0,395,0,893,0,0,117,0,0,42
Mar,1903,3.3,-12.0,-4.3,58,-9999.0,163,6,695,0,0,56,0,0,43
Apr,1903,7.8,-5.8,1.0,108,-9999.0,42,20,510,0,2,71,63,0,52
May,1903,11.3,-4.0,3.7,57,-9999.0,11,30,444,0,4,25,90,33,49
Jun,1903,16.2,2.0,9.1,49,-9999.0,1,126,268,0,21,2,111,62,56
Jul,1903,21.1,4.0,12.5,34,-9999.0,0,235,170,2,28,1,138,104,49
Aug,1903,22.2,3.3,12.7,32,-9999.0,0,241,165,4,26,1,131,99,45
Sep,1903,15.1,-0.7,7.2,61,-9999.0,2,84,325,1,12,8,78,16,50
Oct,1903,12.7,-3.9,4.4,88,-9999.0,13,47,424,0,5,9,55,0,46
Nov,1903,7.5,-10.8,-1.6,71,-9999.0,94,10,589,0,1,36,0,0,38
Dec,1903,1.3,-14.1,-6.4,24,-9999.0,213,1,752,0,0,20,0,0,47
Jan,1904,-2.1,-16.7,-9.4,40,-9999.0,295,0,850,0,0,37,0,0,42
Feb,1904,3.1,-9.5,-3.2,72,-9999.0,119,2,589,0,1,51,0,0,52
Mar,1904,5.4,-9.0,-1.8,157,-9999.0,99,5,615,0,1,128,0,0,48
Apr,1904,9.5,-5.6,2.0,53,-9999.0,30,22,481,0,2,28,70,17,48
May,1904,12.8,-1.7,5.6,118,-9999.0,4,55,386,0,9,28,96,0,53
Jun,1904,16.4,0.6,8.5,67,-9999.0,1,110,286,0,16,4,114,47,51
Jul,1904,20.3,2.7,11.5,32,-9999.0,0,201,202,1,25,1,135,103,47
Aug,1904,20.3,3.7,12.0,60,-9999.0,0,217,188,2,27,2,120,60,50
Sep,1904,16.6,0.5,8.6,54,-9999.0,1,117,284,2,16,4,83,29,50
