Year,Ave Temp,Warmest Month,Coldest Month,Difference,Mean Precip,May-Sep Precip,Heat-Moist I,Summer Heat-Moist I,DDays < 0°C,DDays > 5°C,DDays < 18°C,DDays > 18°C,Frost Free Days,Begin FFP,End FFP,Frost Free Period,Snowfall,Min Temp (30),Max Temp (30),Radiation,Evaporation,Moisture Deficit,Relative Humidity
1901,3.0,15.6,-7.5,23.1,743,233,17.5,67.0,960,1060,5470,21,117,154,222,67,380,-42.1,31.6,-9999.0,724,394,50
1902,2.3,13.0,-8.1,21.1,655,187,18.8,69.4,1031,896,5717,9,100,183,224,41,317,-42.1,31.6,-9999.0,723,424,47
1903,1.4,12.7,-14.0,26.8,759,232,15.0,54.8,1177,803,6024,7,99,206,227,21,466,-42.1,31.6,-9999.0,666,314,47
1904,2.4,12.0,-9.4,21.4,753,331,16.5,36.2,877,768,5683,5,100,183,240,57,339,-42.1,31.6,-9999.0,669,256,48
1905,1.6,12.7,-11.1,23.9,962,221,12.1,57.7,1128,835,5960,9,104,189,248,59,521,-42.1,31.6,-9999.0,665,362,50
1906,1.9,11.3,-7.4,18.8,988,245,12.1,46.2,954,699,5853,3,103,180,243,63,492,-42.1,31.6,-9999.0,637,295,51
1907,2.4,12.1,-7.1,19.2,785,297,15.8,40.7,817,703,5694,5,99,199,228,29,393,-42.1,31.6,-9999.0,631,275,52
1908,1.3,12.9,-9.0,21.9,811,294,13.9,43.9,1162,765,6078,7,94,202,241,38,310,-42.1,31.6,-9999.0,656,297,48
1909,1.3,13.4,-12.8,26.2,1093,290,10.3,46.1,1258,873,6066,11,113,190,243,53,757,-42.1,31.6,-9999.0,591,277,53
1910,2.8,13.7,-9.7,23.4,611,217,20.9,63.3,916,955,5525,11,114,183,250,67,353,-42.1,31.6,-9999.0,767,431,49
1911,1.3,11.5,-11.6,23.1,792,269,14.3,42.8,1190,783,6064,6,104,194,249,55,397,-42.1,31.6,-9999.0,661,283,51
1912,0.1,11.2,-11.5,22.7,776,288,13.0,38.9,1347,585,6513,2,86,182,210,28,427,-42.1,31.6,-9999.0,545,218,51
1913,0.7,12.9,-12.0,24.9,742,242,14.4,53.2,1400,785,6301,5,102,182,233,51,341,-42.1,31.6,-9999.0,659,325,48
1914,1.8,12.9,-11.1,24.0,766,296,15.4,43.6,1137,872,5878,8,114,177,236,60,506,-42.1,31.6,-9999.0,658,252,50
1915,1.3,11.9,-10.2,22.1,652,265,17.3,44.9,1162,699,6083,4,92,199,235,36,242,-42.1,31.6,-9999.0,659,319,49
