Month,Year,Max Temp,Min Temp,Ave Temp,Precipitation,Radiation,DDays < 0°C,DDays > 5°C,DDays < 18°C,DDays > 18°C,Frost Free Days,Snowfall,Evaporation,Moisture Deficit,Relative Humidity
Jan,1901,-2.8,-8.9,-5.9,206,-9999.0,201,0,740,0,1,157,0,0,74
Feb,1901,-2.0,-8.7,-5.3,156,-9999.0,170,0,649,0,1,137,0,0,72
Mar,1901,2.2,-6.0,-1.9,94,-9999.0,103,0,620,0,2,78,0,0,68
Apr,1901,4.2,-4.3,0.0,115,-9999.0,58,2,541,0,4,90,0,0,68
May,1901,11.2,0.3,5.7,76,-9999.0,4,58,381,0,15,17,75,0,64
Jun,1901,12.3,1.0,6.6,106,-9999.0,2,71,341,0,17,16,83,0,63
Jul,1901,15.5,4.6,10.0,39,-9999.0,0,153,248,0,29,2,92,53,65
Aug,1901,18.8,6.1,12.4,37,-9999.0,0,231,175,3,30,1,92,55,61
Sep,1901,12.2,2.2,7.2,77,-9999.0,2,85,324,1,21,9,48,0,67
Oct,1901,9.4,0.2,4.8,161,-9999.0,11,52,411,0,15,14,28,0,69
Nov,1901,3.8,-3.3,0.2,273,-9999.0,58,5,533,1,7,89,12,0,73
Dec,1901,0.0,-6.5,-3.3,174,-9999.0,130,0,656,0,3,100,0,0,73
Jan,1902,-1.0,-8.5,-4.8,142,-9999.0,172,0,706,0,2,95,0,0,69
Feb,1902,1.7,-5.2,-1.7,297,-9999.0,90,0,549,0,3,162,0,0,73
Mar,1902,-0.2,-7.4,-3.8,214,-9999.0,148,0,677,0,2,201,0,0,70
Apr,1902,4.8,-4.2,0.3,83,-9999.0,52,2,531,0,4,62,42,0,66
May,1902,9.7,-0.4,4.6,114,-9999.0,7,41,415,0,13,39,69,0,66
Jun,1902,14.3,1.0,7.7,54,-9999.0,1,91,311,0,17,5,93,39,58
Jul,1902,14.8,3.7,9.2,48,-9999.0,0,130,272,0,27,3,90,42,64
Aug,1902,16.9,4.6,10.8,27,-9999.0,0,176,226,1,28,1,85,58,61
Sep,1902,12.7,1.3,7.0,75,-9999.0,2,81,330,0,18,10,51,0,63
Oct,1902,8.0,-1.5,3.3,102,-9999.0,19,35,458,0,10,19,27,0,67
Nov,1902,-0.5,-7.6,-4.0,250,-9999.0,152,0,661,1,2,182,0,0,71
Dec,1902,-2.2,-9.0,-5.6,195,-9999.0,193,0,729,0,1,156,0,0,73
Jan,1903,-0.8,-7.3,-4.0,179,-9999.0,153,0,684,0,2,108,0,0,73
Feb,1903,-2.5,-11.3,-6.9,35,-9999.0,208,0,693,0,0,33,0,0,63
Mar,1903,-0.7,-10.8,-5.7,131,-9999.0,200,0,737,0,0,128,0,0,59
Apr,1903,3.9,-4.7,-0.4,60,-9999.0,63,0,551,0,3,49,0,0,67
May,1903,8.9,-1.8,3.6,75,-9999.0,12,29,448,0,8,34,67,0,63
Jun,1903,16.8,4.3,10.6,98,-9999.0,0,168,224,2,27,2,101,3,60
Jul,1903,14.4,4.7,9.5,63,-9999.0,0,139,263,0,29,3,85,22,68
Aug,1903,15.1,5.9,10.5,78,-9999.0,0,169,233,1,30,3,73,0,70
Sep,1903,10.0,2.7,6.3,268,-9999.0,3,67,351,0,22,43,40,0,75
Oct,1903,7.9,-1.5,3.2,139,-9999.0,19,34,460,0,10,27,27,0,67
Nov,1903,1.6,-6.4,-2.4,275,-9999.0,112,0,612,1,3,161,0,0,68
Dec,1903,0.5,-5.6,-2.5,123,-9999.0,113,0,633,0,4,61,0,0,70
Jan,1904,-1.3,-7.3,-4.3,190,-9999.0,161,0,693,0,2,120,0,0,75
Feb,1904,-4.7,-10.3,-7.5,216,-9999.0,223,0,710,0,1,206,0,0,76
Mar,1904,-1.1,-8.7,-4.9,232,-9999.0,178,0,712,0,1,225,0,0,68
Apr,1904,7.0,-3.5,1.8,85,-9999.0,33,12,487,0,5,46,49,0,63
May,1904,9.8,-1.5,4.2,56,-9999.0,9,35,429,0,9,22,71,16,62
Jun,1904,14.7,1.5,8.1,49,-9999.0,1,101,298,0,19,4,95,46,58
Jul,1904,17.5,4.5,11.0,40,-9999.0,0,186,216,1,29,1,104,64,59
Aug,1904,18.2,4.3,11.2,56,-9999.0,0,192,211,2,28,2,92,36,57
Sep,1904,14.7,2.8,8.8,58,-9999.0,1,122,278,2,22,4,56,0,62
Oct,1904,7.8,-0.6,3.6,56,-9999.0,17,38,448,0,13,9,26,0,71
Nov,1904,5.9,-3.1,1.4,157,-9999.0,41,11,497,1,7,36,14,0,67
Dec,1904,-0.2,-6.5,-3.3,216,-9999.0,131,0,658,0,3,125,0,0,75
Jan,1905,-2.0,-7.3,-4.6,116,-9999.0,168,0,702,0,2,76,0,0,77
Feb,1905,-1.3,-10.2,-5.8,67,-9999.0,180,0,661,0,1,60,0,0,63
Mar,1905,4.4,-3.9,0.2,123,-9999.0,61,0,552,0,5,67,29,0,69
Apr,1905,6.8,-4.6,1.1,67,-9999.0,41,7,508,0,3,44,49,0,59
May,1905,10.2,-1.8,4.2,78,-9999.0,9,36,428,0,8,30,74,0,59
Jun,1905,15.6,2.9,9.3,59,-9999.0,0,130,263,0,24,2,97,38,59
Jul,1905,18.5,5.6,12.1,41,-9999.0,0,219,185,2,30,1,107,66,60
Aug,1905,15.8,4.9,10.4,69,-9999.0,0,165,238,1,29,3,79,10,65
Sep,1905,11.6,3.5,7.5,225,-9999.0,2,92,315,1,24,25,44,0,73
Oct,1905,4.0,-4.9,-0.5,148,-9999.0,67,12,574,0,4,101,0,0,67
Nov,1905,3.4,-5.9,-1.2,142,-9999.0,85,0,577,1,3,66,0,0,64
Dec,1905,-0.4,-7.5,-3.9,101,-9999.0,147,0,677,0,2,65,0,0,74
Jan,1906,-1.5,-8.0,-4.7,264,-9999.0,172,0,706,0,2,177,0,0,72
Feb,1906,1.0,-6.9,-2.9,143,-9999.0,114,0,582,0,2,98,0,0,68
Mar,1906,2.9,-7.7,-2.4,70,-9999.0,113,0,634,0,1,61,0,0,59
Apr,1906,7.7,-2.7,2.5,23,-9999.0,26,17,465,0,7,10,50,27,63
May,1906,10.1,-0.4,4.9,91,-9999.0,6,44,407,0,13,28,71,0,65
Jun,1906,12.9,1.1,7.0,72,-9999.0,2,77,331,0,18,9,86,14,61
Jul,1906,20.2,6.8,13.5,20,-9999.0,0,265,139,4,30,0,115,95,59
Aug,1906,17.8,4.6,11.2,5,-9999.0,0,189,214,2,28,0,90,85,59
Sep,1906,10.9,3.5,7.2,212,-9999.0,2,85,324,1,24,26,42,0,75
Oct,1906,7.2,-0.6,3.3,246,-9999.0,19,35,457,0,13,44,24,0,73
Nov,1906,0.3,-7.2,-3.5,189,-9999.0,138,0,644,1,2,129,0,0,69
Dec,1906,-2.2,-7.7,-5.0,188,-9999.0,174,0,708,0,2,140,0,0,71
Jan,1907,-10.1,-17.2,-13.6,159,-9999.0,424,0,979,0,0,156,0,0,68
Feb,1907,-1.0,-8.1,-4.6,204,-9999.0,151,0,628,0,1,169,0,0,70
Mar,1907,-0.6,-8.6,-4.6,133,-9999.0,170,0,704,0,1,128,0,0,67
Apr,1907,5.1,-4.9,0.1,103,-9999.0,55,7,537,0,3,79,43,0,63
May,1907,12.0,-0.9,5.6,41,-9999.0,4,55,385,0,11,10,81,39,58
Jun,1907,14.4,2.1,8.3,60,-9999.0,1,105,293,0,21,4,92,32,60
Jul,1907,17.9,5.0,11.5,47,-9999.0,0,200,203,1,29,1,105,58,60
Aug,1907,13.6,4.3,9.0,114,-9999.0,0,123,281,0,28,8,70,0,70
Sep,1907,12.9,3.5,8.2,129,-9999.0,1,108,294,2,24,11,49,0,69
Oct,1907,8.6,-0.7,4.0,18,-9999.0,15,42,437,0,13,2,27,10,68
Nov,1907,4.0,-4.9,-0.5,199,-9999.0,71,7,554,0,4,78,0,0,66
Dec,1907,-0.4,-6.9,-3.7,152,-9999.0,140,0,669,0,2,95,0,0,76
Jan,1908,-0.9,-7.7,-4.3,177,-9999.0,160,0,692,0,2,111,0,0,71
Feb,1908,-1.3,-9.0,-5.2,180,-9999.0,166,0,645,0,1,157,0,0,68
Mar,1908,0.4,-7.7,-3.7,165,-9999.0,145,0,674,0,1,154,0,0,67
Apr,1908,5.1,-4.1,0.5,112,-9999.0,49,4,525,0,4,81,42,0,66
May,1908,8.0,-1.9,3.1,93,-9999.0,15,25,463,0,8,48,63,0,65
Jun,1908,13.2,1.6,7.4,50,-9999.0,1,85,320,0,19,5,86,36,62
Jul,1908,17.8,5.6,11.7,54,-9999.0,0,207,196,1,30,1,103,49,62
Aug,1908,16.6,5.3,11.0,57,-9999.0,0,183,220,1,29,2,82,26,64
Sep,1908,11.8,2.0,6.9,46,-9999.0,3,79,333,0,20,6,47,2,67
Oct,1908,5.5,-2.4,1.5,169,-9999.0,35,21,512,0,8,66,22,0,71
Nov,1908,3.6,-4.2,-0.3,307,-9999.0,67,2,549,1,5,116,0,0,70
Dec,1908,-1.9,-9.0,-5.5,211,-9999.0,188,0,724,0,1,166,0,0,73
Jan,1909,-7.6,-13.5,-10.6,242,-9999.0,331,0,885,0,0,230,0,0,74
