Year,Max Temp,Min Temp,Ave Temp,Precipitation,DDays < 0°C,DDays > 5°C,DDays < 18°C,DDays > 18°C,Frost Free Days,Snowfall,Evaporation,Moisture Deficit,Relative Humidity
1901,-1.6,-8.0,-4.8,536,501,0,2045,0,5,393,0,0,73
1902,0.2,-6.7,-3.3,613,392,0,1911,0,8,357,0,0,71
1903,-1.8,-9.2,-5.5,410,554,0,2106,0,4,297,0,0,69
1904,-1.8,-7.7,-4.8,529,496,0,2037,0,6,387,0,0,75
1905,-1.1,-8.0,-4.6,399,480,0,2021,0,6,262,0,0,71
1906,-0.3,-7.5,-3.9,508,432,0,1965,0,6,340,0,0,70
1907,-4.4,-11.0,-7.7,550,749,0,2315,0,3,465,0,0,71
1908,-0.9,-7.9,-4.4,509,466,0,2006,0,5,362,0,0,71
1909,-4.3,-10.4,-7.3,718,705,0,2277,0,3,638,0,0,74
1910,-3.6,-10.8,-7.2,457,682,0,2255,0,2,396,0,0,69
1911,-3.4,-9.5,-6.4,410,631,1,2189,0,5,299,0,0,74
1912,-1.6,-7.6,-4.6,456,488,0,2030,0,6,333,0,0,75
1913,-3.4,-10.6,-7.0,472,671,0,2243,0,3,397,0,0,69
1914,-1.2,-7.1,-4.1,499,448,0,1984,0,7,339,0,0,75
1915,-1.3,-8.3,-4.8,261,510,0,2052,0,5,177,0,0,71
1916,-5.0,-11.5,-8.3,602,796,0,2363,0,3,503,0,0,72
1917,-4.3,-10.9,-7.6,320,716,0,2293,0,2,295,0,0,72
1918,-2.1,-7.9,-5.0,808,512,0,2059,0,6,624,0,0,75
1919,-1.3,-8.2,-4.7,649,490,0,2031,0,6,470,0,0,71
1920,-0.2,-8.8,-4.5,392,477,0,2019,0,4,281,0,0,65
1921,-0.8,-6.9,-3.8,755,427,0,1959,0,7,492,0,0,75
1922,-4.2,-11.3,-7.7,432,720,0,2305,0,2,396,0,0,69
1923,-3.3,-10.4,-6.8,665,658,0,2225,0,3,572,0,0,70
1924,-0.5,-6.0,-3.2,909,399,0,1913,0,10,527,0,0,77
1925,-1.4,-7.6,-4.5,658,488,0,2025,0,7,447,0,0,73
1926,1.6,-4.6,-1.5,512,280,7,1750,0,15,196,8,0,75
1927,-2.0,-8.5,-5.2,550,535,0,2086,0,4,432,0,0,73
1928,-1.6,-8.7,-5.1,348,534,0,2081,0,5,241,0,0,70
1929,-3.2,-11.3,-7.3,264,687,0,2265,0,2,206,0,0,66
1930,-3.3,-9.8,-6.6,696,658,0,2212,0,5,491,0,0,72
1931,1.2,-4.7,-1.7,424,284,2,1764,0,14,184,0,0,76
1932,-2.3,-8.7,-5.5,629,555,0,2110,0,4,499,0,0,73
1933,-2.8,-9.1,-6.0,574,585,0,2143,0,4,441,0,0,73
1934,0.7,-6.4,-2.8,808,365,0,1874,0,9,485,0,0,71
1935,-1.3,-7.9,-4.6,889,493,0,2034,0,5,681,0,0,72
1936,-2.2,-9.0,-5.6,445,567,6,2099,0,8,284,0,0,71
1937,-4.2,-12.0,-8.1,639,766,0,2340,0,3,522,0,0,66
1938,-1.6,-8.2,-4.9,611,506,0,2051,0,5,450,0,0,72
1939,-1.2,-7.8,-4.5,620,474,0,2010,0,7,387,0,0,72
1940,1.0,-5.1,-2.0,737,310,6,1791,0,14,314,8,0,75
1941,0.9,-5.8,-2.5,510,330,0,1836,0,10,259,0,0,73
1942,-0.7,-7.8,-4.3,425,457,0,1996,0,5,286,0,0,71
1943,-2.0,-8.9,-5.4,579,559,0,2110,0,5,403,0,0,71
