Year,Ave Temp,Warmest Month,Coldest Month,Difference,Mean Precip,May-Sep Precip,Heat-Moist I,Summer Heat-Moist I,DDays < 0°C,DDays > 5°C,DDays < 18°C,DDays > 18°C,Frost Free Days,Begin FFP,End FFP,Frost Free Period,Snowfall,Min Temp (30),Max Temp (30),Radiation,Evaporation,Moisture Deficit,Relative Humidity
1901,2.6,12.4,-5.9,18.3,1513,334,8.3,37.1,738,656,5620,5,145,153,250,97,708,-34,28.5,-9999.0,430,108,68
1902,1.9,10.8,-5.6,16.4,1602,319,7.4,33.7,836,557,5866,3,127,163,243,80,779,-34,28.5,-9999.0,458,139,66
1903,1.8,10.6,-6.9,17.5,1525,583,7.7,18.1,885,607,5890,4,138,183,253,70,725,-34,28.5,-9999.0,393,25,67
1904,2.5,11.2,-7.5,18.8,1409,258,8.9,43.6,794,698,5638,6,139,180,255,75,880,-34,28.5,-9999.0,506,162,66
1905,2.4,12.1,-5.8,17.8,1237,473,10.0,25.5,763,660,5681,5,134,187,264,77,458,-34,28.5,-9999.0,480,114,66
1906,2.6,13.5,-5.0,18.4,1523,400,8.3,33.7,764,713,5611,8,141,167,259,92,643,-34,28.5,-9999.0,478,221,67
1907,1.6,11.5,-13.6,25.1,1358,391,8.6,29.3,1033,647,5964,3,138,171,260,89,887,-34,28.5,-9999.0,468,139,66
1908,1.9,11.7,-5.5,17.2,1622,300,7.4,39.0,830,606,5851,4,130,182,248,67,751,-34,28.5,-9999.0,448,113,67
1909,0.7,9.5,-10.6,20.1,1483,344,7.2,27.7,1142,524,6289,3,126,186,263,77,981,-34,28.5,-9999.0,386,86,68
1910,2.2,11.0,-8.3,19.2,1610,330,7.5,33.3,791,590,5759,3,141,173,261,87,644,-34,28.5,-9999.0,452,114,68
1911,1.0,11.1,-9.9,21.0,1278,432,8.6,25.6,1091,565,6196,1,127,173,257,84,695,-34,28.5,-9999.0,394,125,68
1912,1.9,10.1,-6.5,16.6,1276,386,9.3,26.1,820,557,5871,1,138,163,247,84,596,-34,28.5,-9999.0,383,107,69
1913,0.9,10.4,-9.7,20.1,1447,525,7.6,19.8,1070,527,6210,2,133,172,256,84,764,-34,28.5,-9999.0,409,29,69
1914,2.4,10.8,-6.6,17.4,1613,402,7.7,26.8,767,634,5661,4,151,168,265,97,523,-34,28.5,-9999.0,451,195,69
1915,3.1,12.5,-5.0,17.5,1194,193,11.0,64.7,680,747,5428,7,162,161,259,98,266,-34,28.5,-9999.0,457,191,70
1916,0.5,10.7,-14.7,25.5,1283,240,8.2,44.6,1260,547,6382,3,129,178,258,80,982,-34,28.5,-9999.0,419,115,69
1917,1.8,12.0,-7.8,19.9,1318,356,9.0,33.8,966,678,5885,6,147,167,267,100,681,-34,28.5,-9999.0,418,124,69
1918,2.5,11.7,-6.6,18.3,1683,286,7.4,40.9,816,758,5627,7,147,177,266,89,935,-34,28.5,-9999.0,466,197,68
1919,1.6,11.5,-7.1,18.5,1386,221,8.4,52.0,933,621,5960,5,125,177,267,90,855,-34,28.5,-9999.0,454,182,66
1920,2.0,12.1,-4.4,16.5,1746,590,6.9,20.5,800,625,5836,5,132,187,259,73,763,-34,28.5,-9999.0,395,103,69
1921,1.8,10.3,-7.0,17.3,1865,502,6.3,20.6,881,560,5916,2,142,168,255,87,959,-34,28.5,-9999.0,379,117,70
1922,1.4,11.5,-9.6,21.0,1262,349,9.0,32.8,1130,743,6030,6,139,179,269,90,769,-34,28.5,-9999.0,425,222,67
1923,2.4,12.0,-7.0,19.0,1358,334,9.2,35.7,835,744,5660,7,147,166,257,92,763,-34,28.5,-9999.0,459,124,68
1924,2.4,11.3,-7.1,18.4,1543,367,8.1,30.7,847,713,5676,6,153,156,259,104,690,-34,28.5,-9999.0,419,201,69
1925,3.3,12.1,-3.7,15.8,1351,266,9.9,45.3,584,731,5341,6,156,156,260,104,753,-34,28.5,-9999.0,475,192,69
1926,3.4,12.0,-4.9,16.8,1210,281,11.1,42.7,567,710,5322,4,159,169,241,72,364,-34,28.5,-9999.0,502,147,69
1927,1.7,12.0,-8.5,20.5,1563,428,7.5,28.1,1013,717,5939,6,148,175,270,95,789,-34,28.5,-9999.0,384,119,72
1928,3.1,12.4,-4.1,16.5,1172,187,11.2,66.3,670,771,5422,7,158,150,260,110,636,-34,28.5,-9999.0,463,233,69
1929,1.8,11.6,-9.4,21.0,978,235,12.1,49.4,977,688,5886,4,146,169,262,93,527,-34,28.5,-9999.0,409,148,68
1930,2.2,12.0,-12.6,24.6,1352,288,9.0,41.7,877,701,5762,5,149,180,268,88,744,-34,28.5,-9999.0,443,143,69
1931,2.9,11.8,-4.1,15.9,1523,391,8.5,30.2,675,699,5493,6,158,164,270,106,481,-34,28.5,-9999.0,451,198,70
1932,2.2,11.4,-6.8,18.2,1632,334,7.5,33.9,849,652,5759,5,152,170,264,94,938,-34,28.5,-9999.0,441,88,71
1933,1.9,12.4,-8.0,20.4,1824,471,6.5,26.3,848,631,5841,4,142,185,264,79,819,-34,28.5,-9999.0,396,142,70
1934,3.8,11.8,-4.4,16.2,1670,393,8.3,30.1,503,740,5158,5,172,157,263,106,695,-34,28.5,-9999.0,507,123,69
1935,2.1,10.4,-7.3,17.7,1546,290,7.8,35.9,830,618,5810,4,139,181,267,87,1068,-34,28.5,-9999.0,393,124,69
1936,2.3,11.7,-11.8,23.6,1474,488,8.4,24.0,909,759,5686,3,159,150,259,109,657,-34,28.5,-9999.0,458,23,68
1937,1.8,11.6,-12.4,24.1,1666,388,7.1,30.0,1034,712,5903,4,155,165,273,109,811,-34,28.5,-9999.0,392,60,69
1938,2.7,12.3,-6.7,19.0,1485,259,8.5,47.4,823,801,5577,8,153,175,280,105,827,-34,28.5,-9999.0,469,182,68
1939,3.3,12.3,-7.0,19.3,1765,379,7.5,32.4,588,721,5343,6,169,163,268,106,660,-34,28.5,-9999.0,456,95,71
1940,3.8,12.0,-3.4,15.4,1500,319,9.2,37.5,625,903,5178,11,174,156,284,129,559,-34,28.5,-9999.0,478,148,70
1941,3.5,13.0,-4.1,17.0,1690,558,8.0,23.2,541,720,5297,6,166,165,263,98,473,-34,28.5,-9999.0,459,78,71
1942,2.8,13.1,-4.5,17.5,1307,325,9.8,40.3,757,798,5519,10,157,161,266,105,639,-34,28.5,-9999.0,441,82,70
1943,2.1,10.8,-10.0,20.8,1288,249,9.4,43.4,874,669,5787,5,149,178,269,90,822,-34,28.5,-9999.0,426,108,69
