Year,lat,long,elev,MAT ,MWMT ,MCMT ,TD ,MAP ,MSP ,AHM ,SHM ,DD<0 ,DD>5 ,DD<18 ,DD>18 ,NFFD ,bFFP ,eFFP ,FFP ,PAS ,EMT ,EXT ,MAR ,Eref ,CMD ,RH ,Tmax_wt ,Tmax_sp ,Tmax_sm ,Tmax_at ,Tmin_wt ,Tmin_sp ,Tmin_sm ,Tmin_at ,Tave_wt ,Tave_sp ,Tave_sm ,Tave_at ,PPT_wt ,PPT_sp ,PPT_sm ,PPT_at ,Rad_wt ,Rad_sp ,Rad_sm ,Rad_at ,DD<0_wt ,DD<0_sp ,DD<0_sm ,DD<0_at ,DD>5_wt ,DD>5_sp ,DD>5_sm ,DD>5_at ,DD<18_wt ,DD<18_sp ,DD<18_sm ,DD<18_at ,DD>18_wt ,DD>18_sp ,DD>18_sm ,DD>18_at ,NFFD_wt ,NFFD_sp ,NFFD_sm ,NFFD_at ,PAS_wt ,PAS_sp ,PAS_sm ,PAS_at ,Eref_wt ,Eref_sp ,Eref_sm ,Eref_at ,CMD_wt ,CMD_sp ,CMD_sm ,CMD_at ,RH_wt ,RH_sp ,RH_sm ,RH_at ,Tmax(01) ,Tmax(02) ,Tmax(03) ,Tmax(04) ,Tmax(05) ,Tmax(06) ,Tmax(07) ,Tmax(08) ,Tmax(09) ,Tmax(10) ,Tmax(11) ,Tmax(12) ,Tmin(01) ,Tmin(02) ,Tmin(03) ,Tmin(04) ,Tmin(05) ,Tmin(06) ,Tmin(07) ,Tmin(08) ,Tmin(09) ,Tmin(10) ,Tmin(11) ,Tmin(12) ,Tave(01) ,Tave(02) ,Tave(03) ,Tave(04) ,Tave(05) ,Tave(06) ,Tave(07) ,Tave(08) ,Tave(09) ,Tave(10) ,Tave(11) ,Tave(12) ,Prec(01) ,Prec(02) ,Prec(03) ,Prec(04) ,Prec(05) ,Prec(06) ,Prec(07) ,Prec(08) ,Prec(09) ,Prec(10) ,Prec(11) ,Prec(12) ,Rad(01) ,Rad(02) ,Rad(03) ,Rad(04) ,Rad(05) ,Rad(06) ,Rad(07) ,Rad(08) ,Rad(09) ,Rad(10) ,Rad(11) ,Rad(12) ,DD<0(01) ,DD<0(02) ,DD<0(03) ,DD<0(04) ,DD<0(05) ,DD<0(06) ,DD<0(07) ,DD<0(08) ,DD<0(09) ,DD<0(10) ,DD<0(11) ,DD<0(12) ,DD>5(01) ,DD>5(02) ,DD>5(03) ,DD>5(04) ,DD>5(05) ,DD>5(06) ,DD>5(07) ,DD>5(08) ,DD>5(09) ,DD>5(10) ,DD>5(11) ,DD>5(12) ,DD<18(01) ,DD<18(02) ,DD<18(03) ,DD<18(04) ,DD<18(05) ,DD<18(06) ,DD<18(07) ,DD<18(08) ,DD<18(09) ,DD<18(10) ,DD<18(11) ,DD<18(12) ,DD>18(01) ,DD>18(02) ,DD>18(03) ,DD>18(04) ,DD>18(05) ,DD>18(06) ,DD>18(07) ,DD>18(08) ,DD>18(09) ,DD>18(10) ,DD>18(11) ,DD>18(12) ,NFFD(01) ,NFFD(02) ,NFFD(03) ,NFFD(04) ,NFFD(05) ,NFFD(06) ,NFFD(07) ,NFFD(08) ,NFFD(09) ,NFFD(10) ,NFFD(11) ,NFFD(12) ,PAS(01) ,PAS(02) ,PAS(03) ,PAS(04) ,PAS(05) ,PAS(06) ,PAS(07) ,PAS(08) ,PAS(09) ,PAS(10) ,PAS(11) ,PAS(12) ,Eref(01) ,Eref(02) ,Eref(03) ,Eref(04) ,Eref(05) ,Eref(06) ,Eref(07) ,Eref(08) ,Eref(09) ,Eref(10) ,Eref(11) ,Eref(12) ,CMD(01) ,CMD(02) ,CMD(03) ,CMD(04) ,CMD(05) ,CMD(06) ,CMD(07) ,CMD(08) ,CMD(09) ,CMD(10) ,CMD(11) ,CMD(12) ,RH(01) ,RH(02) ,RH(03) ,RH(04) ,RH(05) ,RH(06) ,RH(07) ,RH(08) ,RH(09) ,RH(10) ,RH(11) ,RH(12) 
1901,49.7469,-125.2992,1336,3.6,13.2,-3.9,17.1,3054,576,4.4,23,563,763,5252,6,163,161,261,101,1221,-30,29.9,-9999,490,46,68,0.4,6.3,16.2,9.6,-6.4,-3.2,4.2,1.4,-3,1.5,10.2,5.5,1138,673,291,950,-9999,-9999,-9999,-9999,366,147,2,48,0,59,496,209,1879,1517,717,1138,0,0,4,2,9,21,78,56,636,407,21,157,0,120,277,93,0,0,46,0,72,66,62,72,-0.9,0.5,2.4,4.8,11.5,13,15.6,20,13.6,10.7,4.6,1.7,-6.8,-7.3,-5,-4.5,-0.1,1.4,4.7,6.4,3.4,2.6,-1.9,-5,-3.9,-3.4,-1.3,0.1,5.7,7.2,10.2,13.2,8.5,6.7,1.4,-1.6,397,331,214,260,199,147,91,54,85,257,609,411,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,149,123,89,55,4,1,0,0,1,5,42,93,0,0,0,2,57,82,157,256,115,84,10,0,679,595,600,536,382,323,244,150,286,353,498,605,0,0,0,0,0,0,0,4,2,0,0,0,3,2,4,4,13,19,29,30,23,22,10,4,233,241,163,199,45,16,4,1,7,7,142,161,0,0,0,42,78,86,93,98,52,29,12,0,0,0,0,0,0,0,2,44,0,0,0,0,75,68,71,65,61,62,65,58,67,73,76,74
1902,49.7469,-125.2992,1336,3.5,11.7,-3.4,15,3291,521,4.1,22.4,568,725,5294,4,158,155,256,101,1181,-30,29.9,-9999,485,17,67,1.9,6.2,16.3,8.9,-5,-2.9,3.9,-0.2,-1.6,1.6,10.1,4.3,1308,739,293,789,-9999,-9999,-9999,-9999,282,152,1,95,0,67,476,182,1759,1508,728,1245,0,0,2,2,13,23,79,45,516,495,14,248,0,120,280,84,0,0,17,0,73,67,61,69,0.8,3.1,1.6,5.4,11.6,14.6,16.4,17.8,14.1,10.3,2.2,-0.2,-6.5,-3.5,-5.8,-3.4,0.4,1.9,4.4,5.5,2.9,1.1,-4.7,-6.5,-2.9,-0.2,-2.1,1,6,8.3,10.4,11.7,8.5,5.7,-1.2,-3.4,277,620,401,193,144,123,95,75,84,212,493,574,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,125,64,106,42,3,1,0,0,1,7,86,132,0,0,0,5,62,106,164,206,115,67,0,0,648,505,625,511,372,292,237,198,286,382,577,659,0,0,0,0,0,0,0,2,2,0,0,0,3,6,3,5,15,21,29,29,22,18,5,3,135,220,339,128,29,8,3,2,7,11,231,336,0,0,0,43,77,94,98,89,54,30,0,0,0,0,0,0,0,0,3,14,0,0,0,0,70,74,70,68,63,59,62,61,64,69,73,73
1903,49.7469,-125.2992,1336,3,12,-4.5,16.5,2776,747,4.7,16.1,664,735,5449,5,154,174,260,85,1240,-30,29.9,-9999,422,40,68,-0.1,5.3,16.5,8,-6.8,-4.6,5.3,-0.3,-3.5,0.3,10.9,3.9,1065,542,320,1136,-9999,-9999,-9999,-9999,399,201,1,99,0,39,540,157,1923,1627,659,1288,0,0,4,1,8,15,85,44,608,375,9,342,0,70,275,77,0,0,40,0,72,63,64,71,0.4,-0.4,1.8,4.4,9.8,16,16.2,17.2,12.6,9.4,2.1,1.2,-5.4,-8.6,-8.4,-4.5,-1,3.7,5.2,6.8,3.5,0.2,-4.7,-4.8,-2.5,-4.5,-3.3,-0.1,4.4,9.9,10.7,12,8,4.8,-1.3,-1.8,360,131,163,205,175,181,55,85,252,252,632,286,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,117,149,135,58,8,0,0,0,2,11,86,97,0,0,0,1,38,148,174,217,104,53,0,0,638,626,662,542,422,245,227,188,300,410,578,611,0,0,0,0,0,1,0,2,1,0,0,0,4,1,1,4,11,26,30,30,24,15,5,4,164,108,150,162,64,5,2,2,24,21,297,118,0,0,0,0,70,98,95,82,48,29,0,0,0,0,0,0,0,0,40,0,0,0,0,0,76,66,60,67,64,61,65,67,70,69,73,74
1904,49.7469,-125.2992,1336,3.6,12.4,-4.6,17,3355,447,4.1,27.8,612,824,5244,7,162,171,267,96,1542,-30,29.9,-9999,520,91,67,-0.4,5.9,17.3,10.3,-6.2,-3.7,3.9,1.5,-3.3,1.1,10.6,5.9,1134,699,207,1129,-9999,-9999,-9999,-9999,386,181,1,44,0,60,529,235,1904,1555,680,1107,0,0,4,3,9,19,77,56,710,492,9,171,0,124,297,99,0,0,91,0,76,65,58,70,-0.6,-1.7,-0.1,7,11,14.5,18.1,19.3,15.5,9.8,5.4,1.2,-6.2,-7.5,-7.3,-2.9,-0.8,1.4,4.8,5.5,4.2,2,-1.8,-4.7,-3.4,-4.6,-3.7,2,5.1,8,11.5,12.4,9.9,5.9,1.8,-1.8,390,458,392,160,148,74,78,54,93,288,748,472,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,137,152,146,30,5,1,0,0,1,7,37,96,0,0,0,12,48,98,200,231,153,70,12,0,664,629,675,480,400,302,203,175,245,377,485,609,0,0,0,0,0,0,1,3,3,0,0,0,3,2,2,6,11,19,29,29,25,21,10,5,211,381,368,82,42,6,2,1,5,13,153,192,0,0,0,48,76,94,107,96,58,28,13,0,0,0,0,0,0,20,29,42,0,0,0,0,76,76,70,65,61,58,59,57,64,73,74,76
1905,49.7469,-125.2992,1336,3.9,12.5,-2.8,15.3,2718,572,5.1,21.9,493,796,5142,6,157,177,269,92,1007,-30,29.9,-9999,541,71,66,1.3,7.8,17.5,8.4,-5.9,-2.4,4.9,-0.4,-2.3,2.7,11.2,4,1127,656,237,816,-9999,-9999,-9999,-9999,320,88,1,81,0,61,574,161,1821,1410,627,1279,0,0,4,2,10,24,83,40,549,282,7,195,0,157,296,88,0,0,71,0,71,65,60,69,0.2,2.6,4.5,7.4,11.3,16,19.3,17.2,13.5,7.2,4.4,1.2,-5.8,-7.3,-2.9,-3.3,-0.9,2.8,5.7,6.1,4.6,-2.3,-3.5,-4.9,-2.8,-2.3,0.8,2,5.2,9.4,12.5,11.7,9,2.4,0.5,-1.9,342,313,420,104,132,84,56,96,204,203,409,355,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,124,101,53,30,5,0,0,0,1,26,55,98,0,0,0,12,49,134,234,206,130,27,3,0,647,565,535,479,396,259,170,198,269,484,526,613,0,0,0,0,0,0,2,2,2,0,0,0,4,2,7,5,11,23,30,30,26,8,6,4,165,192,193,53,36,3,1,3,14,55,126,149,0,0,29,50,78,100,113,84,49,26,13,0,0,0,0,0,0,15,56,0,0,0,0,0,75,62,72,62,59,58,58,65,71,66,71,76
1906,49.7469,-125.2992,1336,4,13.5,-3.3,16.8,3069,658,4.6,20.5,528,872,5087,10,166,158,269,111,975,-30,29.9,-9999,513,165,67,1.2,7.9,18.2,8.2,-5.4,-2.4,4.5,0.6,-2.1,2.8,11.4,4.4,1106,467,260,1172,-9999,-9999,-9999,-9999,312,105,1,88,0,85,604,183,1806,1404,609,1238,0,0,8,2,11,27,79,50,532,227,20,266,0,129,309,75,0,0,165,0,73,64,58,73,-0.3,2.7,4.1,7.4,12.3,13.7,20.8,20.1,12.9,9.3,2.4,-0.1,-6.2,-5.1,-5.6,-1.9,0.3,1.6,6.2,5.8,4.6,1.5,-4.2,-5.7,-3.3,-1.2,-0.7,2.7,6.3,7.6,13.5,12.9,8.7,5.4,-0.9,-2.9,512,239,229,116,121,204,28,28,277,382,513,419,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,134,79,78,24,3,1,0,0,1,8,79,121,0,0,0,17,68,90,265,248,122,62,0,0,660,533,583,458,363,312,139,158,279,392,567,644,0,0,0,0,0,0,4,4,2,0,0,0,3,3,3,9,15,19,30,30,26,19,5,3,270,113,159,47,21,19,0,1,21,23,223,223,0,0,0,48,81,90,120,99,47,27,0,0,0,0,0,0,0,0,93,72,0,0,0,0,75,70,63,67,61,61,56,56,73,73,74,75
1907,49.7469,-125.2992,1336,3.6,12.8,-8,20.8,2837,610,4.8,20.9,672,897,5242,8,160,158,269,110,1346,-30,29.9,-9999,536,28,64,-0.5,7.2,17.5,10.4,-8,-3.6,4.5,0.7,-4.2,1.8,11,5.6,1019,701,330,734,-9999,-9999,-9999,-9999,468,160,1,63,0,91,560,245,2002,1490,642,1135,0,0,4,4,7,21,81,50,630,443,10,167,0,134,299,103,0,0,28,0,69,61,59,67,-3.6,2.3,1.9,6.1,13.7,15.7,19.9,17,16.4,10.3,4.4,1.1,-12.4,-5.9,-6.7,-4.5,0.4,2.3,5.7,5.6,4.6,1.1,-3.5,-5.1,-8,-1.8,-2.4,0.8,7.1,9,12.8,11.3,10.5,5.7,0.4,-2,226,374,246,308,147,104,87,139,133,92,509,473,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,256,91,113,45,2,1,0,0,1,7,55,101,0,0,0,6,84,124,242,194,171,67,7,1,807,551,634,517,339,270,162,210,226,382,527,617,0,0,0,0,0,0,3,2,4,0,0,0,0,3,2,4,15,22,30,29,26,18,6,4,199,207,213,213,18,5,1,5,6,5,157,206,0,0,0,47,88,99,116,84,60,30,13,0,0,0,0,0,0,0,28,0,0,0,0,0,63,68,66,61,57,58,57,64,63,69,71,77
1908,49.7469,-125.2992,1336,3.3,12.1,-3.8,15.9,3268,610,4.1,19.8,603,742,5373,6,147,178,260,83,1392,-30,29.9,-9999,502,27,66,1.1,6,17.3,8.5,-6.2,-4,4.3,0.2,-2.5,1,10.8,4.4,1430,720,285,962,-9999,-9999,-9999,-9999,335,159,1,65,0,41,542,159,1842,1566,664,1245,0,0,4,2,9,16,79,45,739,471,11,214,0,118,295,89,0,0,27,0,70,64,59,71,0.8,1.5,2.1,5.9,10,14.9,18.5,18.4,13.3,8.1,4.3,-0.4,-7,-6.4,-6.3,-4.3,-1.4,1.6,5.6,5.6,3.5,-0.6,-2.4,-7.2,-3.1,-2.4,-2.1,0.8,4.3,8.3,12.1,12,8.4,3.7,0.9,-3.8,595,362,298,198,223,114,98,74,101,214,647,343,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,131,103,106,45,8,1,0,0,1,16,48,144,0,0,0,4,37,105,219,218,113,40,6,0,657,568,625,516,425,293,184,187,289,444,512,674,0,0,0,0,0,0,2,2,2,0,0,0,3,2,2,4,10,20,30,29,24,13,9,2,307,227,252,136,84,8,2,2,8,31,174,219,0,0,0,46,72,96,108,92,51,27,12,0,0,0,0,0,0,0,10,17,0,0,0,0,68,68,67,63,62,58,60,60,68,70,75,75
1909,49.7469,-125.2992,1336,2.1,10.5,-7.2,17.7,2639,607,4.6,17.2,856,635,5804,3,140,182,270,88,1360,-30,29.9,-9999,410,0,68,-1.7,5.5,15.3,7.5,-8.4,-4.7,3.8,0.1,-5,0.4,9.6,3.8,1130,392,361,908,-9999,-9999,-9999,-9999,518,180,1,115,0,30,427,178,2068,1620,777,1292,0,0,1,2,5,12,77,47,860,271,19,336,0,70,266,74,0,0,0,0,72,63,63,74,-3.7,-0.8,2,5.2,9.3,14.4,16,15.6,13.5,7.7,1.4,-1.8,-10.7,-7.2,-6,-6,-2.1,1.3,4.8,5.3,4.7,0.9,-5.3,-8.9,-7.2,-4,-2,-0.4,3.6,7.9,10.4,10.5,9.1,4.3,-2,-5.4,375,412,168,81,143,105,122,135,102,244,562,191,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,237,138,104,64,11,1,0,0,1,13,102,185,0,0,0,0,30,96,165,167,132,46,0,0,782,612,622,552,446,305,237,236,267,426,598,721,0,0,0,0,0,0,0,1,2,0,0,0,1,2,3,2,8,19,29,29,26,17,4,1,316,325,140,66,65,9,4,6,7,27,303,149,0,0,0,0,70,94,95,78,49,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,73,68,59,61,58,64,67,71,76,73,72
1910,49.7469,-125.2992,1336,3,11.2,-5.4,16.6,2817,497,4.6,22.5,651,692,5453,5,149,172,268,95,1173,-30,29.9,-9999,484,87,68,-1.8,7.1,15.7,8.4,-8.5,-3.3,3.5,0.2,-5.1,1.9,9.6,4.3,912,438,234,1073,-9999,-9999,-9999,-9999,524,126,2,97,0,60,438,194,2073,1481,777,1247,0,0,2,3,4,19,75,47,682,242,22,304,0,129,274,81,0,0,87,0,71,63,61,72,-1.8,-1.7,3.1,5.7,12.5,12.7,17.6,16.7,14.7,8.5,2,1.5,-7.4,-9.1,-4.2,-4.5,-1.1,0.9,4.8,4.6,4.4,0.7,-4.4,-4.1,-4.6,-5.4,-0.5,0.6,5.7,6.8,11.2,10.7,9.5,4.6,-1.2,-1.3,451,270,186,126,126,133,41,61,136,373,564,351,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,168,171,74,48,4,2,0,0,1,11,85,87,0,0,0,3,57,74,190,173,144,50,0,0,702,651,577,523,382,335,212,229,255,417,576,596,0,0,0,0,0,0,1,1,3,0,0,0,2,1,5,4,10,17,29,28,25,17,5,5,295,238,123,90,29,18,1,2,8,35,261,126,0,0,0,45,84,86,104,85,54,26,0,0,0,0,0,0,0,0,63,24,0,0,0,0,76,69,72,63,56,61,60,62,67,73,75,69
