Year,lat,long,evel,MAT ,MWMT ,MCMT ,TD ,MAP ,MSP ,AHM ,SHM ,DD<0 ,DD>5 ,DD<18 ,DD>18 ,NFFD ,bFFP ,eFFP ,FFP ,PAS ,EMT ,EXT ,MAR ,Eref ,CMD ,RH ,Tmax_wt ,Tmax_sp ,Tmax_sm ,Tmax_at ,Tmin_wt ,Tmin_sp ,Tmin_sm ,Tmin_at ,Tave_wt ,Tave_sp ,Tave_sm ,Tave_at ,PPT_wt ,PPT_sp ,PPT_sm ,PPT_at ,Rad_wt ,Rad_sp ,Rad_sm ,Rad_at ,DD<0_wt ,DD<0_sp ,DD<0_sm ,DD<0_at ,DD>5_wt ,DD>5_sp ,DD>5_sm ,DD>5_at ,DD<18_wt ,DD<18_sp ,DD<18_sm ,DD<18_at ,DD>18_wt ,DD>18_sp ,DD>18_sm ,DD>18_at ,NFFD_wt ,NFFD_sp ,NFFD_sm ,NFFD_at ,PAS_wt ,PAS_sp ,PAS_sm ,PAS_at ,Eref_wt ,Eref_sp ,Eref_sm ,Eref_at ,CMD_wt ,CMD_sp ,CMD_sm ,CMD_at ,RH_wt ,RH_sp ,RH_sm ,RH_at ,Tmax(01) ,Tmax(02) ,Tmax(03) ,Tmax(04) ,Tmax(05) ,Tmax(06) ,Tmax(07) ,Tmax(08) ,Tmax(09) ,Tmax(10) ,Tmax(11) ,Tmax(12) ,Tmin(01) ,Tmin(02) ,Tmin(03) ,Tmin(04) ,Tmin(05) ,Tmin(06) ,Tmin(07) ,Tmin(08) ,Tmin(09) ,Tmin(10) ,Tmin(11) ,Tmin(12) ,Tave(01) ,Tave(02) ,Tave(03) ,Tave(04) ,Tave(05) ,Tave(06) ,Tave(07) ,Tave(08) ,Tave(09) ,Tave(10) ,Tave(11) ,Tave(12) ,Prec(01) ,Prec(02) ,Prec(03) ,Prec(04) ,Prec(05) ,Prec(06) ,Prec(07) ,Prec(08) ,Prec(09) ,Prec(10) ,Prec(11) ,Prec(12) ,Rad(01) ,Rad(02) ,Rad(03) ,Rad(04) ,Rad(05) ,Rad(06) ,Rad(07) ,Rad(08) ,Rad(09) ,Rad(10) ,Rad(11) ,Rad(12) ,DD<0(01) ,DD<0(02) ,DD<0(03) ,DD<0(04) ,DD<0(05) ,DD<0(06) ,DD<0(07) ,DD<0(08) ,DD<0(09) ,DD<0(10) ,DD<0(11) ,DD<0(12) ,DD>5(01) ,DD>5(02) ,DD>5(03) ,DD>5(04) ,DD>5(05) ,DD>5(06) ,DD>5(07) ,DD>5(08) ,DD>5(09) ,DD>5(10) ,DD>5(11) ,DD>5(12) ,DD<18(01) ,DD<18(02) ,DD<18(03) ,DD<18(04) ,DD<18(05) ,DD<18(06) ,DD<18(07) ,DD<18(08) ,DD<18(09) ,DD<18(10) ,DD<18(11) ,DD<18(12) ,DD>18(01) ,DD>18(02) ,DD>18(03) ,DD>18(04) ,DD>18(05) ,DD>18(06) ,DD>18(07) ,DD>18(08) ,DD>18(09) ,DD>18(10) ,DD>18(11) ,DD>18(12) ,NFFD(01) ,NFFD(02) ,NFFD(03) ,NFFD(04) ,NFFD(05) ,NFFD(06) ,NFFD(07) ,NFFD(08) ,NFFD(09) ,NFFD(10) ,NFFD(11) ,NFFD(12) ,PAS(01) ,PAS(02) ,PAS(03) ,PAS(04) ,PAS(05) ,PAS(06) ,PAS(07) ,PAS(08) ,PAS(09) ,PAS(10) ,PAS(11) ,PAS(12) ,Eref(01) ,Eref(02) ,Eref(03) ,Eref(04) ,Eref(05) ,Eref(06) ,Eref(07) ,Eref(08) ,Eref(09) ,Eref(10) ,Eref(11) ,Eref(12) ,CMD(01) ,CMD(02) ,CMD(03) ,CMD(04) ,CMD(05) ,CMD(06) ,CMD(07) ,CMD(08) ,CMD(09) ,CMD(10) ,CMD(11) ,CMD(12) ,RH(01) ,RH(02) ,RH(03) ,RH(04) ,RH(05) ,RH(06) ,RH(07) ,RH(08) ,RH(09) ,RH(10) ,RH(11) ,RH(12) 
1901,48.8568,-121.6668,1309,5.2,14.8,-2.6,17.4,2728,598,5.6,24.8,361,1010,4645,14,198,142,263,121,661,-27.4,31.7,-9999,565,156,68,2.1,8.3,17.9,11.5,-4.6,-1.2,5.4,2.5,-1.2,3.6,11.6,7,967,574,302,885,-9999,-9999,-9999,-9999,261,78,1,21,6,109,621,273,1725,1328,591,1000,0,0,12,3,15,35,84,64,386,197,20,58,0,160,300,105,0,0,156,0,74,67,61,70,0.6,2.9,5.5,6.9,12.6,13,18.6,21.9,13.7,13.4,7.5,2.8,-5.8,-5.1,-3.2,-2.4,2.1,2.8,5.6,7.7,3.5,2.9,1.1,-2.8,-2.6,-1.1,1.1,2.3,7.3,7.9,12.1,14.8,8.6,8.2,4.3,0,323,374,158,240,175,242,41,19,121,253,511,270,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,118,78,49,28,2,1,0,0,1,3,17,65,0,0,4,15,90,97,222,302,118,118,37,6,639,531,525,473,331,303,182,106,282,305,413,555,0,0,0,0,0,0,2,10,2,0,1,0,4,3,6,7,21,23,30,31,24,23,18,8,149,173,64,114,19,19,1,0,10,3,45,64,0,0,32,48,80,84,109,107,53,37,15,0,0,0,0,0,0,0,68,88,0,0,0,0,74,69,68,67,65,67,60,57,67,66,78,78
1902,48.8568,-121.6668,1309,4.7,12.9,-2.2,15.1,2971,612,4.9,21.2,412,894,4859,7,187,142,254,112,639,-27.4,31.7,-9999,538,25,69,3.2,7.1,17.7,9.8,-3.4,-1.2,5.1,0.6,-0.1,3,11.4,5.2,1031,758,276,723,-9999,-9999,-9999,-9999,210,98,1,64,12,90,592,204,1628,1386,610,1168,0,0,5,2,21,35,84,50,250,326,7,182,18,119,299,102,0,0,25,0,75,71,61,69,1.5,5.2,3.1,7.3,10.9,15.6,17.8,19.6,14.2,11.9,3.1,0.7,-5.4,-1.8,-3.9,-1.6,2,3.3,5.6,6.3,2.7,1.7,-2.6,-5,-1.9,1.7,-0.4,2.8,6.5,9.5,11.7,12.9,8.4,6.8,0.3,-2.2,238,524,322,203,234,87,107,82,101,92,530,452,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,104,41,73,23,3,0,0,0,1,5,58,105,0,8,0,19,71,136,208,248,114,87,3,0,620,453,573,455,358,257,195,158,288,348,532,622,0,0,0,0,0,0,1,4,2,0,0,0,4,9,5,9,21,25,30,30,22,20,8,4,94,92,209,79,38,3,2,2,8,2,171,205,0,18,0,48,71,97,105,97,56,34,11,0,0,0,0,0,0,10,0,15,0,0,0,0,72,74,73,69,70,61,62,59,63,66,78,78
1903,48.8568,-121.6668,1309,4.5,12.9,-3.3,16.2,2706,856,5.3,15.1,455,924,4921,10,186,166,266,100,909,-27.4,31.7,-9999,493,2,69,1.5,6.3,17.6,9.3,-5.7,-2.9,6.6,1.6,-2.1,1.7,12.1,5.4,843,616,369,1058,-9999,-9999,-9999,-9999,308,142,0,44,1,64,655,198,1800,1499,546,1143,0,0,8,1,12,25,89,57,362,360,6,148,0,117,287,90,0,0,2,0,72,67,65,74,2,1.7,2.5,5.9,10.6,17.8,17,17.9,11.7,11.3,4.8,3.1,-3.8,-8.2,-6.7,-2.1,0.2,5.9,6,7.9,4.4,1.8,-1.3,-3,-0.9,-3.3,-2.1,1.9,5.4,11.9,11.5,12.9,8,6.6,1.8,0,295,95,254,194,168,162,97,111,319,201,537,273,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,83,120,106,31,5,0,0,0,2,5,37,65,1,0,0,12,52,207,201,247,104,82,12,5,587,591,625,483,391,185,202,159,300,356,487,554,0,0,0,0,0,3,1,4,1,0,0,0,6,1,2,8,15,28,30,31,25,20,11,7,89,68,214,103,43,1,2,2,30,6,112,64,0,0,0,44,73,104,98,84,44,33,13,0,0,0,0,0,0,0,2,0,0,0,0,0,77,61,64,71,65,63,65,68,76,69,78,77
1904,48.8568,-121.6668,1309,5.1,13.3,-2.9,16.2,2879,493,5.3,26.9,396,1028,4676,12,198,165,267,103,1024,-27.4,31.7,-9999,547,108,69,1.6,7.3,18.2,11.7,-4.4,-2,5.7,2.8,-1.4,2.7,12,7.2,1107,673,303,679,-9999,-9999,-9999,-9999,267,114,1,19,5,86,648,287,1733,1415,553,984,0,0,8,4,16,30,86,66,516,350,9,36,9,128,304,106,0,0,108,0,76,67,61,71,1.7,0.1,2.3,8.6,11.1,15.2,19.5,19.9,15.6,11,8.4,3.1,-4.1,-5.9,-5.4,-0.8,0.2,3.5,7,6.6,4.3,2.4,1.6,-2.5,-1.2,-2.9,-1.6,3.9,5.6,9.4,13.2,13.3,10,6.7,5,0.3,329,506,339,207,127,201,47,55,63,218,399,388,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,89,113,94,16,4,0,0,0,1,5,13,61,0,0,0,30,56,134,257,258,156,85,46,6,597,581,608,423,384,259,145,148,242,352,390,546,0,0,0,0,0,0,3,5,3,0,1,0,6,3,3,12,15,25,31,30,25,22,19,8,108,344,268,51,30,7,1,1,3,6,26,83,0,0,0,52,75,95,111,99,59,31,16,9,0,0,0,0,0,0,64,44,0,0,0,0,77,75,70,68,64,62,61,59,64,71,77,77
1905,48.8568,-121.6668,1309,4.9,13.6,-1.7,15.3,2440,833,6.1,16.4,365,929,4780,11,185,170,273,103,447,-27.4,31.7,-9999,553,72,69,2.3,8.7,17.9,8.6,-4,-0.8,6.2,0.7,-0.9,3.9,12.1,4.7,817,595,318,897,-9999,-9999,-9999,-9999,238,53,0,60,6,92,657,178,1690,1298,546,1219,0,0,9,2,18,35,88,47,260,145,7,148,9,160,296,87,0,0,72,0,75,67,63,73,1.4,2.4,6.8,8.7,10.5,15,20.1,18.6,13,7.2,5.5,2.7,-3.8,-5.7,-1.1,-1.5,0,4.5,7.2,7,5.4,-1.1,-2.1,-3.9,-1.2,-1.7,2.8,3.6,5.3,9.8,13.6,12.8,9.2,3,1.7,-0.6,253,176,213,147,235,184,55,79,280,377,239,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,89,88,31,17,5,0,0,0,1,21,38,75,0,0,15,26,51,145,269,243,135,32,11,2,597,546,472,432,394,247,135,163,264,466,489,574,0,0,0,0,0,1,4,4,2,0,0,0,6,3,12,10,14,27,31,30,27,11,9,6,83,94,40,42,62,5,1,2,18,79,51,59,0,0,34,53,73,91,115,90,47,26,14,9,0,0,0,0,0,0,60,12,0,0,0,0,79,68,72,65,65,66,60,64,75,71,72,79
1906,48.8568,-121.6668,1309,5.5,15.8,-0.7,16.4,2989,823,5.2,19.2,316,1053,4552,20,203,150,272,122,518,-27.4,31.7,-9999,577,183,70,3.1,8.8,18.7,9.3,-3.3,-1.1,6.6,1.8,-0.1,3.9,12.6,5.5,749,581,247,1227,-9999,-9999,-9999,-9999,203,71,1,51,10,107,715,218,1628,1304,504,1135,0,0,18,2,20,37,86,57,201,155,13,179,17,162,307,91,0,0,183,0,76,66,63,74,2,4.4,5.6,10,10.8,13.3,22.5,20.2,13,10.7,4.3,2.6,-3.3,-2.6,-4.5,-0.4,1.6,3.6,9.1,7.1,5.2,2,-1.9,-2.7,-0.7,0.9,0.6,4.8,6.2,8.4,15.8,13.7,9.1,6.3,1.2,0,271,276,164,61,357,207,24,16,219,402,607,386,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,79,49,56,11,3,1,0,0,1,6,44,65,2,5,0,41,66,109,336,270,132,78,9,5,580,474,542,396,366,287,81,136,268,363,504,556,0,0,0,0,0,0,13,6,2,0,0,0,7,7,4,13,20,25,31,30,27,21,10,8,77,66,81,10,65,13,0,0,15,14,151,92,0,17,34,57,71,83,124,99,47,31,12,0,0,0,0,0,0,0,101,82,0,0,0,0,79,74,63,65,69,68,60,60,74,71,77,74
1907,48.8568,-121.6668,1309,4.4,13.2,-8.2,21.4,2783,644,5.2,20.5,541,966,4938,8,192,155,273,119,1037,-27.4,31.7,-9999,512,51,69,0.1,7.5,16.8,11.1,-6.1,-2,5.7,2.6,-3,2.7,11.2,6.9,1170,604,355,639,-9999,-9999,-9999,-9999,397,114,1,27,11,97,579,280,1887,1409,620,1015,0,0,5,2,14,29,86,64,547,300,13,63,0,130,281,101,0,0,51,0,75,66,65,72,-4.8,2.6,2.8,7,12.7,14.3,19.7,16.3,13.9,12.7,6.7,2.7,-11.6,-3.9,-4.9,-2.4,1.1,3.7,6.7,6.7,5,3,-0.1,-3.2,-8.2,-0.7,-1,2.3,6.9,9,13.2,11.5,9.5,7.8,3.3,-0.2,279,505,219,263,123,206,62,87,167,49,422,401,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,261,71,84,28,2,1,0,0,1,3,23,69,0,2,0,17,80,124,256,200,141,110,29,7,813,518,592,472,345,270,146,204,257,316,441,562,0,0,0,0,0,0,3,2,2,0,0,0,1,5,4,7,18,26,30,30,26,23,14,7,249,207,161,124,16,9,1,3,10,1,53,103,0,0,0,48,82,89,113,79,51,35,14,0,0,0,0,0,0,0,51,0,0,0,0,0,70,75,70,67,62,66,60,69,71,68,76,80
1908,48.8568,-121.6668,1309,4.7,14,-2.4,16.4,2842,668,5.2,21,409,944,4831,11,183,165,261,96,822,-27.4,31.7,-9999,518,17,68,2.5,7,18.2,10.4,-4.4,-2,6.1,1.6,-0.9,2.5,12.1,6,1029,791,378,725,-9999,-9999,-9999,-9999,240,98,0,30,4,64,664,217,1697,1429,541,1097,0,0,9,2,15,28,87,57,374,375,9,60,0,116,302,100,0,0,16,1,73,68,62,71,2.1,2.8,3.9,7.7,9.3,15.2,20.6,18.6,14,10.1,7.1,1.1,-4.8,-5.2,-4.5,-1.7,0.2,3.8,7.4,7.2,3.8,0.9,0.1,-5.9,-1.3,-1.2,-0.3,3,4.8,9.5,14,12.9,8.9,5.5,3.6,-2.4,205,422,368,186,237,172,101,104,53,341,331,320,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,92,80,70,22,6,0,0,0,1,8,21,109,0,0,0,21,43,137,280,247,125,63,28,0,601,534,568,450,411,256,126,159,274,389,433,629,0,0,0,0,0,0,5,4,2,0,0,0,5,3,4,9,15,26,31,30,24,18,15,3,70,201,231,68,77,6,1,2,4,19,37,153,0,0,0,50,66,94,117,90,54,31,15,0,0,0,0,0,0,0,16,0,1,0,0,0,73,69,68,67,69,63,60,64,67,69,76,77
1909,48.8568,-121.6668,1309,3.8,12.1,-6.6,18.7,3219,609,4.3,19.9,600,869,5170,8,174,169,272,103,1011,-27.4,31.7,-9999,535,6,69,-0.2,6.8,17.2,9.9,-6.5,-2.6,5.2,1.9,-3.4,2.1,11.2,5.9,1280,431,304,1267,-9999,-9999,-9999,-9999,409,106,0,47,0,54,570,244,1925,1462,630,1105,0,0,5,3,9,23,85,58,737,206,8,207,0,147,290,98,0,0,6,0,74,66,62,73,-3.6,1.7,4.7,6,9.8,15.8,17.3,18.3,15.3,10,4.4,-0.4,-9.5,-4.2,-4.4,-3.1,-0.3,3.7,5.9,5.9,5,1.9,-1.3,-7.5,-6.6,-1.2,0.1,1.5,4.8,9.8,11.6,12.1,10.1,5.9,1.5,-3.9,383,577,185,83,163,107,111,85,142,287,839,257,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,220,80,63,36,6,0,0,0,1,7,40,147,0,0,0,10,43,145,204,221,161,71,12,0,762,534,556,496,410,248,199,184,236,375,494,677,0,0,0,0,0,1,1,3,3,0,0,0,1,5,4,6,13,25,30,30,26,20,11,2,309,275,104,49,52,3,2,2,7,12,187,167,0,0,31,45,70,98,100,92,57,29,12,0,0,0,0,0,0,0,0,6,0,0,0,0,74,77,66,67,66,61,64,61,67,73,79,71
1910,48.8568,-121.6668,1309,4.9,13.2,-4,17.2,3010,490,5,26.9,411,963,4752,8,196,154,272,118,996,-27.4,31.7,-9999,567,115,69,-0.1,9.5,17.6,9.8,-6.9,-0.8,5.1,2.2,-3.5,4.3,11.4,6,1042,530,208,1064,-9999,-9999,-9999,-9999,402,57,1,42,0,126,591,238,1928,1258,609,1096,0,0,5,3,7,37,85,60,667,116,7,122,0,173,299,95,0,0,115,0,71,65,61,74,0.6,-0.4,6.6,8.8,13.2,15,20.2,17.5,14.4,10.3,4.7,3.4,-5.7,-7.6,-2.6,-1,1.2,3.4,6.1,5.9,4.8,2.5,-0.8,-2.3,-2.6,-4,2,3.9,7.2,9.2,13.2,11.7,9.6,6.4,2,0.5,355,430,208,138,185,118,22,69,97,448,519,422,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,117,138,39,16,2,1,0,0,1,6,35,57,0,0,10,30,86,128,255,208,145,79,14,9,638,612,499,423,336,266,146,196,253,361,482,538,0,0,0,0,0,0,3,2,3,0,0,0,4,1,8,11,18,25,30,30,26,22,12,9,162,338,60,34,22,5,0,2,6,15,102,82,0,0,35,53,84,93,118,87,54,30,12,0,0,0,0,0,0,0,96,19,0,0,0,0,74,70,67,66,61,63,57,63,69,73,80,70
